# id_ ra dec Name RA Dec Type Source
67983.0 204.2789701 -29.8499236 2XMMJ133706.9-295059 204.27894 -29.84986 XrayS NS
16141.0 204.2865452 -29.8770159 2XMMJ133708.7-295237 204.28657 -29.87702 XrayS NS
30295.0 204.2937794 -29.8704557 2XMMJ133710.5-295213 204.29398 -29.87049 XrayS NS
53057.0 204.2924935 -29.8569158 6dFJ1337101-295125 204.29254 -29.85689 Galaxy NS
54553.0 204.2735972 -29.8561877 CRATESJ1337-2951NED02 204.27354 -29.85619 RadioS NS
34032.0 204.2492943 -29.8683072 CXOJ133659.8-295203 204.24921 -29.86819 XrayS NS
37038.0 204.2519439 -29.8666237 CXOJ133700.4-295159 204.25188 -29.86653 XrayS NS
38349.0 204.2535421 -29.865921 CXOJ133700.8-295157 204.25363 -29.86597 XrayS NS
38915.0 204.2537223 -29.8656335 CXOJ133700.87-295156.2 204.25364 -29.86562 XrayS NS
35413.0 204.2540463 -29.8675267 CXOJ133700.9-295202 204.25404 -29.86744 XrayS NS
39654.0 204.2541465 -29.8652355 CXOJ133701.0-295154 204.2542 -29.86519 XrayS NS
51255.0 204.2567267 -29.8577593 CXOJ133701.6-295128 204.25683 -29.85789 HII NS
54486.0 204.2682247 -29.856217 CXOJ133704.3-295121 204.26825 -29.85603 XrayS NS
55434.0 204.2693912 -29.8557118 CXOJ133704.64-295120.4 204.26937 -29.85567 XrayS NS
73558.0 204.2697921 -29.8479586 CXOJ133704.71-295053.0 204.26964 -29.84807 XrayS NS
66411.0 204.279751 -29.8504583 CXOJ133707.0-295102 204.27967 -29.8505 XrayS NS
48830.0 204.2811574 -29.8592846 CXOJ133707.3-295133 204.28113 -29.85923 SNR NS
53288.0 204.2424123 -29.8568123 CXOUJ133658.2-295124 204.2425 -29.85683 XrayS NS
64489.0 204.2434369 -29.8512153 CXOUJ133658.3-295105 204.24329 -29.85142 G NS
67350.0 204.2447786 -29.850123 CXOUJ133658.7-295100 204.24463 -29.85014 SNR NS
47096.0 204.2501165 -29.8605076 CXOUJ133700.0-295138 204.25025 -29.86058 XrayS NS
41955.0 204.2501272 -29.8639384 CXOUJ133700.0-295150 204.25012 -29.86394 XrayS NS
33835.0 204.2509992 -29.8684305 CXOUJ133700.2-295206 204.25089 -29.86841 SNR NS
34104.0 204.2514234 -29.8682587 CXOUJ133700.3-295205 204.2514 -29.8682 SNR NS
72353.0 204.2517831 -29.8484227 CXOUJ133700.4-295054 204.25175 -29.84842 Cl* NS
39191.0 204.2522355 -29.865491 CXOUJ133700.5-295156 204.25213 -29.86558 XrayS NS
31914.0 204.2521531 -29.869569 CXOUJ133700.5-295211 204.25217 -29.86962 XrayS NS
43272.0 204.2525935 -29.8631394 CXOUJ133700.6-295146 204.2525 -29.86297 XrayS NS
37267.0 204.2526987 -29.8664995 CXOUJ133700.6-295159 204.25271 -29.86653 XrayS NS
10767.0 204.2545294 -29.8794182 CXOUJ133701.0-295245 204.25446 -29.87939 HII NS
35927.0 204.2553549 -29.8672252 CXOUJ133701.2-295201 204.25529 -29.86714 XrayS NS
59308.0 204.2571829 -29.8536843 CXOUJ133701.7-295113 204.2572 -29.85374 SNR NS
52311.0 204.2601341 -29.8572521 CXOUJ133702.4-295126 204.26018 -29.85724 SNR NS
22023.0 204.2637195 -29.8742854 CXOUJ133703.3-295226 204.26379 -29.87414 SNR NS
49918.0 204.2683813 -29.85852 CXOUJ133704.3-295130 204.26825 -29.85853 XrayS NS
62244.0 204.2690465 -29.8521842 CXOUJ133704.5-295108 204.26913 -29.85231 Cl* NS
55434.0 204.2693912 -29.8557118 CXOUJ133704.6-295120 204.26942 -29.85572 XrayS NS
18022.0 204.2727717 -29.8761454 CXOUJ133705.4-295234 204.27283 -29.87617 XrayS NS
37027.0 204.2750728 -29.8666282 CXOUJ133706.0-295159 204.275 -29.86653 XrayS NS
69671.0 204.2783756 -29.8493586 CXOUJ133706.8-295057 204.27838 -29.84939 XrayS NS
35809.0 204.279581 -29.8672952 CXOUJ133707.1-295202 204.27958 -29.86731 XrayS NS
52475.0 204.2849783 -29.8571818 CXOUJ133708.3-295126 204.28487 -29.85728 XrayS NS
78556.0 204.2646469 -29.8460841 [BWL2012]152 204.26442 -29.84622 SNR NS
96100.0 204.2707224 -29.837869 [BWL2012]164 204.27071 -29.83786 SNR NS
35811.0 204.2853055 -29.8672944 [BWL2012]190 204.28533 -29.86722 SNR NS
22685.0 204.2453234 -29.8739621 [DBL2010]SNR-1-02 204.24535 -29.87389 SNR NS
42843.0 204.2466084 -29.8634139 [DBL2010]SNR-1-03 204.24652 -29.86332 SNR NS
87342.0 204.2487287 -29.8425122 [DBL2010]SNR-1-05 204.24885 -29.84247 SNR NS
32820.0 204.2500821 -29.869028 [DBL2010]SNR-1-06 204.25028 -29.86901 SNR NS
55495.0 204.25131 -29.8556799 [DBL2010]SNR-1-07 204.25143 -29.85573 SNR NS
