# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
3567.05 530.389 204.2554865 -29.8823689 3916.0 2.22 24.983 22.763 4.434 0.89102 0.0 23.617 0.0601 21.355 0.0212 24.168 0.0476 22.056 0.018 24.361 0.105666666667 22.489 0.0446666666667 25.81 0.0503 23.583 0.0181 25.501 0.113266666667 23.374 0.0426 25.709 0.1056 23.717 0.0423333333333 25.929 0.0364 23.634 0.0128 25.26 0.0886 22.18 0.0214666666667 26.049 0.1266 23.972 0.0489333333333 26.128 0.0681 23.815 0.0243
1566.41 540.194 204.2811301 -29.8822601 4100.0 3.145 27.513 24.368 0.431 0.08896 0.0 29.819 1.0459 25.671 0.1549 27.731 0.25 25.483 0.0937 -99.0 -99.0 -99.0 -99.0 27.738 0.134 24.644 0.0346 28.401 0.441866666667 -99.0 -99.0 -99.0 -99.0 27.308 0.2644 -99.0 -99.0 -99.0 -99.0 25.861 0.116933333333 22.284 0.0225333333333 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
3640.25 554.792 204.2545482 -29.8820976 4397.0 2.18 26.206 24.026 1.438 0.81456 0.0 25.461 0.1407 23.387 0.0542 25.754 0.0988 23.514 0.0352 25.928 0.217666666667 23.906 0.0862 27.112 0.0917 24.906 0.0333 26.588 0.187 24.165 0.0614666666667 26.804 0.175 24.325 0.0560666666667 26.981 0.0592 24.684 0.0208 25.306 0.0905333333333 22.059 0.0203333333333 26.893 0.187133333333 24.557 0.0645333333333 26.768 0.0917 24.338 0.031
3373.24 562.206 204.2579707 -29.8820156 4556.0 2.187 26.616 24.429 0.986 0.78369 0.0 26.667 0.2452 24.653 0.0973 26.42 0.1343 24.32 0.0512 26.747 0.3178 23.983 0.0894 27.417 0.1057 25.23 0.0389 27.479 0.282333333333 24.913 0.0871333333333 27.115 0.202133333333 25.099 0.0804666666667 27.257 0.0677 25.309 0.0289 25.83 0.115266666667 22.735 0.0277333333333 27.149 0.2108 25.342 0.0942666666667 27.117 0.1096 25.5 0.0617
1356.42 564.093 204.2838216 -29.8819943 4601.0 4.094 27.091 22.997 0.636 0.09857 0.0 27.825 0.4175 23.469 0.0562 26.504 0.1406 22.353 0.0207 -99.0 -99.0 -99.0 -99.0 27.088 0.0906 23.063 0.0142 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 23.99 0.0494 20.438 0.0096 -99.0 -99.0 25.105 0.0870666666667 -99.0 -99.0 -99.0 -99.0
2727.37 706.022 204.2662493 -29.8804181 8401.0 2.303 27.992 25.689 0.277 0.69462 0.0 -99.0 -99.0 -99.0 -99.0 28.485 0.3488 26.324 0.1306 -99.0 -99.0 -99.0 -99.0 28.978 0.218 26.894 0.0858 -99.0 -99.0 26.053 0.148533333333 28.282 0.347066666667 26.374 0.147066666667 28.597 0.126 26.464 0.0499 26.34 0.145733333333 22.962 0.0307333333333 27.741 0.277333333333 26.11 0.1368 27.721 0.1438 25.555 0.0577
1271.63 751.196 204.2849081 -29.8799152 9586.0 2.237 27.348 25.111 0.502 1.072 0.0 26.337 0.2107 24.015 0.0726 26.709 0.1538 24.347 0.0523 27.517 0.454533333333 24.719 0.126333333333 28.005 0.1395 25.638 0.048 27.59 0.298 26.197 0.163733333333 27.779 0.2752 25.622 0.1034 28.074 0.0997 25.823 0.0377 25.431 0.0958666666667 21.938 0.0192 29.845 0.774933333333 -99.0 -99.0 28.522 0.2176 26.898 0.1403
3612.34 781.642 204.2549063 -29.8795771 10373.0 2.221 24.964 22.743 4.511 0.96313 0.0 24.094 0.0749 21.836 0.0265 24.275 0.05 22.125 0.0186 24.651 0.1208 22.484 0.0446 25.8 0.0501 23.547 0.0178 25.287 0.102666666667 22.918 0.0345333333333 25.852 0.1128 23.623 0.0404666666667 25.86 0.0352 23.576 0.0124 24.665 0.0674 21.267 0.0140666666667 25.762 0.110866666667 23.452 0.0384666666667 25.934 0.062 23.642 0.0221
3641.75 795.944 204.2545294 -29.8794182 10767.0 2.172 25.556 23.384 2.616 0.9808 0.0 25.327 0.1322 22.99 0.0451 25.133 0.0742 22.998 0.0278 25.433 0.1732 23.196 0.0620666666667 26.336 0.0642 24.266 0.0248 26.201 0.1564 23.909 0.0546 26.312 0.139466666667 24.245 0.0540666666667 26.373 0.0446 24.205 0.0166 25.48 0.0980666666667 22.303 0.0227333333333 26.212 0.136466666667 24.063 0.0511333333333 26.026 0.065 23.536 0.0212
2651.87 808.885 204.267217 -29.8792752 11098.0 2.047 23.048 21.001 26.346 0.86283 0.0 21.899 0.0273 19.746 0.0101 22.431 0.0214 20.289 0.008 23.351 0.0663333333333 21.283 0.0256 23.93 0.0212 21.858 0.0082 23.711 0.0496666666667 21.596 0.0187333333333 23.962 0.0472 21.89 0.0182 23.948 0.0146 21.928 0.0058 23.821 0.0456666666667 21.401 0.015 24.521 0.0625333333333 22.579 0.0256 24.193 0.0276 22.162 0.0109
