# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
3401.59 847.821 204.2576077 -29.8788421 12086.0 2.188 26.723 24.535 0.893 0.99022 0.0 25.528 0.1451 23.445 0.0557 25.995 0.1104 23.93 0.0427 26.123 0.2382 24.429 0.110266666667 27.51 0.1103 25.298 0.04 26.702 0.197133333333 24.684 0.0783333333333 27.527 0.2446 25.431 0.094 27.598 0.0791 25.308 0.0284 26.006 0.124933333333 22.529 0.0252 28.533 0.405666666667 24.528 0.0638 27.983 0.171 25.303 0.0551
702.867 864.189 204.2921979 -29.8786587 12506.0 1.94 27.755 25.815 0.345 0.58218 0.0 31.317 2.2229 28.077 0.5153 30.797 1.0343 29.272 0.5985 27.343 0.419666666667 25.116 0.1534 29.109 0.231 27.385 0.107 28.71 0.500266666667 26.914 0.227266666667 28.085 0.316133333333 25.622 0.102333333333 28.084 0.0983 26.011 0.0384 26.112 0.131266666667 22.924 0.0302 26.865 0.1844 24.529 0.0632666666667 26.813 0.0928 24.635 0.0349
1988.31 1483.74 204.2757216 -29.8717767 27492.0 2.681 27.725 25.044 0.355 0.78702 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 31.185 0.6195 27.958 0.1424 28.6 0.475533333333 26.188 0.159466666667 -99.0 -99.0 25.864 0.1156 28.496 0.1197 26.025 0.0393 26.34 0.145733333333 22.728 0.0276 27.842 0.290533333333 25.107 0.0832666666667 26.448 0.0787 23.851 0.0242
1767.45 2039.62 204.2785516 -29.8656001 38983.0 1.848 27.596 25.748 0.399 0.91179 0.0 27.213 0.3155 25.273 0.13 27.159 0.1889 25.101 0.0736 26.888 0.339733333333 23.437 0.0693333333333 28.705 0.1924 27.167 0.0989 29.814 0.8456 26.19 0.159666666667 27.914 0.292466666667 26.751 0.177466666667 28.393 0.115 28.709 0.2061 26.107 0.130866666667 22.7 0.0272666666667 29.822 0.755333333333 -99.0 -99.0 28.762 0.2664 -99.0 -99.0
2225.28 2226.13 204.2726842 -29.863528 42661.0 2.093 25.96 23.867 1.804 0.95667 0.0 27.271 0.324 24.974 0.1129 26.169 0.1196 24.06 0.0453 26.469 0.279533333333 23.925 0.087 27.054 0.0893 24.928 0.0337 26.531 0.182066666667 24.268 0.0644 26.863 0.1798 24.944 0.0746666666667 26.664 0.0511 24.544 0.0195 24.953 0.0769333333333 22.297 0.0226666666667 25.84 0.114866666667 23.785 0.0448666666667 25.462 0.0499 23.407 0.02
3358.86 3327.38 204.2581584 -29.8512916 64301.0 2.015 27.87 25.855 0.31 1.0462 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 28.49 0.4522 28.217 0.473333333333 29.231 0.541666666667 -99.0 -99.0 28.688 0.1327 -99.0 -99.0 25.738 0.110466666667 22.478 0.0246 26.905 0.1882 24.932 0.0772 26.504 0.0818 24.233 0.0306
1365.55 3761.54 204.2836994 -29.8464673 77555.0 2.049 25.644 23.595 2.413 0.75285 0.0 26.323 0.2092 23.853 0.0672 25.369 0.0827 23.444 0.0341 25.811 0.206266666667 23.791 0.0818 26.444 0.0674 24.412 0.0265 26.091 0.148666666667 24.203 0.0625333333333 26.36 0.142533333333 24.199 0.0528 26.271 0.0425 24.158 0.0161 25.445 0.0965333333333 22.466 0.0244666666667 26.134 0.131533333333 24.164 0.0534666666667 25.91 0.061 23.752 0.0227
1416.94 3925.93 204.2830407 -29.8446408 82249.0 2.209 26.856 24.647 0.79 0.76846 0.0 26.701 0.2491 24.598 0.095 26.506 0.1397 24.365 0.0523 27.739 0.5046 24.85 0.1348 27.692 0.12 25.289 0.04 28.155 0.3866 25.562 0.118333333333 27.799 0.277133333333 26.108 0.129533333333 27.535 0.0766 25.231 0.0271 26.201 0.136666666667 22.903 0.0299333333333 28.799 0.457666666667 25.1 0.0833333333333 27.952 0.1645 25.745 0.0688
822.713 3945.95 204.2906544 -29.8444173 82794.0 2.385 27.722 25.337 0.356 0.65368 0.0 28.28 0.5175 30.923 3.8411 27.475 0.2184 25.632 0.0942 27.66 0.4856 25.709 0.2026 28.801 0.2004 26.488 0.0699 28.137 0.383533333333 26.525 0.1882 28.858 0.454466666667 26.371 0.147266666667 28.234 0.1058 25.945 0.0378 26.676 0.1702 23.144 0.0334666666667 28.447 0.385533333333 25.631 0.107 27.74 0.1433 24.784 0.0373
2687.94 3972.43 204.2667556 -29.8441248 83448.0 2.439 27.131 24.692 0.613 0.83951 0.0 26.267 0.2041 24.361 0.0855 26.52 0.1407 24.335 0.0517 27.427 0.435733333333 25.332 0.169133333333 27.794 0.1261 25.468 0.0438 27.799 0.3274 25.536 0.116866666667 27.55 0.247266666667 25.552 0.0999333333333 28.281 0.1101 26.229 0.0471 26.289 0.1424 22.871 0.0294666666667 28.647 0.4264 25.622 0.107933333333 29.226 0.3286 27.664 0.2711
