# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
3345.54 692.923 204.2583259 -29.8805632 8048.0 2.543 27.908 25.365 0.3 0.84881 0.0 29.312 0.8442 26.823 0.2797 27.387 0.2098 25.333 0.0819 26.755 0.319066666667 25.681 0.200466666667 28.779 0.1993 26.94 0.0891 -99.0 -99.0 -99.0 -99.0 30.178 0.8588 -99.0 -99.0 28.725 0.1361 26.138 0.0441 26.061 0.1282 22.737 0.0277333333333 -99.0 -99.0 27.648 0.3256 29.838 0.4911 26.511 0.1165
1271.63 751.196 204.2849081 -29.8799152 9586.0 2.237 27.348 25.111 0.502 1.072 0.0 26.337 0.2107 24.015 0.0726 26.709 0.1538 24.347 0.0523 27.517 0.454533333333 24.719 0.126333333333 28.005 0.1395 25.638 0.048 27.59 0.298 26.197 0.163733333333 27.779 0.2752 25.622 0.1034 28.074 0.0997 25.823 0.0377 25.431 0.0958666666667 21.938 0.0192 29.845 0.774933333333 -99.0 -99.0 28.522 0.2176 26.898 0.1403
2120.54 802.078 204.2740273 -29.8793507 10934.0 2.045 27.68 25.635 0.37 0.7122 0.0 -99.0 -99.0 -99.0 -99.0 31.562 1.5089 -99.0 -99.0 28.07 0.589133333333 24.42 0.109733333333 31.783 0.8294 -99.0 -99.0 28.788 0.519466666667 -99.0 -99.0 29.771 0.699866666667 -99.0 -99.0 29.019 0.1534 27.07 0.0677 26.123 0.131866666667 22.934 0.0303333333333 27.278 0.2232 25.64 0.1072 26.175 0.069 24.078 0.0268
826.603 840.002 204.290612 -29.8789277 11910.0 2.429 27.57 25.141 0.409 0.70445 0.0 29.783 1.0597 25.393 0.1386 29.62 0.6005 25.802 0.1034 26.854 0.3346 24.265 0.102533333333 29.469 0.2783 26.22 0.0634 29.463 0.719266666667 -99.0 -99.0 28.991 0.485733333333 26.624 0.168466666667 28.24 0.1081 25.826 0.0381 25.854 0.116533333333 22.688 0.0271333333333 26.533 0.158466666667 25.052 0.0826 26.431 0.078 24.45 0.0325
459.189 844.855 204.2953212 -29.8788729 12028.0 2.084 26.596 24.512 1.004 0.54515 0.0 25.659 0.1541 23.653 0.0612 26.101 0.1159 24.06 0.0454 27.301 0.411933333333 24.763 0.129666666667 27.476 0.1085 25.299 0.04 27.533 0.2894 25.409 0.109866666667 27.56 0.2482 24.852 0.0716 27.449 0.0734 25.39 0.0289 26.22 0.137866666667 23.121 0.0330666666667 27.67 0.268533333333 26.702 0.187333333333 27.334 0.1185 25.088 0.0436
1176.01 877.283 204.2861335 -29.8785141 12849.0 2.082 27.665 25.583 0.375 0.83021 0.0 27.455 0.3533 25.054 0.1177 27.15 0.1885 24.865 0.0664 27.185 0.390466666667 25.102 0.153133333333 28.185 0.1519 25.856 0.0535 27.974 0.3558 24.923 0.0878 28.251 0.342066666667 25.419 0.0935333333333 28.317 0.1127 25.88 0.0395 25.87 0.1174 22.423 0.024 28.938 0.492533333333 25.292 0.0920666666667 28.457 0.2036 26.631 0.1019
1452.08 900.709 204.282595 -29.8782542 13411.0 2.864 27.661 24.797 0.376 0.87355 0.0 28.232 0.5084 25.4 0.1395 29.515 0.5704 25.701 0.0983 33.666 -99.0 24.44 0.110866666667 29.825 0.3366 26.253 0.0656 28.049 0.368466666667 25.119 0.0963333333333 28.761 0.433933333333 25.984 0.1222 28.963 0.1605 25.799 0.0395 25.948 0.121666666667 22.424 0.024 28.289 0.359 25.688 0.110866666667 26.359 0.0757 23.754 0.0234
1440.04 901.936 204.2827493 -29.8782406 13436.0 2.63 27.979 25.349 0.281 0.70349 0.0 -99.0 -99.0 -99.0 -99.0 33.056 4.1328 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 29.929 0.3472 27.063 0.0965 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 29.503 0.1978 26.368 0.0485 26.123 0.131866666667 22.644 0.0266 29.784 0.749533333333 25.023 0.0807333333333 26.698 0.0882 24.293 0.0299
2924.77 1257.96 204.2637195 -29.8742854 22023.0 2.381 27.67 25.289 0.373 0.90339 0.0 -99.0 -99.0 27.2 0.3302 -99.0 -99.0 27.903 0.283 29.154 0.993266666667 27.744 0.633666666667 30.67 0.4864 27.545 0.1178 28.617 0.480133333333 -99.0 -99.0 28.794 0.4408 31.028 2.7764 28.313 0.1111 26.35 0.0488 25.907 0.1194 22.582 0.0258 26.968 0.193666666667 24.812 0.0726666666667 26.481 0.0806 24.392 0.0328
4360.1 1286.87 204.2453234 -29.8739621 22685.0 2.466 27.25 24.784 0.55 0.821 0.0 -99.0 -99.0 26.498 0.2273 29.113 0.4778 26.214 0.1298 29.023 0.903933333333 24.184 0.0973333333333 -99.0 -99.0 -99.0 -99.0 28.092 0.3804 26.283 0.180466666667 28.828 0.463066666667 26.677 0.195 -99.0 -99.0 -99.0 -99.0 28.439 0.383133333333 23.418 0.0379333333333 -99.0 -99.0 -99.0 -99.0 28.732 0.2696 -99.0 -99.0
3868.94 1396.83 204.2516186 -29.8727413 25272.0 1.9 27.403 25.503 0.477 1.4124 0.0 30.265 1.3192 -99.0 -99.0 29.738 0.6303 27.826 0.2796 28.498 0.719866666667 26.539 0.309066666667 29.852 0.3308 27.512 0.119 29.106 0.607266666667 26.11 0.155666666667 29.282 0.559133333333 27.756 0.3162 27.998 0.0967 26.35 0.0519 25.455 0.0969333333333 22.046 0.0202 26.909 0.189266666667 25.462 0.102733333333 26.469 0.0825 25.469 0.0754
