# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
4196.04 346.444 204.2474238 -29.8844116 1142.0 2.759 27.751 24.992 0.346 0.65308 0.0 27.954 0.4431 24.091 0.0748 28.017 0.2915 24.624 0.062 26.881 0.337133333333 23.969 0.0882 27.996 0.1609 24.812 0.0406 -99.0 -99.0 -99.0 -99.0 27.944 0.3012 26.036 0.1354 28.667 0.292 26.649 0.2397 26.565 0.161666666667 23.11 0.0329333333333 27.289 0.238 24.178 0.0591333333333 26.818 0.1591 23.744 0.0491
4010.52 368.16 204.2498018 -29.8841707 1395.0 2.268 26.221 23.953 1.418 0.83789 0.0 25.858 0.1689 23.592 0.0596 25.667 0.0949 23.515 0.0353 25.989 0.224 23.857 0.0844 27.052 0.0893 24.89 0.0331 26.528 0.182 24.2 0.0626 27.249 0.215066666667 25.29 0.0880666666667 26.99 0.0595 24.713 0.0212 25.54 0.1008 22.32 0.0228666666667 26.545 0.159133333333 24.653 0.0673333333333 26.628 0.0857 24.397 0.0319
2810.15 487.216 204.2651882 -29.8828492 3113.0 3.301 25.749 22.448 2.19 0.95557 0.0 27.551 0.3689 24.754 0.1021 26.949 0.1714 23.533 0.0356 26.906 0.342266666667 23.303 0.0652 26.697 0.0758 23.421 0.0168 26.286 0.162666666667 22.845 0.0333333333333 26.308 0.139133333333 22.961 0.0298 26.066 0.0387 22.784 0.0086 24.975 0.0777333333333 21.657 0.0168666666667 25.588 0.102266666667 22.17 0.0212 25.198 0.044 21.805 0.0092
1586.37 537.691 204.2808742 -29.8822879 4051.0 3.001 27.486 24.485 0.442 0.07833 0.0 27.735 0.4006 25.22 0.1258 27.339 0.2067 25.031 0.0732 -99.0 -99.0 -99.0 -99.0 28.662 0.2242 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 26.224 0.138133333333 22.555 0.0255333333333 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
1297.64 570.293 204.284575 -29.8819253 4727.0 3.038 27.71 24.672 0.36 0.09989 0.0 -99.0 -99.0 25.074 0.1176 27.074 0.1813 24.189 0.048 -99.0 -99.0 -99.0 -99.0 27.707 0.1205 24.621 0.0291 28.588 0.496866666667 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 25.266 0.0888666666667 21.709 0.0172666666667 -99.0 -99.0 25.39 0.0932666666667 -99.0 -99.0 -99.0 -99.0
3594.02 624.043 204.2551409 -29.8813282 5990.0 2.428 22.271 19.843 53.9 1.3042 0.0 21.156 0.0194 18.601 0.006 21.627 0.0148 19.183 0.0048 21.99 0.0354666666667 19.671 0.0122 23.102 0.0145 20.647 0.0047 22.962 0.0351333333333 20.476 0.0112 23.26 0.0342 20.753 0.0108 23.21 0.0104 20.745 0.0033 23.073 0.0324 20.462 0.00973333333333 23.383 0.037 20.868 0.0116 23.343 0.0187 20.905 0.0061
1317.42 655.559 204.2843214 -29.8809779 6951.0 2.499 26.564 24.065 1.034 0.94629 0.0 26.831 0.2647 24.437 0.0884 26.55 0.1428 24.233 0.0495 27.323 0.416933333333 25.676 0.204266666667 27.385 0.1043 25.083 0.0364 27.061 0.233466666667 24.851 0.0857333333333 27.323 0.222733333333 25.177 0.0838666666667 27.194 0.0658 24.957 0.0243 25.323 0.0912666666667 22.015 0.0198666666667 26.903 0.1882 24.222 0.0551333333333 26.644 0.0868 23.679 0.0225
1555.69 667.741 204.2812673 -29.8808429 7335.0 2.255 27.929 25.674 0.294 1.0968 0.0 -99.0 -99.0 -99.0 -99.0 32.426 5.0464 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 29.865 0.8914 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 29.963 0.3075 -99.0 -99.0 26.065 0.1284 22.616 0.0262 28.652 0.432933333333 25.605 0.109466666667 26.647 0.089 25.063 0.0521
1529.21 680.243 204.2816067 -29.8807039 7716.0 2.434 21.337 18.903 127.44 3.1002 0.0 20.568 0.0148 18.078 0.0047 20.795 0.0101 18.421 0.0034 21.275 0.0255333333333 18.813 0.0082 22.26 0.0098 19.774 0.0031 22.045 0.0230666666667 19.551 0.00733333333333 22.228 0.0212666666667 19.776 0.00686666666667 22.224 0.0066 19.752 0.0021 21.923 0.0190666666667 19.454 0.00613333333333 22.168 0.0211333333333 19.676 0.00673333333333 21.573 0.0083 19.249 0.0028
1043.24 687.802 204.2878356 -29.8806192 7912.0 2.192 24.985 22.793 4.425 0.80563 0.0 24.159 0.0772 22.013 0.0288 24.392 0.0527 22.288 0.02 24.808 0.129866666667 22.782 0.0512 25.944 0.0536 23.678 0.0189 25.512 0.113866666667 23.309 0.0413333333333 25.956 0.118333333333 23.695 0.0418666666667 25.83 0.0348 23.659 0.0129 25.319 0.0910666666667 22.416 0.0239333333333 25.902 0.118333333333 23.598 0.0412 26.016 0.0643 23.6 0.0215
