# id_ ra dec Name RA Dec Type Source
3916.0 204.2554865 -29.8823689 [WCK2011]SSHII2 204.2554867 -29.8823689 HII S
4100.0 204.2811301 -29.8822601 [RK83]083 204.28108 -29.88239 HII N
4397.0 204.2545482 -29.8820976 [RK83]141 204.2545 -29.88211 HII NS
4556.0 204.2579707 -29.8820156 [RK83]133 204.25804 -29.88211 HII NS
4601.0 204.2838216 -29.8819943 [dPD83]48 204.28371 -29.88216 HII NS
8401.0 204.2662493 -29.8804181 [RK83]117 204.26638 -29.88044 HII N
9586.0 204.2849081 -29.8799152 [RK83]071 204.28496 -29.87989 HII N
10373.0 204.2549063 -29.8795771 [WCK2011]SSHII3 204.2549062 -29.8795772 HII S
10767.0 204.2545294 -29.8794182 CXOUJ133701.0-295245 204.25446 -29.87939 HII NS
11098.0 204.267217 -29.8792752 [WCK2011]SSHII4 204.2672171 -29.8792753 HII S
11910.0 204.290612 -29.8789277 [RK83]051 204.29067 -29.87887 HII N
15229.0 204.290435 -29.8774475 [RK83]052 204.29038 -29.87739 HII N
19587.0 204.2862527 -29.8754475 [dPD83]50 204.28621 -29.87544 HII NS
22380.0 204.2896869 -29.874104 [RK83]056 204.28975 -29.87406 HII NS
24618.0 204.2884314 -29.8730456 [RK83]060 204.28846 -29.87294 HII NS
27414.0 204.2499878 -29.871809 [BK2002]M837 204.25 -29.8719 HII S
27776.0 204.2504475 -29.8716652 [dPD83]31 204.25042 -29.87167 HII NS
29250.0 204.2745636 -29.8709998 [WCK2011]SSHII5 204.2745638 -29.8709997 HII S
31380.0 204.2845806 -29.8698732 [dPD83]49 204.28463 -29.86987 HII NS
31659.0 204.285692 -29.8697169 [BK2002]M8311 204.2858 -29.8697 HII S
32016.0 204.2853033 -29.8695097 [MCK2006]50 204.2854 -29.8694 HII S
32152.0 204.2877307 -29.869429 [dPD83]52 204.28774 -29.86942 HII NS
35101.0 204.2745919 -29.8676963 [WCK2011]SSHII6 204.2745921 -29.8676964 HII S
35157.0 204.28561 -29.8676664 [RK83]069 204.28558 -29.86767 HII NS
36001.0 204.2858596 -29.8671808 [BK2002]10 204.28583 -29.86722 HII N
36350.0 204.2519655 -29.8669936 [BK2002]B 204.25167 -29.86694 HII N
36932.0 204.2514869 -29.8666792 [BK2002]D 204.25167 -29.86667 HII N
37507.0 204.2528405 -29.8663718 [BK2002]E 204.25292 -29.86639 HII NS
37778.0 204.2667959 -29.8662227 [WCK2011]SSHII7 204.2667958 -29.8662228 HII S
38566.0 204.2520135 -29.8658093 [BK2002]A 204.25208 -29.86583 HII N
40693.0 204.2504026 -29.8646341 [BK2002]C 204.25042 -29.86472 HII N
45535.0 204.2824223 -29.8616247 [RK83]077 204.28238 -29.86156 HII N
