# id_ ra dec Name RA Dec Type Source
12086.0 204.2576077 -29.8788421 [WBW2015]61 204.25766 -29.87868 RSG PB
12506.0 204.2921979 -29.8786587 [WBW2015]60 204.29217 -29.87845 RSG PB
27492.0 204.2757216 -29.8717767 [WBW2015]56 204.27568 -29.87186 RSG PB
38983.0 204.2785516 -29.8656001 [WBW2015]51 204.27851 -29.8657 RSG PB
42661.0 204.2726842 -29.863528 [WBW2015]50 204.27278 -29.86357 RSG PB
64301.0 204.2581584 -29.8512916 [WBW2015]41 204.25821 -29.85125 RSG PB
77555.0 204.2836994 -29.8464673 [WBW2015]37 204.28372 -29.84638 RSG PB
82249.0 204.2830407 -29.8446408 [WBW2015]36 204.28307 -29.84473 RSG PB
82794.0 204.2906544 -29.8444173 [WBW2015]35 204.29062 -29.84425 RSG PB
83448.0 204.2667556 -29.8441248 [WBW2015]34 204.26684 -29.84411 RSG PB
89378.0 204.2830558 -29.8415131 [WBW2015]33 204.28305 -29.84155 RSG PB
92394.0 204.258183 -29.8399085 [WBW2015]31 204.25825 -29.83997 RSG PB
