# id_ ra dec Name RA Dec Type Source
18992.0 204.2460319 -29.8757192 [LKB2014]A053 204.24608 -29.87547 RadioS NS
21911.0 204.2633834 -29.874344 [CB85]6 204.2633 -29.8742 RadioS S
22945.0 204.2492635 -29.8738412 [LKB2014]A058 204.24929 -29.87389 RadioS NS
25272.0 204.2516186 -29.8727413 [LKB2014]A060 204.25175 -29.87289 RadioS NS
28794.0 204.2498836 -29.8712122 [MCK2006]31 204.24992 -29.87129 RadioS N
29042.0 204.2500963 -29.8711079 [TH94]M831 204.25013 -29.87108 RadioS S
30776.0 204.2855539 -29.8702083 [LKB2014]A092 204.28554 -29.87022 RadioS NS
34004.0 204.2808012 -29.8683267 [MCK2006]44 204.28083 -29.86859 RadioS N
34004.0 204.2808012 -29.8683267 [MCK2006]44 204.280833 -29.868586 RadioS S
36632.0 204.2541956 -29.866847 [TH94]M837 204.2542 -29.8669 RadioS S
38004.0 204.2516967 -29.8661058 [TH94]M833 204.25158 -29.86611 RadioS S
39985.0 204.253297 -29.8650516 [TH94]M835 204.2533 -29.865 RadioS S
40145.0 204.252083 -29.8649555 JCMTSFJ133700.4-295154 204.2521 -29.865 RadioS S
49749.0 204.2860896 -29.8586285 [MCK2006]51 204.286208 -29.858622 RadioS S
49910.0 204.2862531 -29.8585242 [MCK2006]51 204.28621 -29.85862 RadioS N
50520.0 204.2918911 -29.8581625 [LKB2014]A098 204.29192 -29.85817 RadioS NS
51177.0 204.2916717 -29.8578022 [MCK2006]54 204.29171 -29.85784 RadioS N
51534.0 204.2555711 -29.8576099 [LKB2014]A063 204.25567 -29.85758 RadioS NS
51976.0 204.2563186 -29.8573969 [LKB2014]A064 204.25625 -29.85739 RadioS NS
52375.0 204.2480184 -29.8572232 [MCK2006]30 204.24808 -29.85731 RadioS N
52375.0 204.2480184 -29.8572232 [MCK2006]30 204.248083 -29.857311 RadioS S
52573.0 204.2766594 -29.8571373 NVSSJ133706-295126 204.27658 -29.85725 RadioS NS
54553.0 204.2735972 -29.8561877 CRATESJ1337-2951NED02 204.27354 -29.85619 RadioS NS
56897.0 204.2828554 -29.8549076 [MCK2006]48 204.28287 -29.85494 RadioS N
57552.0 204.2458932 -29.8545663 [MCK2006]29 204.24583 -29.85446 RadioS N
57664.0 204.2460528 -29.8545139 [CB85]zet 204.24604 -29.8545 RadioS S
58011.0 204.2458532 -29.854337 [MCK2006]29 204.245833 -29.854456 RadioS S
59214.0 204.2818977 -29.8537395 [MCK2006]45 204.281917 -29.853689 RadioS S
59214.0 204.2818977 -29.8537395 [MCK2006]45 204.28192 -29.85369 RadioS N
64489.0 204.2434369 -29.8512153 [CB85]3 204.2433 -29.8514 RadioS S
65703.0 204.289291 -29.8507418 [ERC98]133420.18-293546.6 204.28925 -29.85077 RadioS NS
67094.0 204.288865 -29.8502012 [LKB2014]A096 204.28892 -29.85022 RadioS NS
67227.0 204.2884594 -29.850157 [MCK2006]53 204.28842 -29.85014 RadioS N
67482.0 204.2687347 -29.8500816 [LKB2014]A076 204.26871 -29.85006 RadioS N
68127.0 204.2698282 -29.849872 [LKB2014]A077 204.26983 -29.84986 RadioS NS
69545.0 204.2704816 -29.8494081 [LKB2014]A079 204.2705 -29.84942 RadioS N
