# id_ ra dec Name RA Dec Type Source
8048.0 204.2583259 -29.8805632 [DBL2010]SNR-1-13 204.25834 -29.88056 SNR NS
9586.0 204.2849081 -29.8799152 [BCD2014]55 204.284958 -29.879908 SNR S
10934.0 204.2740273 -29.8793507 [DBL2010]SNR-1-18 204.27412 -29.87947 SNR S
10934.0 204.2740273 -29.8793507 [DBL2010]SNR-1-18 204.2742 -29.87945 SNR N
11910.0 204.290612 -29.8789277 [DBL2010]SRC-1-O5 204.290671 -29.878869 SNR S
12028.0 204.2953212 -29.8788729 [DBL2010]SNR-1-40 204.29514 -29.87903 SNR NS
12849.0 204.2861335 -29.8785141 [DBL2010]SNR-1-29 204.28611 -29.87852 SNR NS
13411.0 204.282595 -29.8782542 [DBL2010]SNR-1-24 204.282583 -29.878247 SNR S
13436.0 204.2827493 -29.8782406 [MCK2006]47 204.28272 -29.87831 SNR N
22023.0 204.2637195 -29.8742854 CXOUJ133703.3-295226 204.26379 -29.87414 SNR NS
22685.0 204.2453234 -29.8739621 [DBL2010]SNR-1-02 204.24535 -29.87389 SNR NS
25272.0 204.2516186 -29.8727413 [BCD2014]31 204.25175 -29.87293 SNR N
25411.0 204.2528609 -29.8726794 [DBL2010]SNR-1-08 204.2528 -29.87271 SNR NS
25489.0 204.2837462 -29.872651 [DBL2010]SNR-1-25 204.28379 -29.87259 SNR NS
26422.0 204.2817195 -29.8722437 [DBL2010]SNR-1-23 204.28165 -29.87212 SNR NS
27326.0 204.2704076 -29.8718472 [DBL2010]SNR-1-17 204.27032 -29.87183 SNR NS
31983.0 204.285036 -29.86953 [BCD2014]56 204.28504 -29.86956 SNR N
32571.0 204.2523501 -29.8691672 [DBL2010]SNR-1-N09 204.25242 -29.86923 SNR N
32820.0 204.2500821 -29.869028 [DBL2010]SNR-1-06 204.25028 -29.86901 SNR NS
33588.0 204.2522146 -29.8685675 [BCD2014]32 204.25229 -29.86849 SNR N
33588.0 204.2522146 -29.8685675 [BCD2014]32 204.252292 -29.868486 SNR S
33835.0 204.2509992 -29.8684305 CXOUJ133700.2-295206 204.25089 -29.86841 SNR NS
34067.0 204.2518335 -29.8682862 [DBL2010]SNR-1-N07 204.25168 -29.86842 SNR NS
34098.0 204.2529765 -29.8682622 CXOUJ133700.7-295205 204.25315 -29.86847 SNR N
34104.0 204.2514234 -29.8682587 CXOUJ133700.3-295205 204.2514 -29.8682 SNR NS
34575.0 204.256639 -29.8679957 [DBL2010]SNR-1-11 204.25658 -29.86804 SNR NS
35676.0 204.285401 -29.8673676 [DBL2010]SNR-1-27 204.28537 -29.86732 SNR NS
35811.0 204.2853055 -29.8672944 [BWL2012]190 204.28533 -29.86722 SNR NS
36058.0 204.2500805 -29.8671526 [DBL2010]SNR-1-N01 204.25016 -29.86724 SNR NS
36243.0 204.2567873 -29.8670546 CXOUJ133701.6-295201 204.25664 -29.8673 SNR N
36243.0 204.2567873 -29.8670546 [DK2003]127 204.256708 -29.867197 SNR S
36252.0 204.2513553 -29.8670491 [DBL2010]SNR-1-N06 204.2516 -29.86714 SNR NS
36956.0 204.2552138 -29.8666648 [SW2003]70 204.25529 -29.86664 SNR S
36966.0 204.2528805 -29.866661 [DBL2010]SNR-1-N12 204.25292 -29.86664 SNR N
37260.0 204.2524795 -29.8665029 [DBL2010]SNR-1-N10 204.25254 -29.86657 SNR N
37260.0 204.2524795 -29.8665029 [DBL2010]SNR-N-10 204.252537 -29.866569 SNR S
37533.0 204.2515469 -29.8663581 [DBL2010]SNR-1-N05 204.25155 -29.86636 SNR NS
37582.0 204.2521991 -29.866331 [DBL2010]SNR-1-N08 204.25227 -29.86636 SNR NS
37926.0 204.2506556 -29.8661432 [DBL2010]SNR-1-N02 204.25085 -29.86624 SNR NS
37949.0 204.2587627 -29.8661323 [DBL2010]SNR-1-14 204.25881 -29.86632 SNR NS
38411.0 204.2549569 -29.8658959 CXOUJ133701.2-295157 204.25488 -29.86589 SNR N
38462.0 204.2527348 -29.8658648 [DBL2010]SNR-1-N11 204.25275 -29.86586 SNR N
38462.0 204.2527348 -29.8658648 [DBL2010]SNR-N-11 204.252754 -29.865861 SNR S
38490.0 204.2554255 -29.8658455 [DBL2010]SNR-1-N18 204.25549 -29.86588 SNR NS
39262.0 204.2539568 -29.8654558 [DBL2010]SNR-1-N15 204.25388 -29.86554 SNR N
40004.0 204.2539487 -29.8650409 CXOUJ133700.9-295155 204.25387 -29.86507 SNR N
40004.0 204.2539487 -29.8650409 [SW2003]63 204.253871 -29.865069 SNR S
40227.0 204.2861022 -29.8649128 [DBL2010]SNR-1-30 204.28607 -29.86488 SNR NS
40962.0 204.2546309 -29.864485 CXOUJ133701.1-295151 204.25461 -29.86448 SNR N
40962.0 204.2546309 -29.864485 [SW2003]67 204.254612 -29.864481 SNR S
41102.0 204.258164 -29.8644136 [BCD2014]37 204.25833 -29.86428 SNR N
42843.0 204.2466084 -29.8634139 [DBL2010]SNR-1-03 204.24652 -29.86332 SNR NS
44498.0 204.2948957 -29.8623616 [DBL2010]SNR-1-39 204.29492 -29.86244 SNR S
44517.0 204.2950392 -29.8623476 [DBL2010]SNR-1-39 204.29499 -29.86246 SNR N
45448.0 204.2545206 -29.8616932 [DBL2010]SNR-1-10 204.25448 -29.86156 SNR NS
47227.0 204.2864463 -29.860427 [DBL2010]SNR-1-32 204.28647 -29.86039 SNR NS
48191.0 204.2857834 -29.859772 [DBL2010]SNR-1-28 204.28571 -29.85972 SNR S
48207.0 204.2855507 -29.8597586 CXOUJ133708.5-295135 204.28566 -29.85969 SNR N
48423.0 204.2884997 -29.8596034 [MCK2006]52 204.28845 -29.85946 SNR N
48532.0 204.2931516 -29.8595203 [DBL2010]SNR-1-38 204.29325 -29.85949 SNR N
48532.0 204.2931516 -29.8595203 [DBL2010]SNR-1-38 204.293254 -29.859494 SNR S
48708.0 204.2876841 -29.8593806 [DBL2010]SNR-1-33 204.28768 -29.85929 SNR NS
48827.0 204.2882496 -29.8592877 [DBL2010]SNR-1-34 204.28842 -29.85933 SNR S
48827.0 204.2882496 -29.8592877 [MCK2006]52 204.288292 -29.859253 SNR S
48830.0 204.2811574 -29.8592846 CXOJ133707.3-295133 204.28113 -29.85923 SNR NS
49007.0 204.2862367 -29.8591621 [DBL2010]SNR-1-31 204.28623 -29.85925 SNR NS
50866.0 204.2931178 -29.8579699 [DBL2010]SNR-1-37 204.29304 -29.85798 SNR NS
51025.0 204.2921966 -29.8578831 [DBL2010]SNR-1-36 204.29215 -29.85784 SNR NS
52311.0 204.2601341 -29.8572521 CXOUJ133702.4-295126 204.26018 -29.85724 SNR NS
55495.0 204.25131 -29.8556799 [DBL2010]SNR-1-07 204.25143 -29.85573 SNR NS
56897.0 204.2828554 -29.8549076 [MCK2006]48 204.282875 -29.854939 SNR S
57737.0 204.2832721 -29.8544786 [BWL2012]187 204.28329 -29.8545 SNR S
59308.0 204.2571829 -29.8536843 CXOUJ133701.7-295113 204.2572 -29.85374 SNR NS
61026.0 204.2820311 -29.8527937 [DBL2010]SNR-1-21 204.28203 -29.85276 SNR NS
61272.0 204.2790161 -29.8526605 [DBL2010]SNR-1-20 204.27911 -29.85262 SNR NS
61616.0 204.2609766 -29.8524832 [DBL2010]SNR-1-16 204.26096 -29.85256 SNR NS
63279.0 204.2444362 -29.8517413 [BCD2014]19 204.24433 -29.8518 SNR N
67350.0 204.2447786 -29.850123 CXOUJ133658.7-295100 204.24463 -29.85014 SNR NS
68938.0 204.288842 -29.8496085 [DBL2010]SNR-1-35 204.28883 -29.84958 SNR NS
70675.0 204.2846397 -29.8490086 [DBL2010]SNR-1-26 204.28468 -29.84901 SNR NS
