# id_ ra dec Name RA Dec Type Source
34171.0 204.2510287 -29.8682205 [SW94]C 204.25099 -29.86824 VisS NS
34716.0 204.2522126 -29.8679132 [SW94]G 204.25216 -29.86793 VisS NS
35413.0 204.2540463 -29.8675267 [SW94]N 204.25404 -29.86748 VisS NS
35718.0 204.253434 -29.8673456 [SW94]J 204.25345 -29.86734 VisS NS
36296.0 204.2538595 -29.8670282 [SW94]L 204.25379 -29.86704 VisS NS
36350.0 204.2519655 -29.8669936 [SW94]E 204.25195 -29.86712 VisS NS
36939.0 204.2524401 -29.8666772 [SW94]H 204.25249 -29.86668 VisS NS
37707.0 204.2547545 -29.8662687 [SW94]O 204.25466 -29.86626 VisS NS
37744.0 204.2516162 -29.8662466 [SW94]D 204.25145 -29.86621 VisS NS
38377.0 204.2537187 -29.8659108 [SW94]M 204.25379 -29.86598 VisS NS
38572.0 204.2530552 -29.865807 [SW94]I 204.25303 -29.86584 VisS NS
39633.0 204.2491413 -29.8652486 [SW94]A 204.24906 -29.86524 VisS NS
39641.0 204.2520422 -29.8652426 [SW94]F 204.25207 -29.86532 VisS NS
41262.0 204.2505304 -29.8643137 [SW94]B 204.25044 -29.86432 VisS NS
