# id_ ra dec Name RA Dec Type Source
1142.0 204.2474238 -29.8844116 [L2004]n5236-571 204.24742 -29.88439 Cl* S
1395.0 204.2498018 -29.8841707 [L2004]n5236-573 204.24987 -29.88417 Cl* S
3113.0 204.2651882 -29.8828492 [WCK2011]73 204.2651882 -29.8828492 Cl* S
4051.0 204.2808742 -29.8822879 [L2004]n5236-588 204.28079 -29.88242 Cl* S
4727.0 204.284575 -29.8819253 [L2004]n5236-598 204.28458 -29.882 Cl* S
5990.0 204.2551409 -29.8813282 [WCK2011]31 204.2551409 -29.8813282 Cl* S
6951.0 204.2843214 -29.8809779 [L2004]n5236-615 204.28429 -29.88103 Cl* S
7335.0 204.2812673 -29.8808429 [L99]n5236-620 204.28129 -29.88086 Cl* S
7716.0 204.2816067 -29.8807039 [WCK2011]35 204.2816067 -29.8807039 Cl* S
7912.0 204.2878356 -29.8806192 [L2004]n5236-622 204.28779 -29.88064 Cl* S
9179.0 204.2873536 -29.8800867 [L2004]n5236-629 204.28733 -29.88008 Cl* S
10114.0 204.2664853 -29.8796816 [WCK2011]67 204.2664854 -29.8796817 Cl* S
10783.0 204.2813174 -29.8794141 [L99]n5236-641 204.28137 -29.87942 Cl* S
12505.0 204.2762954 -29.8786591 [WCK2011]74 204.2762954 -29.8786592 Cl* S
12721.0 204.2908632 -29.8785688 [WCK2011]14 204.2908633 -29.8785689 Cl* S
13265.0 204.2547344 -29.8783208 [WCK2011]30 204.2547346 -29.8783208 Cl* S
14748.0 204.2752747 -29.8776532 [WCK2011]63 204.2752746 -29.8776533 Cl* S
17035.0 204.2906967 -29.8766101 [WCK2011]18 204.2906967 -29.87661 Cl* S
17159.0 204.2616672 -29.8765474 [WCK2011]58 204.2616671 -29.8765475 Cl* S
17604.0 204.2953721 -29.8763483 [L99]n5236-686 204.29529 -29.87633 Cl* S
18032.0 204.2849161 -29.876142 [WCK2011]60 204.284917 -29.876142 Cl* S
18044.0 204.2956504 -29.8761376 [WCK2011]77 204.2956504 -29.8761375 Cl* S
18134.0 204.2527086 -29.8760965 [L2004]n5236-704 204.25275 -29.87611 Cl* S
19354.0 204.2525635 -29.8755537 [WCK2011]15 204.2525633 -29.8755536 Cl* S
20196.0 204.2958002 -29.8751508 [L99]n5236-705 204.29575 -29.87525 Cl* S
20589.0 204.253285 -29.8749555 [L2004]n5236-723 204.25354 -29.87494 Cl* S
22141.0 204.2677193 -29.8742185 [L2004]n5236-734 204.26767 -29.87422 Cl* S
22526.0 204.2789417 -29.8740342 [L99]n5236-732 204.27887 -29.87403 Cl* S
23160.0 204.2602921 -29.873736 [L2004]n5236-746 204.26033 -29.87364 Cl* S
23366.0 204.2529648 -29.8736403 [WCK2011]39 204.252965 -29.8736403 Cl* S
25271.0 204.2779598 -29.8727414 [L99]n5236-755 204.27796 -29.87283 Cl* S
25716.0 204.2827697 -29.8725452 [WCK2011]59 204.2827696 -29.8725453 Cl* S
27423.0 204.2896066 -29.8718058 [WCK2011]40 204.2896067 -29.8718058 Cl* S
30550.0 204.2583806 -29.8703237 [GDB2014]1f-117 204.25833 -29.87028 Cl* N
