Table 2
ISM-dominated Supernova Remnants and Candidates

Object	R.A.	Decl.	R	D(ext)^a	F(Halpha)^b	F([S II])^b	F([O III])^b	[S II]/Halpha	[O III]/Halpha	X-Ray?^c	Other names^d	
	(J2000)	(J2000)	(kpc)	(arcsec)								
001	13:36:39.99	-29:51:35.2	6.4	2.8	18.4	12.6	13.5	0.68	0.73	n		
002	13:36:40.35	-29:51:06.7	6.5	1.4	8.8	4.2	17.0	0.47	1.93	n		
003	13:36:40.90	-29:51:17.7	6.3	1.4	36.5	18.3	18.2	0.50	0.50	y	SW001	
004	13:36:41.50	-29:52:16.0	5.9	2.0	5.3	5.3	11.3	1.01	2.14	n		
005	13:36:41.58	-29:49:56.4	6.8	1.8	9.8	6.6	6.2	0.68	0.63	n		
006	13:36:42.33	-29:52:17.3	5.6	2.0	11.9	9.3	1.8	0.78	0.15	n		
007	13:36:42.73	-29:52:34.9	5.5	1.4	19.0	12.0	11.2	0.63	0.59	n		
008	13:36:43.70	-29:50:45.9	5.6	2.0	17.6	13.1	4.5	0.75	0.25	n		
009	13:36:43.83	-29:52:11.3	5.2	2.4	26.4	17.8	5.1	0.67	0.19	n	BL01	
010	13:36:44.65	-29:50:34.2	5.5	3.2	71.6	33.9	34.5	0.47	0.48	n	BL02	
011	13:36:45.31	-29:53:07.7	4.9	3.2	24.1	21.9	1.0	0.91	0.04	n		
012	13:36:45.70	-29:52:20.9	4.6	5.6	343.2	136.8	27.7	0.40	0.08	n		
013	13:36:45.93	-29:53:34.4	4.9	2.0	49.2	31.7	14.7	0.64	0.30	n	BL03;H12	
014	13:36:46.42	-29:53:42.3	4.9	2.4	25.5	11.1	13.6	0.43	0.53	n		
015	13:36:46.93	-29:46:41.9	8.8	4.6	60.3	26.9	6.4	0.45	0.11	n		
016	13:36:47.13	-29:55:31.7	6.3	4.4	48.5	22.6	8.0	0.46	0.16	n		
017	13:36:47.18	-29:53:51.4	4.8	2.0	23.3	11.4	4.2	0.49	0.18	n	BL04	
018	13:36:47.22	-29:53:36.9	4.6	2.4	16.8	10.4	7.8	0.62	0.47	n		
019	13:36:47.30	-29:49:03.9	6.0	1.6	42.8	27.3	22.1	0.64	0.52	n	BL05	
020	13:36:47.83	-29:51:18.2	4.2	2.8	79.4	37.5	20.6	0.47	0.26	n	BL06	
021	13:36:47.91	-29:51:45.7	4.0	3.6	331.7	109.4	10.4	0.36	0.03	n		
022	13:36:48.10	-29:51:33.7	4.0	2.2	33.7	20.1	3.1	0.60	0.09	n		
023	13:36:48.31	-29:52:44.7	3.9	2.2	269.5	179.6	176.6	0.67	0.66	y	BL07;SW007	
024	13:36:48.45	-29:51:42.3	3.9	3.0	9.4	7.5	7.4	0.80	0.79	y		
025	13:36:48.57	-29:52:05.2	3.8	3.0	63.4	48.2	43.1	0.76	0.68	n	BL08	
026	13:36:48.99	-29:52:54.1	3.8	1.6	10.2	6.2	3.5	0.61	0.35	n		
