Final sample of YMCs in M83
Cluster ID	Cat	SED log(age)	Log(mass)	AV	Max distance	Min distance	Per?cent max	Per?cent min	Best fit
(Best fit)	(Best fit)		(pc)	(pc)			
10141*	1	6.60	4.03	0	n/a	n/a	n/a	n/a	No Ha
10165	2	6.70	4.00	0	>80	23.1	46	10	No Ha
10426	0	6.60	4.00	2.7	n/a	n/a	n/a	n/a	Ha
10433	0	6.60	4.58	2.86	n/a	n/a	n/a	n/a	Ha
10438	1	6.85	4.79	1.52	28.0	7.8	4	18	Ha
10452	0	6.70	4.18	3.53	n/a	n/a	n/a	n/a	Ha
10594	2	6.30	4.46	0	48.9	14.9	9	19	No Ha
10597	2	6.60	4.72	0	54.9	10.0	5	22	No Ha
10645	2	6.60	3.97	0	>80	10.0	28	31	No Ha
10732	2	6.60	4.03	0	>80	20.0	21	28	No Ha
10915	1	6.75	3.73	2.78	10.0	0	16	83	Ha
10957	0	6.73	3.57	2.08	10.0	0	11	89	Ha
11164	2	6.60	4.01	0	>80	26.5	16	28	No Ha
11174*	1	6.73	3.95	0.14	n/a	n/a	n/a	n/a	Ha
11266	1	6.88	3.82	0.83	30.9	0	17	21	Ha
11297	1	6.60	4.06	0	>80	0	14	13	No Ha
11305	1	6.70	3.81	0.46	13.8	0	8	92	Ha
11312	0	6.60	3.92	2.7	n/a	n/a	n/a	n/a	Ha
11414	2	6.70	3.87	0	>80	67.2	90	10	No Ha
20249	0	6.48	3.98	3.54	n/a	n/a	n/a	n/a	Ha
20281	2	6.60	4.08	0	23.1	10.0	8	17	No Ha
20288	2	6.78	4.08	0	>80	40.0	45	14	No Ha
20314	1	6.73	3.81	0	30.2	0	5	15	No Ha
20417	2	6.60	4.26	0	>80	40.0	20	38	No Ha
20866	2	6.88	3.75	0.02	>80	15.6	33	35	Ha
20868	2	6.88	3.80	0.18	>80	14.8	33	35	Ha
20953	1	6.73	3.70	0.75	>80	53.2	63	13	Ha
30126	1	6.87	3.97	0.79	23.4	0	18	40	Ha
30701	0	6.60	3.82	2.19	n/a	n/a	n/a	n/a	Ha
30989	0	6.30	3.98	2.29	n/a	n/a	n/a	n/a	Ha
31015	2	6.60	3.93	0	>80	15.0	13	18	No Ha
31016	2	6.70	4.00	0	>80	20.0	9	5	No Ha
40027	0	6.48	4.19	3.77	n/a	n/a	n/a	n/a	Ha
40117	2	6.87	4.34	0.54	>80	15.2	6	30	Ha
40358	2	6.88	3.89	1.22	>80	24.0	32	7	Ha
40543	2	7.78	3.37	0	>80	46.4	90	7	No Ha
40820	2	6.95	4.20	0.38	>80	56.8	94	6	Ha
40840	2	7.30	3.23	0	>80	44.9	78	7	No Ha
40915	2	6.78	3.70	0	23.7	10.0	27	11	Ha
40926	2	6.78	4.1	0	37.5	7.9	16	41	Ha
50015	2	6.78	3.88	0	40.0	5.5	3	20	Ha
50019	2	6.79	3.74	0	>80	13.3	45	7	Ha
50035	2	6.60	2.50	0.78	>80	10.0	12	43	No Ha
50081	1	6.88	3.77	0.39	35.3	0	14	52	Ha
50099	0	6.60	3.73	1.99	n/a	n/a	n/a	n/a	Ha
50140	2	6.30	4.21	0	>80	43.1	60	11	No Ha
50160	1	6.70	3.70	0	n/a	n/a	n/a	n/a	Ha
50233	2	6.78	4.04	0	>80	7.6	21	28	Ha
50256	2	6.87	3.81	0	>80	28.4	24	10	Ha
50358	0	6.70	3.96	3.11	n/a	n/a	n/a	n/a	Ha
50377	1	6.78	3.94	0	>80	0	11	22	Ha
50574	2	6.78	4.09	0	>80	45.4	79	3	Ha
50611	2	6.78	3.70	0	>80	14.8	5	13	Ha
50789	1	6.60	4.73	0	31.5	0	4	41	No Ha
50905	0	6.60	3.70	0.33	n/a	n/a	n/a	n/a	Ha
51080	2	6.78	4.11	0	48.3	10.0	3	31	Ha
51093	2	6.78	3.84	0	49.2	7.4	2	22	Ha
51095	2	6.78	3.96	0	40.0	10.0	16	5	Ha
60171	0	6.48	3.73	2.15	n/a	n/a	n/a	n/a	Ha
60558	2	6.78	3.90	0	>80	8.3	20	23	Ha
60571	2	6.80	4.28	0	>80	7.6	8	31	Ha
60582	0	6.60	4.06	3.48	n/a	n/a	n/a	n/a	Ha
60770	1	6.79	4.09	0	73.9	0	10	24	Ha
61053	0	6.70	3.87	3.08	n/a	n/a	n/a	n/a	Ha
61216	2	7.00	4.13	0.07	>80	16.1	21	24	Ha
61310	1	6.92	3.81	0.32	>80	4.5	5	11	Ha
61417	2	6.78	4.57	0	>80	12.5	10	25	Ha
