#RA        Dec     Umag e_Umag Bmag e_Bmag Vmag e_Vmag Imag e_Imag Jmag e_Jmag Kmag e_Kmag IRAC1 e_IRAC1 IRAC2 e_IRAC2 quality cmnt 
204.25152 -29.80064 26.67 0.37 26.56 0.18 24.08 0.07 20.78 0.03 18.74 0.06 16.93 0.11 16.73 0.08 null  null  1.5 "good candidate"
204.24779 -29.80129 26.90 0.42 25.79 0.13 23.43 0.05 20.68 0.03 18.46 0.06 16.95 0.06 17.41 0.06 null  null  2.  "faint companion nearby"
204.27008 -29.80718 25.25 0.19 24.72 0.08 22.35 0.04 20.21 0.03 18.28 0.04 16.94 0.04 17.25 0.07 null  null  2.  "two close similar stars"
204.27208 -29.80829 null null  29.69 0.90 26.68 0.22 22.04 0.04 18.94 0.07 16.91 0.10 16.97 0.06 null  null  2.  "some companions nearby"
204.23951 -29.80921 26.16 0.30 27.44 0.27 25.65 0.13 21.79 0.04 18.66 0.06 16.53 0.09 16.77 0.04 null  null  1.5 "blue stars in area"
204.26044 -29.81253 25.72 0.24 26.52 0.18 25.17 0.11 21.70 0.04 19.05 0.09 16.89 0.04 17.65 0.10 null  null  1.5 "nearby companion"
204.26152 -29.81385 23.54 0.09 23.07 0.05 22.14 0.04 21.36 0.03 17.98 0.07 17.03 0.05 16.46 0.09 null  null  4.  "compact association"
204.28665 -29.81637 24.51 0.14 24.89 0.09 23.26 0.05 20.81 0.03 18.65 0.06 17.12 0.12 17.43 0.08 null  null  3.  "several objects in area"
204.26520 -29.81649 null null null  null null  null    24.88 0.11 null  null null  null   17.39 0.27 17.87 0.52 4.5 "uncertain"
204.26209 -29.81663 null null  27.76 0.33 24.45 0.08 20.83 0.03 18.71 0.06 16.81 0.09 17.15 0.09 null  null  2.  "good candidate"
204.28041 -29.81667 23.11 0.08 22.13 0.04 21.21 0.03 20.52 0.03 null  null null  null   16.44 0.15 16.75 0.24 3.  "crowded"
204.28956 -29.81703 23.97 0.11 24.77 0.08 23.05 0.05 20.72 0.03 18.80 0.06 17.22 0.04 17.18 0.07 null  null  3.  "several objects in area"
204.25765 -29.81874 null null null  null null  null null  null     17.67 0.03 16.51 0.04 16.52 0.07 17.06 0.10 5.  "crowded"
204.25643 -29.81915 25.52 0.22 26.20 0.15 25.19 0.11 21.78 0.04 18.73 0.06 16.82 0.15 17.37 0.12 null  null  3.  "crowded"
204.26922 -29.81975 25.28 0.20 26.05 0.14 25.53 0.13 21.57 0.03 18.88 0.07 16.90 0.05 16.96 0.07 null  null  2.  "faint candidate"
204.26219 -29.81984 22.18 0.05 23.47 0.05 22.82 0.04 20.93 0.03 17.87 0.05 16.47 0.04 16.43 0.09 null  null  3.  "crowded"
204.26318 -29.81985 21.22 0.04 21.78 0.03 21.36 0.03 20.48 0.03 18.02 0.04 16.73 0.08 16.94 0.06 null  null  3.  "cluster"
204.26763 -29.81998 26.00 0.29 25.60 0.12 23.28 0.05 20.66 0.03 17.91 0.06 16.85 0.10 16.56 0.08 null  null  1.5 "good candidate"
204.27432 -29.82038 22.00 0.05 23.26 0.05 23.10 0.05 22.52 0.04 null  null null  null   16.21 0.09 16.59 0.10 3.  "crowded"
