WFC3/UVIS PSF Encircled Energy Fraction vs. Aperture Radius (arcsec)
wl(um):   0.2   0.3   0.4   0.5   0.6   0.7   0.8   0.9   1.0   1.1
 0.10   0.660 0.739 0.754 0.745 0.720 0.687 0.650 0.623 0.612 0.605
 0.15   0.717 0.793 0.823 0.834 0.832 0.823 0.807 0.778 0.742 0.699
 0.20   0.752 0.822 0.845 0.859 0.859 0.857 0.853 0.847 0.844 0.829
 0.25   0.781 0.844 0.864 0.875 0.877 0.874 0.870 0.867 0.868 0.864
 0.30   0.802 0.858 0.880 0.888 0.890 0.889 0.883 0.879 0.879 0.876
 0.40   0.831 0.880 0.899 0.911 0.910 0.907 0.906 0.904 0.900 0.894
 0.50   0.861 0.894 0.912 0.923 0.925 0.923 0.918 0.915 0.918 0.917
 0.60   0.884 0.906 0.922 0.932 0.934 0.933 0.931 0.927 0.927 0.923
 0.80   0.936 0.928 0.936 0.944 0.947 0.946 0.945 0.942 0.944 0.942
 1.00   0.967 0.946 0.948 0.954 0.955 0.955 0.955 0.952 0.955 0.952
 1.50   0.989 0.984 0.973 0.970 0.970 0.969 0.967 0.966 0.970 0.968
 2.00   0.994 0.992 0.989 0.985 0.980 0.977 0.976 0.975 0.978 0.976
 
WFC3/UVIS PSF Ensquared Energy Fraction vs. Aperture Size (px)
wl(um):   0.2   0.3   0.4   0.5   0.6   0.7   0.8   0.9   1.0   1.1
    1   0.126 0.165 0.184 0.188 0.180 0.166 0.149 0.132 0.117 0.103
    2   0.354 0.412 0.431 0.437 0.434 0.423 0.405 0.380 0.352 0.322
    3   0.546 0.610 0.613 0.600 0.578 0.563 0.553 0.543 0.531 0.510
    5   0.681 0.760 0.784 0.783 0.767 0.738 0.699 0.662 0.638 0.624
    7   0.725 0.800 0.827 0.839 0.839 0.832 0.821 0.802 0.775 0.737
    9   0.757 0.826 0.849 0.861 0.861 0.860 0.856 0.851 0.849 0.838
   11   0.782 0.845 0.866 0.876 0.878 0.874 0.870 0.869 0.869 0.864
   13   0.801 0.858 0.880 0.889 0.890 0.888 0.883 0.878 0.880 0.877
   15   0.816 0.868 0.891 0.900 0.900 0.899 0.895 0.889 0.888 0.884
   17   0.830 0.879 0.898 0.909 0.909 0.907 0.905 0.900 0.898 0.892
   19   0.843 0.887 0.905 0.916 0.916 0.914 0.911 0.909 0.909 0.902
   21   0.857 0.893 0.910 0.922 0.923 0.920 0.917 0.914 0.917 0.911
   23   0.868 0.899 0.916 0.926 0.928 0.926 0.923 0.919 0.921 0.919
   25   0.879 0.905 0.920 0.930 0.932 0.931 0.928 0.924 0.926 0.923
   51   0.978 0.964 0.957 0.962 0.962 0.961 0.961 0.959 0.962 0.960
  101   0.996 0.994 0.992 0.992 0.987 0.984 0.982 0.980 0.983 0.981
 
WFC3/UVIS PSF Sharpness
wl(um):   0.2   0.3   0.4   0.5   0.6   0.7   0.8   0.9   1.0   1.1
Ctr'd   0.041 0.056 0.061 0.061 0.058 0.053 0.048 0.043 0.039 0.035
Cornr   0.040 0.051 0.055 0.055 0.053 0.050 0.047 0.042 0.038 0.034
 
WFC3/UVIS PSF FWHM (px / arcsec)
wl(um):   0.2   0.3   0.4   0.5   0.6   0.7   0.8   0.9   1.0   1.1
        2.069 1.870 1.738 1.675 1.681 1.746 1.844 1.960 2.091 2.236
        0.083 0.075 0.070 0.067 0.067 0.070 0.074 0.078 0.084 0.089
