# logt_yr f225w f336w f373n f438w f487n f502n f555w f657n f673n f814w 
+5.0000 -1.0388 -0.2268 -0.9328 +1.1682 +0.0025 +0.3167 +1.0101 -1.1581 -0.1012 +0.7822
+5.0500 -1.0674 -0.2477 -0.9599 +1.1727 -0.0137 +0.3021 +1.0203 -1.1850 -0.1140 +0.8158
+5.1000 -1.0399 -0.2166 -0.9273 +1.2118 +0.0259 +0.3425 +1.0665 -1.1454 -0.0699 +0.8753
+5.1500 -1.0687 -0.2394 -0.9599 +1.2095 +0.0047 +0.3235 +1.0703 -1.1752 -0.0868 +0.8964
+5.2000 -1.1004 -0.2642 -0.9897 +1.2023 -0.0134 +0.3070 +1.0722 -1.1985 -0.0996 +0.9214
+5.2500 -1.0776 -0.2388 -0.9616 +1.2346 +0.0226 +0.3435 +1.1116 -1.1610 -0.0595 +0.9766
+5.3000 -1.1101 -0.2671 -0.9949 +1.2268 -0.0009 +0.3205 +1.1110 -1.1930 -0.0798 +1.0042
+5.3500 -1.1388 -0.2907 -1.0139 +1.2171 -0.0137 +0.3082 +1.1101 -1.2077 -0.0874 +1.0280
+5.4000 -1.1295 -0.2837 -1.0134 +1.2354 -0.0113 +0.3108 +1.1276 -1.2123 -0.0848 +1.0639
+5.4500 -1.1606 -0.3120 -1.0422 +1.2213 -0.0355 +0.2872 +1.1172 -1.2410 -0.1066 +1.0763
+5.5000 -1.1299 -0.2791 -0.9929 +1.2549 +0.0171 +0.3394 +1.1585 -1.1808 -0.0491 +1.1315
+5.5500 -1.1692 -0.3186 -1.0434 +1.2275 -0.0303 +0.2930 +1.1344 -1.2370 -0.0948 +1.1298
+5.6000 -1.1939 -0.3419 -1.0676 +1.2120 -0.0515 +0.2723 +1.1234 -1.2607 -0.1131 +1.1396
+5.6500 -1.1755 -0.3232 -1.0396 +1.2320 -0.0218 +0.3016 +1.1475 -1.2275 -0.0805 +1.1776
