#clustering band1 band2 band3 band4 b_width eps min_samp damp pref km_in score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40 c_41 c_42 c_43 c_44 c_45 c_46 c_47 c_48 c_49 c_50 c_51 c_52 c_53 c_54 c_55 c_56 c_57 c_58 c_59 c_60
meanshift mag05_555 mag05_814 mag05_225 mag05_336 0.4216 N/A N/A N/A N/A N/A 0.2873 45 6476 4955  490  345  279   52   50   40   35   23   17   16   15   14   14   13   13   10    7    7    6    6    6    6    5    5    5    4    4    4    3    3    3    3    3    2    2    2    2    1    1    1    1    1    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_336 N/A N/A N/A N/A N/A meanshift 0.3205 43 6476 458 385 367 349 332 315 312 264 242 238 201 186 185 183 177 173 160 151 139 139 136 119 117 111 109 105  87  87  83  75  68  65  55  52  50  36  33  32  32  27  20  11  10   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_336 N/A N/A N/A N/A N/A meanshift 0.3232 44 6476 394 381 377 373 334 327 314 301 244 228 214 211 206 184 179 178 164 151 140 129 116 114 100  90  90  88  84  80  80  79  77  67  65  54  53  50  45  30  24  21  15  13   7   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_336 N/A N/A N/A N/A N/A meanshift 0.3196 45 6476 405 371 370 368 355 318 303 268 258 246 220 203 193 189 167 158 150 146 137 134 134 129 122 107  97  88  87  85  80  67  63  57  55  51  49  49  41  33  27  24  20  16  16  10  10   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_336 N/A N/A N/A N/A N/A meanshift 0.3227 46 6476 435 367 357 341 320 310 307 256 248 246 223 203 198 196 187 186 160 154 138 138 135 111 101 101 100  91  88  80  70  67  64  62  57  57  51  50  41  32  28  27  25  20  20  11  10   7   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_336 N/A N/A N/A N/A N/A meanshift 0.3190 47 6476 376 370 357 338 320 301 270 260 257 242 211 203 198 198 197 189 174 170 153 129 119 116 115  97  83  81  80  74  71  71  70  67  66  61  52  50  47  45  35  31  31  28  25  17  15  11   5   0   0   0   0   0   0   0   0   0   0   0   0   0
meanshift mag05_555 mag05_814 mag05_225 mag05_373 0.6438 N/A N/A N/A N/A N/A 0.0920 7 1056 792 150  94   8   5   5   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_373 N/A N/A N/A N/A N/A meanshift 0.3944 5 1056 323 319 198 172  44   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_373 N/A N/A N/A N/A N/A meanshift 0.4065 6 1056 361 234 154 152 117  38   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_373 N/A N/A N/A N/A N/A meanshift 0.3665 7 1056 272 242 188 157 126  48  23   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_373 N/A N/A N/A N/A N/A meanshift 0.3601 8 1056 233 210 185 126 122 118  40  22   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_373 N/A N/A N/A N/A N/A meanshift 0.3707 9 1056 232 209 162 132  91  88  85  35  22   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
