#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_225 mag05_336 mag05_438 mag05_555 0.3355 N/A N/A N/A N/A 0.481871610504 12 14943 14491   279    92    30    20    19     3     3     3     1     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.5347 N/A N/A N/A N/A 0.303385985618 8 14095 13562   300    91    85    46     6     4     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_555 mag05_814 0.4809 N/A N/A N/A N/A 0.445165231544 7 14098 13632   326    73    50    13     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_555 N/A N/A N/A experiments.txt 331.961104441 0.31472659205 12 14943 2481 2242 1995 1907 1549 1535 1341  947  447  234  163  102    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1169.72498588 0.32243824649 8 14095 3317 3004 2176 2101 1856  836  525  280    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1045.28168467 0.324760207379 7 14098 3869 3172 2312 2005 1794  509  437    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_438 mag05_555 0.3000 N/A N/A N/A N/A 0.385265585896 16 14943 14108   477   174   103    61     4     3     3     2     2     1     1     1     1     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_438 mag05_555 0.4000 N/A N/A N/A N/A 0.536527875548 8 14943 14498   358    27    24    17    16     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_438 mag05_555 0.5000 N/A N/A N/A N/A 0.680163910129 5 14943 14830    96    14     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_438 mag05_555 0.6000 N/A N/A N/A N/A 0.721140091008 4 14943 14829   106     7     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
