# band limit n_objects
mag05_225 0.1000 4234
mag05_225 0.2000 15011
mag05_225 0.3000 26461
mag05_225 0.4000 35111
mag05_225 0.5000 40543
mag05_225 0.6000 44108
mag05_225 0.7000 46822
mag05_225 0.8000 48910
mag05_225 0.9000 50424
mag3_225 0.1000 26796
mag3_225 0.2000 45651
mag3_225 0.3000 51644
mag3_225 0.4000 54070
mag3_225 0.5000 55169
mag3_225 0.6000 55812
mag3_225 0.7000 56194
mag3_225 0.8000 56446
mag3_225 0.9000 56647
mag05_336 0.1000 11315
mag05_336 0.2000 34129
mag05_336 0.3000 46925
mag05_336 0.4000 51200
mag05_336 0.5000 53847
mag05_336 0.6000 55903
mag05_336 0.7000 57359
mag05_336 0.8000 58384
mag05_336 0.9000 59182
mag3_336 0.1000 46956
mag3_336 0.2000 56814
mag3_336 0.3000 59354
mag3_336 0.4000 60259
mag3_336 0.5000 60705
mag3_336 0.6000 60980
mag3_336 0.7000 61126
mag3_336 0.8000 61250
mag3_336 0.9000 61337
mag05_373 0.1000 2048
mag05_373 0.2000 8878
mag05_373 0.3000 18988
mag05_373 0.4000 30102
mag05_373 0.5000 38567
mag05_373 0.6000 43895
mag05_373 0.7000 47172
mag05_373 0.8000 49297
mag05_373 0.9000 50796
mag3_373 0.1000 20325
mag3_373 0.2000 44577
mag3_373 0.3000 50718
mag3_373 0.4000 52856
mag3_373 0.5000 53814
mag3_373 0.6000 54376
mag3_373 0.7000 54707
mag3_373 0.8000 54943
mag3_373 0.9000 55127
mag05_438 0.1000 15897
mag05_438 0.2000 48858
mag05_438 0.3000 58209
mag05_438 0.4000 62153
mag05_438 0.5000 63850
mag05_438 0.6000 64649
mag05_438 0.7000 65161
mag05_438 0.8000 65458
mag05_438 0.9000 65648
mag3_438 0.1000 57199
mag3_438 0.2000 62770
mag3_438 0.3000 63680
mag3_438 0.4000 64025
mag3_438 0.5000 64185
mag3_438 0.6000 64295
mag3_438 0.7000 64368
mag3_438 0.8000 64423
mag3_438 0.9000 64460
mag05_487 0.1000 3284
mag05_487 0.2000 13335
mag05_487 0.3000 30061
mag05_487 0.4000 45408
mag05_487 0.5000 53389
mag05_487 0.6000 57426
mag05_487 0.7000 59494
mag05_487 0.8000 60650
mag05_487 0.9000 61357
mag3_487 0.1000 29358
mag3_487 0.2000 53543
mag3_487 0.3000 57732
mag3_487 0.4000 59025
mag3_487 0.5000 59645
mag3_487 0.6000 59991
mag3_487 0.7000 60184
mag3_487 0.8000 60305
mag3_487 0.9000 60415
mag05_502 0.1000 3636
mag05_502 0.2000 14654
mag05_502 0.3000 33190
mag05_502 0.4000 48430
mag05_502 0.5000 55583
mag05_502 0.6000 58803
mag05_502 0.7000 60503
mag05_502 0.8000 61545
mag05_502 0.9000 62193
mag3_502 0.1000 31959
mag3_502 0.2000 55015
mag3_502 0.3000 58737
mag3_502 0.4000 59920
mag3_502 0.5000 60484
mag3_502 0.6000 60793
mag3_502 0.7000 60977
mag3_502 0.8000 61128
mag3_502 0.9000 61233
mag05_555 0.1000 39967
mag05_555 0.2000 65652
mag05_555 0.3000 66799
mag05_555 0.4000 67067
mag05_555 0.5000 67182
mag05_555 0.6000 67249
mag05_555 0.7000 67285
mag05_555 0.8000 67317
mag05_555 0.9000 67339
mag3_555 0.1000 64640
mag3_555 0.2000 65941
mag3_555 0.3000 66192
mag3_555 0.4000 66295
mag3_555 0.5000 66351
mag3_555 0.6000 66388
mag3_555 0.7000 66411
mag3_555 0.8000 66427
mag3_555 0.9000 66447
mag05_657 0.1000 18780
mag05_657 0.2000 67634
mag05_657 0.3000 67748
mag05_657 0.4000 67764
mag05_657 0.5000 67768
mag05_657 0.6000 67773
mag05_657 0.7000 67776
mag05_657 0.8000 67776
mag05_657 0.9000 67779
mag3_657 0.1000 67805
mag3_657 0.2000 67808
mag3_657 0.3000 67809
mag3_657 0.4000 67810
mag3_657 0.5000 67810
mag3_657 0.6000 67810
mag3_657 0.7000 67810
mag3_657 0.8000 67810
mag3_657 0.9000 67810
mag05_673 0.1000 5070
mag05_673 0.2000 25295
mag05_673 0.3000 47011
mag05_673 0.4000 56941
mag05_673 0.5000 60717
mag05_673 0.6000 62436
mag05_673 0.7000 63329
mag05_673 0.8000 63822
mag05_673 0.9000 64163
mag3_673 0.1000 43846
mag3_673 0.2000 57851
mag3_673 0.3000 59936
mag3_673 0.4000 60697
mag3_673 0.5000 61084
mag3_673 0.6000 61277
mag3_673 0.7000 61437
mag3_673 0.8000 61528
mag3_673 0.9000 61593
mag05_814 0.1000 34265
mag05_814 0.2000 59600
mag05_814 0.3000 64501
mag05_814 0.4000 65774
mag05_814 0.5000 66217
mag05_814 0.6000 66474
mag05_814 0.7000 66608
mag05_814 0.8000 66683
mag05_814 0.9000 66745
mag3_814 0.1000 59618
mag3_814 0.2000 62199
mag3_814 0.3000 62841
mag3_814 0.4000 63105
mag3_814 0.5000 63269
mag3_814 0.6000 63349
mag3_814 0.7000 63410
mag3_814 0.8000 63455
mag3_814 0.9000 63490
