# band wave_mean wave_median wave_std wave_var wave_min wave_max num_obj unc_mean unc_median unc_std unc_var unc_min unc_max

mag05_225 25.0820 25.3510 0.9837 0.9677 18.1850 26.2240 15011 0.1291 0.1340 0.0453 0.0021 0.0049 0.1999
mag3_225 24.2063 24.4310 1.3216 1.7467 15.6860 26.2170 45651 0.0933 0.0883 0.0464 0.0022 0.0016 0.1999

mag05_336 25.9930 26.2710 1.0853 1.1780 18.6300 27.2840 34129 0.1227 0.1258 0.0470 0.0022 0.0037 0.1999
mag3_336 24.4946 24.6350 1.3825 1.9112 16.1360 27.2230 56814 0.0675 0.0597 0.0393 0.0015 0.0012 0.1999

mag05_373 24.7399 25.0105 0.9075 0.8236 18.6960 25.7440 8878 0.1356 0.1428 0.0439 0.0019 0.0078 0.1999
mag3_373 24.1124 24.3250 1.1080 1.2277 15.0060 25.7220 44577 0.1068 0.1052 0.0438 0.0019 0.0014 0.1999

mag05_438 27.4813 27.7730 1.0801 1.1667 20.0790 28.7990 48858 0.1213 0.1254 0.0453 0.0021 0.0036 0.1999
mag3_438 25.5276 25.6640 1.3121 1.7215 17.5500 28.6210 62770 0.0547 0.0484 0.0323 0.0010 0.0011 0.1999

mag05_487 25.6774 25.9750 0.9831 0.9665 19.7810 26.7330 13335 0.1341 0.1413 0.0458 0.0021 0.0083 0.1999
mag3_487 24.8559 25.0800 1.1785 1.3888 17.2640 26.6660 53543 0.0970 0.0947 0.0425 0.0018 0.0026 0.1999

mag05_502 26.0427 26.3540 0.9843 0.9689 20.0150 27.0930 14654 0.1344 0.1424 0.0458 0.0021 0.0077 0.1999
mag3_502 25.1532 25.3680 1.1720 1.3735 17.5700 27.0160 55015 0.0943 0.0916 0.0416 0.0017 0.0025 0.1999

mag05_555 27.5973 27.8440 1.0888 1.1854 20.1820 29.5730 65652 0.0897 0.0900 0.0356 0.0013 0.0026 0.1999
mag3_555 25.2676 25.4370 1.2127 1.4706 17.5590 29.5850 65941 0.0349 0.0312 0.0217 0.0005 0.0008 0.1999

mag05_657 25.6933 25.8660 0.7571 0.5732 18.9850 27.0260 67634 0.1136 0.1172 0.0299 0.0009 0.0049 0.1999
mag3_657 22.3703 22.5240 0.6788 0.4608 16.1220 26.7270 67808 0.0243 0.0251 0.0057 0.0000 0.0013 0.1741

mag05_673 26.0703 26.3420 0.9301 0.8651 19.1670 27.0410 25295 0.1381 0.1454 0.0436 0.0019 0.0053 0.1999
mag3_673 24.6720 24.8090 1.1556 1.3355 17.1640 26.9000 57851 0.0787 0.0731 0.0377 0.0014 0.0021 0.1999

mag05_814 26.5835 26.7090 1.1204 1.2552 19.1250 28.4360 59600 0.0970 0.0905 0.0432 0.0019 0.0027 0.1999
mag3_814 24.2417 24.2860 1.2164 1.4796 16.9490 27.7220 62199 0.0384 0.0310 0.0272 0.0007 0.0010 0.1999
