# object_id magnitude
253.0 23.249
269.0 25.146
285.0 26.55
288.0 27.721
303.0 25.322
306.0 25.129
308.0 22.37
310.0 23.967
313.0 24.729
349.0 26.546
366.0 23.701
379.0 26.01
383.0 24.596
398.0 23.441
405.0 25.022
413.0 24.608
414.0 24.648
422.0 23.488
425.0 23.904
434.0 24.68
435.0 24.115
443.0 23.988
444.0 24.689
449.0 27.598
457.0 24.862
464.0 23.521
471.0 24.969
472.0 23.75
481.0 25.504
487.0 23.904
491.0 23.786
497.0 24.32
507.0 25.042
515.0 24.332
517.0 26.112
524.0 28.48
529.0 24.263
536.0 26.238
538.0 24.965
545.0 24.385
553.0 25.199
554.0 26.053
557.0 25.298
564.0 24.16
565.0 24.635
575.0 23.539
577.0 22.809
612.0 25.299
614.0 25.555
615.0 22.699
627.0 24.175
630.0 25.033
631.0 24.894
634.0 25.708
638.0 25.095
645.0 23.159
646.0 23.597
651.0 24.314
657.0 25.275
659.0 24.375
683.0 24.864
685.0 23.711
687.0 23.642
688.0 22.821
691.0 23.936
696.0 24.209
701.0 22.446
708.0 21.809
715.0 22.325
719.0 23.874
723.0 24.217
730.0 22.905
738.0 22.905
746.0 24.687
747.0 25.393
752.0 26.205
753.0 24.852
763.0 24.569
767.0 24.372
768.0 25.647
772.0 23.367
776.0 24.638
780.0 22.424
784.0 23.349
785.0 22.088
789.0 22.785
795.0 24.144
798.0 24.024
805.0 25.123
810.0 21.296
816.0 24.38
817.0 23.77
818.0 24.769
819.0 24.949
825.0 23.486
826.0 23.067
829.0 22.662
830.0 23.326
831.0 24.652
836.0 22.817
838.0 23.233
842.0 23.038
844.0 22.196
845.0 23.049
847.0 25.465
854.0 24.091
857.0 22.463
859.0 24.581
864.0 24.927
865.0 24.461
872.0 25.097
877.0 24.212
881.0 25.819
882.0 25.131
888.0 25.22
891.0 25.155
893.0 23.58
894.0 22.74
895.0 24.21
899.0 23.397
911.0 24.041
912.0 24.302
913.0 25.083
919.0 24.928
922.0 25.127
924.0 24.823
927.0 24.647
929.0 24.302
936.0 25.518
937.0 23.125
942.0 25.174
946.0 23.237
947.0 23.385
948.0 24.132
949.0 25.255
951.0 24.63
956.0 25.026
961.0 22.297
964.0 25.373
975.0 23.245
977.0 24.227
979.0 24.054
983.0 26.351
987.0 23.496
996.0 23.646
997.0 25.349
1003.0 22.833
1014.0 24.482
1015.0 25.588
1016.0 23.878
1034.0 24.035
1035.0 22.211
1040.0 25.211
1043.0 24.573
1044.0 24.72
1058.0 22.099
1059.0 25.379
1060.0 25.898
1062.0 21.5
1067.0 23.808
1074.0 24.528
1077.0 25.273
1079.0 23.051
1080.0 26.471
1081.0 23.132
1083.0 25.779
1093.0 25.783
1103.0 23.582
1107.0 23.846
1108.0 24.315
1109.0 22.476
1110.0 23.983
1111.0 24.448
1113.0 23.989
1120.0 25.28
1126.0 28.322
1127.0 25.782
1129.0 27.796
1133.0 25.288
1135.0 22.451
1136.0 21.277
1142.0 23.744
1144.0 24.498
1149.0 23.743
1150.0 25.067
1165.0 24.746
1167.0 23.716
1171.0 25.115
1174.0 25.751
1183.0 24.026
1196.0 25.443
1198.0 23.574
1199.0 25.307
1202.0 28.481
1207.0 24.3
1208.0 22.224
1210.0 24.813
1214.0 22.015
1216.0 24.324
1217.0 24.719
1221.0 26.091
1227.0 20.667
1237.0 25.218
1238.0 24.238
1239.0 21.953
1244.0 25.767
1251.0 23.883
1253.0 22.255
1259.0 24.461
1266.0 25.681
1267.0 24.099
1272.0 25.363
1274.0 26.171
