# band1 band2 colour_mean colour_median colour_std colour_var colour_min colour_max mag_iqr num_obj unc_mean unc_median unc_std unc_var unc_min unc_max unc_iqr
mag05_336 mag05_438 -1.1259 -1.2090 0.4365 0.1905 -2.9860 1.7480 0.4230 33523 0.1606 0.1659 0.0598 0.0036 0.0052 0.2818 0.0943
mag05_336 mag05_555 -1.0783 -1.1960 0.6074 0.3689 -4.8660 3.5250 0.5760 33692 0.1429 0.1472 0.0537 0.0029 0.0045 0.2805 0.0852
mag05_336 mag05_814 -0.7863 -0.9790 0.9607 0.9229 -3.6870 5.7820 1.0780 29181 0.1588 0.1639 0.0581 0.0034 0.0057 0.2826 0.0892
mag05_438 mag05_555 0.1482 0.0680 0.3774 0.1425 -3.4130 3.2880 0.3470 48660 0.1456 0.1512 0.0539 0.0029 0.0044 0.2774 0.0836
mag05_438 mag05_814 0.6500 0.4300 0.9392 0.8822 -2.0860 6.0910 1.0620 41413 0.1590 0.1664 0.0571 0.0033 0.0047 0.2797 0.0860
mag05_555 mag05_814 0.9133 0.6540 0.9760 0.9526 -2.9990 5.1320 1.5130 57935 0.1334 0.1365 0.0481 0.0023 0.0037 0.2823 0.0706

mag05_225 mag05_373 -0.2017 -0.3510 0.6840 0.4678 -1.6170 3.8320 0.8217 7570 0.1668 0.1737 0.0537 0.0029 0.0092 0.2816 0.0819
mag05_225 mag05_487 -0.8957 -1.0460 0.8163 0.6664 -2.7900 4.5720 0.9470 9321 0.1706 0.1772 0.0559 0.0031 0.0096 0.2819 0.0855
mag05_225 mag05_502 -1.2062 -1.3510 0.8134 0.6616 -2.9300 4.3360 0.9230 9811 0.1716 0.1786 0.0561 0.0032 0.0093 0.2812 0.0861
mag05_225 mag05_657 -0.1300 -0.1920 0.8585 0.7371 -3.2800 5.3990 0.9573 15008 0.1620 0.1690 0.0495 0.0024 0.0079 0.2786 0.0735
mag05_225 mag05_673 -1.0484 -1.2040 0.9694 0.9398 -3.0900 5.2270 1.1410 9545 0.1705 0.1771 0.0560 0.0031 0.0097 0.2813 0.0848

mag05_336 mag05_373 -0.1497 -0.2530 0.4442 0.1973 -1.6590 3.6820 0.4250 8675 0.1504 0.1573 0.0493 0.0024 0.0087 0.2716 0.0769
mag05_336 mag05_487 -0.6428 -0.8580 0.7353 0.5407 -2.0870 3.2430 0.8590 12456 0.1559 0.1622 0.0535 0.0029 0.0091 0.2811 0.0819
mag05_336 mag05_502 -0.9251 -1.1510 0.7557 0.5711 -2.5680 3.1150 0.8730 13401 0.1574 0.1647 0.0538 0.0029 0.0088 0.2818 0.0829
mag05_336 mag05_657 0.4793 0.5010 0.8136 0.6619 -3.2360 5.0400 1.0410 34092 0.1646 0.1714 0.0508 0.0026 0.0072 0.2790 0.0740
mag05_336 mag05_673 -0.6011 -0.8180 0.9904 0.9809 -2.8120 4.8410 1.3330 14675 0.1606 0.1674 0.0556 0.0031 0.0091 0.2811 0.0851

mag05_373 mag05_438 -1.0125 -1.0030 0.4700 0.2209 -5.3180 0.9590 0.3580 8767 0.1473 0.1546 0.0481 0.0023 0.0086 0.2775 0.0745
mag05_438 mag05_487 0.4327 0.3650 0.3416 0.1167 -0.5170 3.4550 0.3270 13269 0.1493 0.1565 0.0511 0.0026 0.0091 0.2780 0.0802
mag05_438 mag05_502 0.1644 0.0950 0.3490 0.1218 -1.0160 5.0900 0.3440 14559 0.1510 0.1591 0.0517 0.0027 0.0086 0.2794 0.0812
mag05_438 mag05_657 1.8594 1.8790 0.7242 0.5244 -0.8670 5.7780 0.9540 48768 0.1662 0.1738 0.0495 0.0025 0.0068 0.2786 0.0700
mag05_438 mag05_673 0.7372 0.5055 0.8475 0.7182 -1.0530 4.9310 1.1260 18988 0.1607 0.1685 0.0560 0.0031 0.0066 0.2810 0.0847

mag05_373 mag05_555 -0.9638 -1.0050 0.6356 0.4040 -5.1660 2.6970 0.5150 8853 0.1422 0.1496 0.0458 0.0021 0.0084 0.2711 0.0715
mag05_487 mag05_555 -0.2709 -0.2480 0.3154 0.0995 -3.9010 1.2250 0.2850 13322 0.1411 0.1484 0.0478 0.0023 0.0087 0.2705 0.0751
mag05_502 mag05_555 0.0070 0.0280 0.2904 0.0844 -5.2120 1.1060 0.2340 14644 0.1418 0.1500 0.0479 0.0023 0.0081 0.2581 0.0761
mag05_555 mag05_657 1.9159 1.9590 0.6731 0.4531 -0.9940 5.3020 0.8780 65502 0.1457 0.1501 0.0413 0.0017 0.0056 0.2780 0.0547
mag05_555 mag05_673 0.6554 0.5470 0.6000 0.3600 -0.8480 4.1690 0.9990 25236 0.1521 0.1595 0.0490 0.0024 0.0059 0.2787 0.0715

mag05_373 mag05_814 -0.7802 -0.9630 0.8523 0.7264 -5.4580 5.0590 0.8843 8732 0.1510 0.1578 0.0493 0.0024 0.0095 0.2759 0.0750
mag05_487 mag05_814 0.0181 -0.1320 0.6908 0.4772 -2.9870 4.4140 0.7438 13210 0.1504 0.1581 0.0517 0.0027 0.0087 0.2794 0.0800
mag05_502 mag05_814 0.3170 0.1660 0.6866 0.4714 -3.3600 4.2020 0.7090 14507 0.1515 0.1593 0.0521 0.0027 0.0081 0.2754 0.0808
mag05_657 mag05_814 -0.9467 -0.9570 0.7654 0.5859 -4.3510 2.3130 1.0940 59465 0.1495 0.1504 0.0455 0.0021 0.0057 0.2770 0.0615
mag05_673 mag05_814 0.3283 0.2210 0.5616 0.3154 -3.7990 3.0030 0.6990 25185 0.1535 0.1599 0.0489 0.0024 0.0060 0.2766 0.0718
