# band1 band2 limit n_objects
mag05_225 mag05_555 0.1 3382
mag05_225 mag05_555 0.2 13242
mag05_225 mag05_555 0.3 24547
mag05_225 mag05_555 0.4 34024
mag05_225 mag05_555 0.5 39902
mag05_225 mag05_555 0.6 43676
mag05_225 mag05_555 0.7 46479
mag05_225 mag05_555 0.8 48602
mag05_225 mag05_555 0.9 50138
mag05_438 mag05_555 0.1 10892
mag05_438 mag05_555 0.2 39834
mag05_438 mag05_555 0.3 56482
mag05_438 mag05_555 0.4 61219
mag05_438 mag05_555 0.5 63311
mag05_438 mag05_555 0.6 64271
mag05_438 mag05_555 0.7 64836
mag05_438 mag05_555 0.8 65170
mag05_438 mag05_555 0.9 65382
mag05_555 mag05_814 0.1 15039
mag05_555 mag05_814 0.2 53071
mag05_555 mag05_814 0.3 63105
mag05_555 mag05_814 0.4 65050
mag05_555 mag05_814 0.5 65690
mag05_555 mag05_814 0.6 66051
mag05_555 mag05_814 0.7 66226
mag05_555 mag05_814 0.8 66336
mag05_555 mag05_814 0.9 66425
mag05_336 mag05_555 0.1 8103
mag05_336 mag05_555 0.2 27958
mag05_336 mag05_555 0.3 44954
mag05_336 mag05_555 0.4 50374
mag05_336 mag05_555 0.5 53203
mag05_336 mag05_555 0.6 55381
mag05_336 mag05_555 0.7 56909
mag05_336 mag05_555 0.8 57979
mag05_336 mag05_555 0.9 58812
mag05_373 mag05_555 0.1 1827
mag05_373 mag05_555 0.2 8177
mag05_373 mag05_555 0.3 17724
mag05_373 mag05_555 0.4 28683
mag05_373 mag05_555 0.5 37598
mag05_373 mag05_555 0.6 43274
mag05_373 mag05_555 0.7 46756
mag05_373 mag05_555 0.8 48962
mag05_373 mag05_555 0.9 50525
mag05_487 mag05_555 0.1 2912
mag05_487 mag05_555 0.2 12144
mag05_487 mag05_555 0.3 27421
mag05_487 mag05_555 0.4 43459
mag05_487 mag05_555 0.5 52393
mag05_487 mag05_555 0.6 56817
mag05_487 mag05_555 0.7 59061
mag05_487 mag05_555 0.8 60345
mag05_487 mag05_555 0.9 61103
mag05_502 mag05_555 0.1 3200
mag05_502 mag05_555 0.2 13280
mag05_502 mag05_555 0.3 30161
mag05_502 mag05_555 0.4 46567
mag05_502 mag05_555 0.5 54618
mag05_502 mag05_555 0.6 58287
mag05_502 mag05_555 0.7 60130
mag05_502 mag05_555 0.8 61264
mag05_502 mag05_555 0.9 61958
mag05_555 mag05_657 0.1 9104
mag05_555 mag05_657 0.2 60642
mag05_555 mag05_657 0.3 66498
mag05_555 mag05_657 0.4 66962
mag05_555 mag05_657 0.5 67108
mag05_555 mag05_657 0.6 67189
mag05_555 mag05_657 0.7 67230
mag05_555 mag05_657 0.8 67260
mag05_555 mag05_657 0.9 67289
mag05_555 mag05_673 0.1 4155
mag05_555 mag05_673 0.2 20760
mag05_555 mag05_673 0.3 43138
mag05_555 mag05_673 0.4 55323
mag05_555 mag05_673 0.5 59935
mag05_555 mag05_673 0.6 61960
mag05_555 mag05_673 0.7 62980
mag05_555 mag05_673 0.8 63518
mag05_555 mag05_673 0.9 63887
