# band1 band2 limit n_objects
mag3_225 mag3_555 0.1 24417
mag3_225 mag3_555 0.2 44562
mag3_225 mag3_555 0.3 50827
mag3_225 mag3_555 0.4 53347
mag3_225 mag3_555 0.5 54470
mag3_225 mag3_555 0.6 55118
mag3_225 mag3_555 0.7 55501
mag3_225 mag3_555 0.8 55753
mag3_225 mag3_555 0.9 55954
mag3_438 mag3_555 0.1 54020
mag3_438 mag3_555 0.2 61899
mag3_438 mag3_555 0.3 63047
mag3_438 mag3_555 0.4 63470
mag3_438 mag3_555 0.5 63657
mag3_438 mag3_555 0.6 63775
mag3_438 mag3_555 0.7 63854
mag3_438 mag3_555 0.8 63910
mag3_438 mag3_555 0.9 63953
mag3_555 mag3_814 0.1 56509
mag3_555 mag3_814 0.2 60791
mag3_555 mag3_814 0.3 61672
mag3_555 mag3_814 0.4 62017
mag3_555 mag3_814 0.5 62229
mag3_555 mag3_814 0.6 62339
mag3_555 mag3_814 0.7 62412
mag3_555 mag3_814 0.8 62471
mag3_555 mag3_814 0.9 62518
mag3_336 mag3_555 0.1 43008
mag3_336 mag3_555 0.2 55716
mag3_336 mag3_555 0.3 58490
mag3_336 mag3_555 0.4 59475
mag3_336 mag3_555 0.5 59950
mag3_336 mag3_555 0.6 60244
mag3_336 mag3_555 0.7 60400
mag3_336 mag3_555 0.8 60531
mag3_336 mag3_555 0.9 60628
mag3_373 mag3_555 0.1 18361
mag3_373 mag3_555 0.2 43304
mag3_373 mag3_555 0.3 49886
mag3_373 mag3_555 0.4 52125
mag3_373 mag3_555 0.5 53109
mag3_373 mag3_555 0.6 53697
mag3_373 mag3_555 0.7 54034
mag3_373 mag3_555 0.8 54268
mag3_373 mag3_555 0.9 54459
mag3_487 mag3_555 0.1 26767
mag3_487 mag3_555 0.2 52553
mag3_487 mag3_555 0.3 57173
mag3_487 mag3_555 0.4 58543
mag3_487 mag3_555 0.5 59179
mag3_487 mag3_555 0.6 59534
mag3_487 mag3_555 0.7 59730
mag3_487 mag3_555 0.8 59854
mag3_487 mag3_555 0.9 59968
mag3_502 mag3_555 0.1 29032
mag3_502 mag3_555 0.2 54096
mag3_502 mag3_555 0.3 58174
mag3_502 mag3_555 0.4 59437
mag3_502 mag3_555 0.5 60038
mag3_502 mag3_555 0.6 60361
mag3_502 mag3_555 0.7 60554
mag3_502 mag3_555 0.8 60695
mag3_502 mag3_555 0.9 60807
mag3_555 mag3_657 0.1 64500
mag3_555 mag3_657 0.2 65921
mag3_555 mag3_657 0.3 66174
mag3_555 mag3_657 0.4 66278
mag3_555 mag3_657 0.5 66335
mag3_555 mag3_657 0.6 66372
mag3_555 mag3_657 0.7 66394
mag3_555 mag3_657 0.8 66411
mag3_555 mag3_657 0.9 66431
mag3_555 mag3_673 0.1 39608
mag3_555 mag3_673 0.2 56745
mag3_555 mag3_673 0.3 59162
mag3_555 mag3_673 0.4 59958
mag3_555 mag3_673 0.5 60367
mag3_555 mag3_673 0.6 60582
mag3_555 mag3_673 0.7 60755
mag3_555 mag3_673 0.8 60847
mag3_555 mag3_673 0.9 60919
