#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt  649.412227261 0.359293748967 5 5726 2413 1346 1180  483  304    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt  1017.06318172 0.357119706701 5 5726 2221 2001  996  372  136    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt  536.727601682 0.454910213664 5 5726 1977 1464 1394  637  254    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_438 mag05_336 mag05_555 N/A N/A N/A experiments.txt  384.181932911 0.440077977466 5 6672 2448 2102 1472  450  200    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_438 mag05_336 mag05_814 N/A N/A N/A experiments.txt  819.83241131 0.4094229961 5 5726 1926 1455 1402  646  297    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_555 mag05_336 mag05_814 N/A N/A N/A experiments.txt  896.194427186 0.419586146609 5 5755 2028 1528 1331  591  277    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt  843.884274723 0.438614618699 5 8178 2762 2444 1773  816  383    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_555 mag05_336 mag05_438 N/A N/A N/A experiments.txt  357.825520599 0.346849354492 5 6672 2435 1700 1471  803  263    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt  840.674372069 0.36546787629 5 5726 2218 2158  909  295  146    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_814 mag05_336 mag05_814 N/A N/A N/A experiments.txt  879.611144949 0.443165437858 5 5726 2032 1566 1339  625  164    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
