#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_555 mag05_814 mag05_336 mag05_438 mag05_438 mag05_555 N/A N/A N/A experiments.txt 862.342141006 0.295856936131 5 5726 2243 1847 1079  384  173    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 mag05_336 mag05_814 N/A N/A N/A experiments.txt 1339.93145067 0.35256795188 5 5726 1921 1454 1397  663  291    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1121.40456458 0.368649766131 5 5726 2213 2135  924  300  154    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 mag05_336 mag05_555 N/A N/A N/A experiments.txt 1105.7244255 0.357506577566 5 5726 2262 1791  829  607  237    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_438 mag05_336 mag05_555 mag05_336 mag05_814 N/A N/A N/A experiments.txt 1186.25343518 0.386250534122 5 5726 2040 1681 1225  522  258    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 982.167561938 0.334744112518 5 5726 2239 2105  927  301  154    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1010.89302816 0.317689051186 5 5726 1947 1933  769  764  313    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.6489 N/A N/A N/A N/A 0.289427118055 9 5726 5287  271  118   32    6    4    4    2    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.6512 N/A N/A N/A N/A 0.334068895414 6 5726 5495  158   30   25   14    4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_438 mag05_336 mag05_555 mag05_336 mag05_814 0.8314 N/A N/A N/A N/A 0.460095276774 3 5726 5611  112    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
