#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 7712.0667604 0.387479488202 3 28931 15552 10629  2750     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 6203.33820637 0.39333297694 4 28931 15192 10312  1789  1638     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 5045.13190025 0.331443771085 5 28931 10969 10548  4826  1623   965     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 4473.98324053 0.315210163694 6 28931 9482 7783 4717 4617 1424  908    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 3968.13601632 0.294121849641 7 28931 7299 7213 5735 4292 2335 1360  697    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 3559.86263158 0.293335905684 8 28931 7059 6508 5966 4458 2590 1272  588  490    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.6500 N/A N/A N/A N/A 0.19369264961 6 28931 27946   571   327    73    13     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.5500 N/A N/A N/A N/A 0.198886135823 10 28931 27453   806   341   206    84    17    11     9     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.6000 N/A N/A N/A N/A 0.192158277363 6 28931 27927   581   330    79    13     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.6500 N/A N/A N/A N/A 0.19369264961 6 28931 27946   571   327    73    13     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.7000 N/A N/A N/A N/A 0.185967960026 6 28931 27951   565   325    71    18     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_438 mag05_438 mag05_555 mag05_438 mag05_814 0.7500 N/A N/A N/A N/A 0.584441651816 4 28931 28039   571   320     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
