#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.5289 N/A N/A N/A N/A 0.396327354704 5 28931 28125   491   305     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt 3316.15221928 0.356073769029 5 28931 11918  7219  5906  2314  1574     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt 5278.30469735 0.441164189417 3 28931 18810  7908  2213     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt 3949.48228121 0.374121446422 4 28931 12930 11378  2589  2034     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt 2797.66600211 0.331570851293 6 28931 8996 7713 5350 4337 1611  924    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0

kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt 2426.2525663 0.324559359214 7 28931 7190 6827 5875 4471 2480 1047 1041    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0

kmeans mag05_336 mag05_438 mag05_555 mag05_814 N/A N/A N/A experiments.txt 2161.91926887 0.318363292516 8 28931 6660 5716 5073 4623 2691 2419 1090  659    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.4000 N/A N/A N/A N/A 0.423655037956 8 28931 25308  2518   917    76    57    48     6     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.4500 N/A N/A N/A N/A 0.398192793433 5 28931 28074   533   314     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.5000 N/A N/A N/A N/A 0.396623866168 5 28931 28113   499   309     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.5500 N/A N/A N/A N/A 0.396201830892 5 28931 28129   487   305     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.6000 N/A N/A N/A N/A 0.403710381544 5 28931 27927   706   288     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0

meanshift mag05_336 mag05_438 mag05_555 mag05_814 0.6500 N/A N/A N/A N/A 0.395675525243 5 28931 28153   472   296     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
