# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2

meanshift 5 1 28125 0.396327354704 0.393683577051 0.9111 0.6985  3.1576 0.0000 0.7833 -1.26101040388 0.055985167796  -1.1309 0.2001

meanshift 5 2 491 0.396327354704 0.383692354787 1.1343 1.0000  3.3483 0.0010 0.7103 1.19028571429 2.574  0.5051 1.2635

meanshift 5 3 9 0.396327354704 0.390740184261 1.6441 0.7661  1.4671 0.1126 1.2532 -2.69066666667 0.129333333333  -2.2542 0.1258

meanshift 5 4 1 0.396327354704 0.0 N/A N/A N/A N/A 0.8410 -1.317 -2.999  -1.3170 -2.9990

meanshift 5 5 305 0.396327354704 0.661922906697 1.7702 0.6211  2.7002 0.0022 1.7071 -2.682 2.306  -1.1991 2.1361

kmeans 5 1 1574 0.356073769029 0.377199501922 0.6576 0.7070  3.5085 0.0010 0.4515 0.28009974587 0.676265565438  0.2801 0.6763

kmeans 5 2 7219 0.356073769029 0.340994619206 0.9673 0.3356  1.8324 0.0000 0.8697 -1.27196301427 0.425082421388  -1.2720 0.4251

kmeans 5 3 2314 0.356073769029 0.265486603833 1.2317 0.6780  3.0842 0.0000 1.2195 -0.977936473639 1.32368971478  -0.9779 1.3237

kmeans 5 4 11918 0.356073769029 0.423816524395 0.9860 0.3444  3.4516 0.0000 0.6314 -1.35719592213 -0.15743220339  -1.3572 -0.1574

kmeans 5 5 5906 0.356073769029 0.267666220909 0.6419 0.3944  1.7786 0.0000 0.5824 -0.807261767694 0.267315611243  -0.8073 0.2673

kmeans 3 1 7908 0.441164189417 0.298198228454 0.9864 0.6003  3.6706 0.0000 0.9773 -1.03848836621 0.77183801214  -1.0385 0.7718

kmeans 3 2 2213 0.441164189417 0.36448687474 0.6313 0.7676  3.5211 0.0010 0.5161 0.0972489832806 0.629725711704  0.0972 0.6297

kmeans 3 3 18810 0.441164189417 0.510290277491 0.9334 0.4329  3.6181 0.0000 0.6675 -1.27325699096 -0.0318266347687  -1.2733 -0.0318

kmeans 4 1 2589 0.374121446422 0.283061409476 1.2252 0.6716  3.0960 0.0000 1.2192 -1.03001390498 1.27253418308  -1.0300 1.2725

kmeans 4 2 2034 0.374121446422 0.370212647974 0.6205 0.7377  3.6126 0.0010 0.4885 0.139746312684 0.625460176991  0.1397 0.6255

kmeans 4 3 12930 0.374121446422 0.436371819903 0.9835 0.3667  3.6181 0.0000 0.6419 -1.3516324826 -0.138465274555  -1.3516 -0.1385

kmeans 4 4 11378 0.374121446422 0.3247988592 0.8274 0.4143  2.0780 0.0000 0.7497 -1.06240534365 0.36229548251  -1.0624 0.3623

kmeans 6 1 5350 0.331570851293 0.273557440504 0.6322 0.3640  1.5692 0.0000 0.5414 -0.826238691589 0.173247663551  -0.8262 0.1732

kmeans 6 2 7713 0.331570851293 0.359817231372 0.9592 0.2796  1.6354 0.0000 0.7930 -1.31666900039 0.237379618825  -1.3167 0.2374

kmeans 6 3 8996 0.331570851293 0.354503605958 1.0047 0.3229  3.1864 0.0000 0.6072 -1.37859771009 -0.222179746554  -1.3786 -0.2222

kmeans 6 4 4337 0.331570851293 0.293908080931 0.9565 0.4175  2.1177 0.0000 0.9479 -1.04607816463 0.789334101914  -1.0461 0.7893

kmeans 6 5 924 0.331570851293 0.295044846602 1.4722 0.7192  3.6657 0.0014 1.4110 -0.927890692641 1.76834199134  -0.9279 1.7683

kmeans 6 6 1611 0.331570851293 0.383276512747 0.6492 0.7016  3.2833 0.0010 0.4502 0.263689633768 0.671802607076  0.2637 0.6718

kmeans 7 1 1041 0.324559359214 0.388277831125 0.7034 0.6444  3.2833 0.0010 0.3831 0.503544668588 0.676331412104  0.5035 0.6763

kmeans 7 2 7190 0.324559359214 0.339008710059 1.0247 0.3055  3.1864 0.0000 0.5981 -1.40349624478 -0.260692072323  -1.4035 -0.2607

kmeans 7 3 1047 0.324559359214 0.293158600153 1.4368 0.7138  3.6657 0.0010 1.3833 -0.931288443171 1.7078252149  -0.9313 1.7078

kmeans 7 4 2480 0.324559359214 0.269731358482 0.5851 0.4427  1.7604 0.0000 0.5842 -0.495968548387 0.559799193548  -0.4960 0.5598

kmeans 7 5 4471 0.324559359214 0.318391481717 0.9822 0.3661  1.7688 0.0000 0.9573 -1.15437486021 0.714642585551  -1.1544 0.7146

kmeans 7 6 6827 0.324559359214 0.349036341034 0.9872 0.2556  1.5662 0.0000 0.7874 -1.36942156145 0.178485718471  -1.3694 0.1785

kmeans 7 7 5875 0.324559359214 0.300576465617 0.7053 0.2999  1.5623 0.0000 0.5501 -0.964231148936 0.0815063829787  -0.9642 0.0815

kmeans 8 1 659 0.318363292516 0.288763535 1.5526 0.7315  3.9084 0.0014 1.4576 -0.860324734446 1.92969650986  -0.8603 1.9297

kmeans 8 2 5073 0.318363292516 0.309397766871 0.7093 0.2842  1.4650 0.0000 0.5160 -0.976365069978 0.00307352651291  -0.9764 0.0031

kmeans 8 3 2419 0.318363292516 0.297532424088 1.0856 0.4040  1.9563 0.0000 1.0829 -1.13399917321 0.983070690368  -1.1340 0.9831

kmeans 8 4 4623 0.318363292516 0.290440458965 1.0320 0.2929  2.8593 0.0000 0.5542 -1.39802703872 -0.342979017954  -1.3980 -0.3430

kmeans 8 5 6660 0.318363292516 0.363364409779 1.0178 0.2324  1.5840 0.0000 0.7430 -1.42676606607 0.0354801801802  -1.4268 0.0355

kmeans 8 6 1090 0.318363292516 0.385432220661 0.6943 0.6505  3.2592 0.0010 0.3870 0.478941284404 0.673909174312  0.4789 0.6739

kmeans 8 7 5716 0.318363292516 0.31877025811 0.9068 0.2778  1.1098 0.0000 0.8213 -1.19051906928 0.422115815255  -1.1905 0.4221

kmeans 8 8 2691 0.318363292516 0.269803907179 0.5864 0.4298  1.6155 0.0000 0.5864 -0.533488665923 0.533343738387  -0.5335 0.5333

meanshift 8 1 25308 0.423655037956 0.437078061593 0.9208 0.5636  2.6570 0.0000 0.7468 -1.28963361887 0.0269134952956  -1.2124 0.1351

meanshift 8 2 2518 0.423655037956 0.293889818625 0.6526 0.7763  2.8517 0.0010 0.5605 0.352183636364 0.443727272727  -0.0125 0.6813

meanshift 8 3 48 0.423655037956 0.346289657874 1.4629 0.8321  2.0867 0.0114 0.6342 1.235 2.507  0.8969 1.7396

meanshift 8 4 6 0.423655037956 0.446958795254 1.7076 0.6665  1.1671 0.1724 1.2125 -2.69066666667 0.129333333333  -2.3703 -0.0343

meanshift 8 5 917 0.423655037956 0.416504502352 1.3936 0.5566  2.0465 0.0010 1.3893 -2.2925 1.3395  -1.2427 1.4598

meanshift 8 6 57 0.423655037956 0.424221939843 1.7871 0.5005  2.0083 0.0142 1.4880 1.058 2.892  -0.4639 2.4434

meanshift 8 7 1 0.423655037956 0.0 N/A N/A N/A N/A 0.8410 -1.317 -2.999  -1.3170 -2.9990

meanshift 8 8 76 0.423655037956 0.391563439702 2.1323 0.5320  2.0884 0.0036 1.9984 -2.682 2.306  -1.2301 2.7176

meanshift 5 1 28074 0.398192793433 0.395193940332 0.9112 0.6945  3.1576 0.0000 0.7822 -1.27952663755 0.0374415470992  -1.1335 0.1989

meanshift 5 2 533 0.398192793433 0.402914916275 1.1013 0.9747  3.3483 0.0010 0.6842 1.235 2.507  0.5098 1.2161

meanshift 5 3 9 0.398192793433 0.389414636131 1.6441 0.7661  1.4671 0.1126 1.2532 -2.69066666667 0.129333333333  -2.2542 0.1258

meanshift 5 4 1 0.398192793433 0.0 N/A N/A N/A N/A 0.8410 -1.317 -2.999  -1.3170 -2.9990

meanshift 5 5 314 0.398192793433 0.65981733707 1.7661 0.6264  2.7002 0.0022 1.7031 -2.682 2.306  -1.1953 2.1304

meanshift 5 1 28113 0.396623866168 0.393948702369 0.9110 0.6976  3.1576 0.0000 0.7830 -1.26776043424 0.0473217459782  -1.1314 0.1998

meanshift 5 2 499 0.396623866168 0.385638391555 1.1295 0.9975  3.3483 0.0010 0.7075 1.19028571429 2.574  0.5047 1.2562

meanshift 5 3 9 0.396623866168 0.390480406441 1.6441 0.7661  1.4671 0.1126 1.2532 -2.69066666667 0.129333333333  -2.2542 0.1258

meanshift 5 4 1 0.396623866168 0.0 N/A N/A N/A N/A 0.8410 -1.317 -2.999  -1.3170 -2.9990

meanshift 5 5 309 0.396623866168 0.659214632241 1.7669 0.6243  2.7002 0.0022 1.7049 -2.682 2.306  -1.2009 2.1289

meanshift 5 1 28129 0.396201830892 0.393592138721 0.9111 0.6988  3.1576 0.0000 0.7833 -1.25826529768 0.059537371334  -1.1307 0.2002

