#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_555 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt 5278.37349778 0.441323720185 3 28931 18824  7892  2215     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt 3949.49469428 0.374088150685 4 28931 12924 11383  2590  2034     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt 3316.43154072 0.357716332445 5 28931 12107  7541  5472  2298  1513     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt 2797.6460808 0.327134798029 6 28931 8373 8149 5237 4568 1618  986    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt 2426.38991041 0.325437634037 7 28931 7283 6862 5857 4512 2371 1047  999    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_336 mag05_438 N/A N/A N/A experiments.txt 2161.9633617 0.318627146405 8 28931 6705 5737 5091 4437 2733 2455 1089  684    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_555 mag05_814 mag05_336 mag05_438 0.4000 N/A N/A N/A N/A 0.423655037956 8 28931 25308  2518   917    76    57    48     6     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_555 mag05_814 mag05_336 mag05_438 0.4500 N/A N/A N/A N/A 0.398192793433 5 28931 28074   533   314     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_555 mag05_814 mag05_336 mag05_438 0.5500 N/A N/A N/A N/A 0.396201830892 5 28931 28129   487   305     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_555 mag05_814 mag05_336 mag05_438 0.6000 N/A N/A N/A N/A 0.403710381544 5 28931 27927   706   288     9     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
