# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
kmeans 3 1 2215 0.441323720185 0.364276995903 0.6312 0.7676  3.5211 0.0010 0.5163 0.629640180587 0.096716027088  0.6296 0.0967
kmeans 3 2 7892 0.441323720185 0.298533167135 0.9867 0.6003  3.6706 0.0000 0.9777 0.772655093766 -1.03858046123  0.7727 -1.0386
kmeans 3 3 18824 0.441323720185 0.510254953662 0.9334 0.4331  3.6181 0.0000 0.6675 -0.0315463238419 -1.27310173183  -0.0315 -1.2731
kmeans 4 1 2590 0.374088150685 0.283108725377 1.2251 0.6715  3.0960 0.0000 1.2191 1.27235868726 -1.03004710425  1.2724 -1.0300
kmeans 4 2 12924 0.374088150685 0.436395434886 0.9835 0.3667  3.6181 0.0000 0.6419 -0.13857629217 -1.35170759827  -0.1386 -1.3517
kmeans 4 3 2034 0.374088150685 0.370246539763 0.6205 0.7377  3.6126 0.0010 0.4885 0.625460176991 0.139746312684  0.6255 0.1397
kmeans 4 4 11383 0.374088150685 0.324733077959 0.8274 0.4143  2.0780 0.0000 0.7497 0.362117543706 -1.06246780286  0.3621 -1.0625
kmeans 5 1 7541 0.357716332445 0.340744664004 0.9575 0.3377  1.7807 0.0000 0.8619 0.423386288291 -1.25735936878  0.4234 -1.2574
kmeans 5 2 1513 0.357716332445 0.382460917741 0.6623 0.7025  3.3842 0.0010 0.4447 0.678442167878 0.303228023794  0.6784 0.3032
kmeans 5 3 5472 0.357716332445 0.270764284125 0.6280 0.4004  1.7801 0.0000 0.5743 0.273004203216 -0.781035635965  0.2730 -0.7810
kmeans 5 4 2298 0.357716332445 0.265798136289 1.2341 0.6793  3.0759 0.0000 1.2217 1.32765013055 -0.978389904265  1.3277 -0.9784
kmeans 5 5 12107 0.357716332445 0.421941525914 0.9843 0.3469  3.6181 0.0000 0.6322 -0.154079375568 -1.35475245726  -0.1541 -1.3548
kmeans 6 1 986 0.327134798029 0.289221413894 1.4537 0.7197  3.6657 0.0014 1.3965 1.73643509128 -0.928912778905  1.7364 -0.9289
kmeans 6 2 1618 0.327134798029 0.380294081849 0.6496 0.7025  3.2833 0.0010 0.4516 0.673167490729 0.260686650185  0.6732 0.2607
kmeans 6 3 5237 0.327134798029 0.274068646473 0.6282 0.3656  1.5610 0.0000 0.5417 0.181646362421 -0.817813442811  0.1816 -0.8178
kmeans 6 4 8373 0.327134798029 0.342845038813 1.0074 0.3223  3.1864 0.0000 0.5999 -0.238799116207 -1.37979505554  -0.2388 -1.3798
kmeans 6 5 8149 0.327134798029 0.356649965864 0.9559 0.2773  1.6420 0.0000 0.7762 0.202414652105 -1.31800785372  0.2024 -1.3180
kmeans 6 6 4568 0.327134798029 0.295877653211 0.9577 0.4109  2.1009 0.0000 0.9457 0.765327276708 -1.06756611208  0.7653 -1.0676
kmeans 7 1 4512 0.325437634037 0.318520816701 0.9775 0.3678  1.7844 0.0000 0.9537 0.71592287234 -1.14524844858  0.7159 -1.1452
kmeans 7 2 2371 0.325437634037 0.272354728739 0.5769 0.4496  1.8190 0.0000 0.5749 0.563392239561 -0.468112610713  0.5634 -0.4681
kmeans 7 3 999 0.325437634037 0.393800822187 0.7102 0.6387  3.2833 0.0010 0.3787 0.677422422422 0.524203203203  0.6774 0.5242
kmeans 7 4 6862 0.325437634037 0.34860129239 0.9866 0.2569  1.5662 0.0000 0.7882 0.181273389682 -1.3681190615  0.1813 -1.3681
kmeans 7 5 7283 0.325437634037 0.339025223266 1.0233 0.3065  3.1864 0.0000 0.5982 -0.258846079912 -1.4015873953  -0.2588 -1.4016
kmeans 7 6 1047 0.325437634037 0.292099179995 1.4375 0.7133  3.6657 0.0010 1.3845 1.707747851 -0.933878701051  1.7077 -0.9339
kmeans 7 7 5857 0.325437634037 0.302519988266 0.7025 0.3010  1.5655 0.0000 0.5506 0.0869204370838 -0.959531500768  0.0869 -0.9595
kmeans 8 1 2733 0.318627146405 0.267865824732 0.5894 0.4299  1.6155 0.0000 0.5894 0.534501280644 -0.538725210392  0.5345 -0.5387
kmeans 8 2 4437 0.318627146405 0.284168873182 1.0268 0.2947  2.8561 0.0000 0.5452 -0.352311471715 -1.38780955601  -0.3523 -1.3878
kmeans 8 3 5737 0.318627146405 0.318514011716 0.9122 0.2763  1.1009 0.0000 0.8230 0.414662890012 -1.20165644065  0.4147 -1.2017
kmeans 8 4 5091 0.318627146405 0.311235084966 0.7087 0.2828  1.4647 0.0000 0.5188 0.010273816539 -0.975696719701  0.0103 -0.9757
kmeans 8 5 6705 0.318627146405 0.366814441017 1.0209 0.2316  1.5692 0.0000 0.7385 0.0216935123042 -1.43145592841  0.0217 -1.4315
kmeans 8 6 2455 0.318627146405 0.300363414427 1.0811 0.3989  1.9563 0.0000 1.0779 0.971064358452 -1.13687983707  0.9711 -1.1369
kmeans 8 7 684 0.318627146405 0.282575379406 1.5415 0.7323  3.9084 0.0014 1.4493 1.91125 -0.861149122807  1.9113 -0.8611
kmeans 8 8 1089 0.318627146405 0.388696153905 0.6939 0.6498  3.2592 0.0010 0.3865 0.673181818182 0.479414141414  0.6732 0.4794
meanshift 8 1 25308 0.423655037956 0.437078061593 0.9208 0.5636  2.6570 0.0000 0.7468 0.0269134952956 -1.28963361887  0.1351 -1.2124
meanshift 8 2 2518 0.423655037956 0.293889818625 0.6526 0.7763  2.8517 0.0010 0.5605 0.443727272727 0.352183636364  0.6813 -0.0125
meanshift 8 3 48 0.423655037956 0.346289657874 1.4629 0.8321  2.0867 0.0114 0.6342 2.507 1.235  1.7396 0.8969
meanshift 8 4 6 0.423655037956 0.446958795254 1.7076 0.6665  1.1671 0.1724 1.2125 0.129333333333 -2.69066666667  -0.0343 -2.3703
meanshift 8 5 57 0.423655037956 0.424221939843 1.7871 0.5005  2.0083 0.0142 1.4880 2.892 1.058  2.4434 -0.4639
meanshift 8 6 917 0.423655037956 0.416504502352 1.3936 0.5566  2.0465 0.0010 1.3893 1.3395 -2.2925  1.4598 -1.2427
meanshift 8 7 1 0.423655037956 0.0 N/A N/A N/A N/A 0.8410 -2.999 -1.317  -2.9990 -1.3170
meanshift 8 8 76 0.423655037956 0.391563439702 2.1323 0.5320  2.0884 0.0036 1.9984 2.306 -2.682  2.7176 -1.2301
meanshift 5 1 28074 0.398192793433 0.395193940332 0.9112 0.6945  3.1576 0.0000 0.7822 0.0374415470992 -1.27952663755  0.1989 -1.1335
meanshift 5 2 533 0.398192793433 0.402914916275 1.1013 0.9747  3.3483 0.0010 0.6842 2.507 1.235  1.2161 0.5098
meanshift 5 3 9 0.398192793433 0.389414636131 1.6441 0.7661  1.4671 0.1126 1.2532 0.129333333333 -2.69066666667  0.1258 -2.2542
meanshift 5 4 1 0.398192793433 0.0 N/A N/A N/A N/A 0.8410 -2.999 -1.317  -2.9990 -1.3170
meanshift 5 5 314 0.398192793433 0.65981733707 1.7661 0.6264  2.7002 0.0022 1.7031 2.306 -2.682  2.1304 -1.1953
meanshift 5 1 28129 0.396201830892 0.393592138721 0.9111 0.6988  3.1576 0.0000 0.7833 0.059537371334 -1.25826529768  0.2002 -1.1307
meanshift 5 2 487 0.396201830892 0.381530128126 1.1372 1.0031  3.3483 0.0010 0.7126 2.574 1.19028571429  1.2673 0.5053
meanshift 5 3 9 0.396201830892 0.390850753176 1.6441 0.7661  1.4671 0.1126 1.2532 0.129333333333 -2.69066666667  0.1258 -2.2542
meanshift 5 4 305 0.396201830892 0.661767443525 1.7702 0.6211  2.7002 0.0022 1.7071 2.306 -2.682  2.1361 -1.1991
meanshift 5 5 1 0.396201830892 0.0 N/A N/A N/A N/A 0.8410 -2.999 -1.317  -2.9990 -1.3170
meanshift 5 1 27927 0.403710381544 0.40165002817 0.9121 0.6834  3.1042 0.0000 0.7799 0.0699693501455 -1.24929534433  0.1956 -1.1415
meanshift 5 2 706 0.403710381544 0.380539856297 1.0570 0.9839  3.3483 0.0010 0.6938 2.29722222222 1.08944444444  1.1637 0.4313
meanshift 5 3 9 0.403710381544 0.385445453157 1.6441 0.7661  1.4671 0.1126 1.2532 0.129333333333 -2.69066666667  0.1258 -2.2542
meanshift 5 4 1 0.403710381544 0.0 N/A N/A N/A N/A 0.8410 -2.999 -1.317  -2.9990 -1.3170
meanshift 5 5 288 0.403710381544 0.662272792068 1.7795 0.6238  2.7002 0.0022 1.7192 2.306 -2.682  2.1387 -1.2201
