# object_id x_pix y_pix cluster_number
303 4090.91 246.675 0
308 4137.02 247.361 0
310 4123.52 248.225 0
333 4012.08 253.775 0
349 4072.51 256.808 0
379 4034.22 260.588 0
405 4082.73 264.454 0
414 4041.91 265.494 0
417 3941.44 265.854 0
435 4063.44 268.563 0
471 4087.81 274.552 0
472 4128.43 274.787 0
491 4127.46 278.255 0
515 4068.05 280.988 0
522 3828.28 281.727 0
545 4106.58 285.365 0
564 4142.91 287.502 0
565 4123.82 287.542 0
575 4150.58 288.867 0
587 4070.76 290.111 0
612 4063.85 292.966 0
615 4019.69 293.141 0
630 4103.65 295.479 0
634 3963.24 296.405 0
691 4087.18 301.606 0
738 4189.47 306.642 0
746 4089.21 307.656 0
747 3821.39 307.704 0
768 4003.72 311.101 0
780 4186.12 312.41 0
784 4129.22 312.665 0
789 4125.56 313.269 0
805 4044.87 315.71 0
810 4151.29 316.25 1
819 4086.17 317.102 0
825 3861.75 317.593 0
826 4147.07 317.575 0
830 4138.72 317.888 0
838 4131.4 318.443 0
842 4130.34 318.651 0
865 4163.13 320.558 0
881 3490.84 322.252 0
882 4042.47 322.362 0
893 4144.34 323.528 0
894 3804.58 323.588 0
899 3911.92 324.104 0
911 4171.14 325.265 0
912 4192.21 325.328 0
913 4025.63 325.541 0
919 4112.93 326.348 0
929 4155.96 327.18 0
937 4125.72 327.724 0
942 4099.74 328.052 0
946 4144.33 328.663 0
948 4153.29 328.85 0
949 4176.24 328.907 0
951 4115.9 328.986 0
956 4051.45 329.406 0
961 4075.95 329.636 0
977 3813.44 331.833 0
979 3826.31 332.181 0
987 4151.8 332.826 0
996 3514.34 334.005 0
1003 4154.11 334.284 0
1035 4153.02 337.313 4
1040 4095.6 338.04 0
1043 3955.68 338.194 0
1058 4144.06 339.512 0
1059 4036.28 339.571 0
1062 4119.18 339.724 0
1074 4078.21 340.753 0
1077 3970.4 340.837 0
1081 4179.73 340.975 0
1083 4103.3 341.102 0
1093 3464.42 341.951 0
1108 4045.88 343.499 0
1110 3260.67 343.732 0
1113 4157.7 343.933 0
1120 3774.23 344.312 0
1133 3943.31 345.779 0
1135 4177.23 345.74 0
1136 4180.71 345.82 0
1149 4101.67 346.777 0
1196 3666.64 350.974 0
1198 3398.85 351.016 0
1199 3320.94 351.028 0
1202 4090.01 351.221 0
1207 3958.72 351.637 0
1208 4179.17 351.63 0
1210 4116.98 351.778 0
1227 3976.85 353.121 1
1239 3394.34 354.272 0
1267 4185.12 356.32 0
1272 4113.46 356.989 0
1275 3785.02 357.412 0
1276 3819.18 357.445 0
1282 3991.99 357.711 0
1283 3357.99 357.855 0
1290 4198.46 357.993 0
1291 4187.51 358.027 0
1300 3179.5 359.036 0
1303 3383.43 359.094 0
1304 4144.01 359.018 0
1314 4153.72 360.109 0
1340 4052.63 362.758 0
1341 4156.27 362.97 0
1347 4164.14 363.603 0
1349 4150.01 363.869 0
1353 3749.5 364.2 0
1358 3604.28 364.582 0
1367 4180.99 365.302 0
1375 3760.0 365.965 0
1379 3135.45 366.75 0
1385 4129.5 367.072 0
1389 3785.62 367.402 0
1394 4147.23 367.967 0
1395 4010.52 368.16 0
1403 4199.35 368.823 0
1422 4175.84 370.201 0
1435 4185.39 371.538 0
1443 4103.96 372.551 4
1446 4164.57 372.826 0
1451 4156.82 373.151 0
1452 3864.28 373.224 0
1474 4134.92 374.622 0
1486 3109.95 376.079 0
1512 3988.55 377.622 0
1522 4159.96 378.352 0
1526 3077.72 378.936 0
1531 4102.58 378.952 0
1532 4181.5 379.009 0
1536 3918.13 379.537 0
1537 3308.69 379.752 0
1558 4015.93 381.414 0
1560 3101.68 381.622 0
1565 4198.01 382.255 0
1567 3027.69 382.453 0
1576 3989.28 383.114 0
1579 4134.25 383.232 0
1581 3465.99 383.593 1
1586 3966.11 383.743 0
1588 3122.05 383.918 0
1590 3968.74 383.913 0
1592 4170.92 383.937 0
1595 4115.72 384.311 0
1597 4065.76 384.672 0
1600 3305.85 384.925 0
1602 3957.36 385.054 0
1606 3983.36 385.714 0
1613 4097.22 386.044 0
1617 4098.69 386.321 0
1620 3138.64 386.733 0
1621 4110.75 386.752 0
1622 4089.57 386.819 0
1625 3193.49 387.315 0
1639 4022.73 387.869 0
1649 4099.9 388.346 0
1662 3353.1 389.136 0
1665 4094.75 389.494 0
1668 3137.67 389.721 0
1672 4083.41 390.076 0
1674 3809.14 390.319 0
1678 3910.42 390.629 0
1679 4130.1 390.599 0
1681 3960.73 390.82 0
1689 4145.19 391.312 0
1691 4170.54 391.383 0
1693 3539.34 391.64 0
1701 4196.73 391.849 0
1720 4166.01 393.592 0
1723 3151.29 394.149 0
1734 3542.06 394.877 0
1741 4087.75 395.265 0
1742 3367.62 395.426 0
1756 4161.12 396.403 0
1757 4179.86 396.573 0
1761 4109.32 396.885 0
1771 4092.87 397.483 0
1791 4049.79 399.979 0
1795 4034.0 400.708 0
1798 4087.76 401.018 0
1821 3444.02 402.433 0
1831 4207.86 403.078 0
1835 4190.9 403.27 0
1840 3949.18 403.628 0
1849 4205.04 403.986 0
1863 4140.81 404.747 0
1865 3356.3 404.978 0
1868 4183.7 405.062 4
1872 3118.82 405.579 0
1875 4088.32 405.635 0
1882 4003.42 406.225 0
1883 3125.42 406.333 0
1898 4129.46 407.374 0
1907 3291.52 408.471 0
1916 4162.84 408.944 0
1923 4085.21 409.65 0
1926 3612.07 409.94 0
1930 3301.98 410.19 0
1931 4047.87 410.141 0
1932 3213.66 410.272 0
1934 3535.36 410.287 0
1957 3102.53 411.443 0
1962 4140.97 411.561 0
1974 4021.97 412.367 0
1978 4163.69 412.578 0
1991 4189.21 413.267 0
2001 4011.69 414.021 0
2023 3541.19 415.951 0
2031 4206.68 416.058 0
2067 3020.9 418.457 0
2101 3610.71 420.515 0
2103 4005.09 420.471 0
2134 4135.0 422.169 0
2135 3830.08 422.226 0
2146 3403.05 422.971 0
2161 4057.94 424.101 0
2168 3990.32 424.792 0
2171 3988.65 424.905 0
2174 4186.53 425.06 0
2192 4099.1 425.859 0
2196 2866.91 426.093 0
2208 2964.38 427.146 0
2215 4193.08 428.076 0
2219 2624.12 428.632 0
2235 3918.51 429.944 0
2238 3106.21 430.139 0
2250 4203.53 431.136 0
2286 3499.25 433.457 0
2292 3898.65 433.772 0
2297 3948.49 434.082 0
2310 3841.9 435.115 0
2312 4126.03 435.11 0
2314 3194.52 435.309 0
2323 4171.78 435.707 0
2324 3000.27 435.976 0
2329 3915.23 436.35 0
2341 3184.91 437.573 1
2342 2988.6 437.59 0
2347 3862.65 437.743 0
2350 3540.51 437.89 0
2369 3520.02 439.471 0
2378 3929.25 439.868 0
2380 2830.25 440.125 0
2385 4064.22 440.414 0
2388 4170.64 440.465 0
2399 3417.62 441.379 0
2407 4072.01 441.83 0
2414 2928.26 442.413 0
2415 3994.11 442.456 0
2416 3762.7 442.569 0
2425 3956.13 443.414 0
2443 2823.0 444.596 0
2449 3434.84 445.045 0
2456 3863.12 445.473 0
2468 4167.58 446.213 0
2470 3402.32 446.425 0
2472 3992.46 446.574 0
2479 4186.14 446.947 0
2482 3516.88 447.177 0
2485 2983.38 447.476 0
2517 3172.59 449.939 0
2529 3081.34 450.914 1
2530 2858.53 450.999 0
2547 3086.59 452.243 0
2556 4119.68 452.413 0
2558 4138.43 452.525 0
2563 3277.65 452.771 1
2570 4212.76 453.065 0
2575 2868.4 453.758 0
2582 3330.69 454.215 0
2589 4091.79 454.513 0
2619 3627.01 456.318 0
2625 3843.52 456.615 0
2639 3093.47 457.607 0
2645 3488.69 458.01 0
2648 3847.04 458.258 0
2668 3287.3 459.399 0
2684 3084.48 460.533 0
2724 3406.21 463.093 0
2738 3919.24 463.801 0
2743 2879.84 464.107 0
2752 3513.85 464.642 0
2757 3343.35 465.07 0
2767 4209.14 465.68 0
2770 3306.47 465.95 0
2775 3837.96 466.069 0
2783 4200.9 466.348 0
2785 2935.97 466.551 0
2786 3753.43 466.477 0
2793 3930.03 467.019 0
2801 3037.14 467.583 0
2814 3374.94 468.12 0
2818 3115.59 468.463 0
2819 3136.47 468.468 0
2821 4044.47 468.557 0
2822 3469.69 468.718 0
2827 3450.42 468.841 0
2846 3223.45 469.994 0
2851 3374.7 470.168 0
2865 3070.32 471.351 0
2871 4127.32 471.666 0
2874 2441.53 472.202 0
2884 2882.11 472.597 0
2890 2235.97 472.955 0
2891 3218.79 472.952 0
2892 3537.17 472.936 0
2893 2976.63 472.996 0
2897 2676.38 473.416 0
2907 3820.43 474.239 0
2923 2167.73 475.397 0
2936 2784.27 476.25 0
2942 3949.38 476.748 0
2955 4010.35 477.655 0
2956 3750.35 477.768 0
2958 2872.62 477.907 0
2968 3452.5 478.295 0
2971 2828.79 478.573 0
2980 4091.6 478.9 0
3004 2972.82 480.41 0
3011 3603.08 480.907 0
3020 3085.94 481.392 0
3030 4206.59 481.91 0
3036 2664.75 482.661 0
3039 4182.27 482.883 0
3044 3146.99 483.398 0
3045 2833.2 483.463 0
3048 2965.61 483.487 0
3055 2927.36 484.084 1
3059 2828.35 484.342 0
3062 4028.35 484.414 0
3113 2810.15 487.216 1
3119 3158.39 487.498 0
3147 4148.69 488.794 0
3157 3931.99 489.501 0
3160 3977.04 489.577 0
3171 2828.71 490.426 0
3193 2795.57 491.726 0
3202 2910.58 491.973 0
3204 3301.61 492.029 0
3207 2775.26 492.43 0
