# object_id x_pix y_pix cluster_number
303 4090.91 246.675 1
308 4137.02 247.361 2
310 4123.52 248.225 4
333 4012.08 253.775 1
349 4072.51 256.808 1
379 4034.22 260.588 4
405 4082.73 264.454 3
414 4041.91 265.494 4
417 3941.44 265.854 4
435 4063.44 268.563 3
471 4087.81 274.552 4
472 4128.43 274.787 3
491 4127.46 278.255 4
515 4068.05 280.988 1
522 3828.28 281.727 1
545 4106.58 285.365 4
564 4142.91 287.502 1
565 4123.82 287.542 1
575 4150.58 288.867 2
587 4070.76 290.111 1
612 4063.85 292.966 1
615 4019.69 293.141 4
630 4103.65 295.479 4
634 3963.24 296.405 1
691 4087.18 301.606 1
738 4189.47 306.642 2
746 4089.21 307.656 1
747 3821.39 307.704 1
768 4003.72 311.101 4
780 4186.12 312.41 2
784 4129.22 312.665 1
789 4125.56 313.269 0
805 4044.87 315.71 1
810 4151.29 316.25 0
819 4086.17 317.102 4
825 3861.75 317.593 2
826 4147.07 317.575 4
830 4138.72 317.888 1
838 4131.4 318.443 1
842 4130.34 318.651 4
865 4163.13 320.558 1
881 3490.84 322.252 1
882 4042.47 322.362 1
893 4144.34 323.528 1
894 3804.58 323.588 1
899 3911.92 324.104 4
911 4171.14 325.265 3
912 4192.21 325.328 3
913 4025.63 325.541 1
919 4112.93 326.348 4
929 4155.96 327.18 1
937 4125.72 327.724 1
942 4099.74 328.052 1
946 4144.33 328.663 1
948 4153.29 328.85 4
949 4176.24 328.907 4
951 4115.9 328.986 1
956 4051.45 329.406 4
961 4075.95 329.636 2
977 3813.44 331.833 3
979 3826.31 332.181 2
987 4151.8 332.826 1
996 3514.34 334.005 1
1003 4154.11 334.284 1
1035 4153.02 337.313 0
1040 4095.6 338.04 1
1043 3955.68 338.194 2
1058 4144.06 339.512 4
1059 4036.28 339.571 1
1062 4119.18 339.724 2
1074 4078.21 340.753 1
1077 3970.4 340.837 4
1081 4179.73 340.975 4
1083 4103.3 341.102 1
1093 3464.42 341.951 3
1108 4045.88 343.499 3
1110 3260.67 343.732 3
1113 4157.7 343.933 1
1120 3774.23 344.312 3
1133 3943.31 345.779 4
1135 4177.23 345.74 4
1136 4180.71 345.82 2
1149 4101.67 346.777 1
1196 3666.64 350.974 4
1198 3398.85 351.016 4
1199 3320.94 351.028 1
1202 4090.01 351.221 1
1207 3958.72 351.637 4
1208 4179.17 351.63 1
1210 4116.98 351.778 1
1227 3976.85 353.121 0
1239 3394.34 354.272 2
1267 4185.12 356.32 1
1272 4113.46 356.989 1
1275 3785.02 357.412 4
1276 3819.18 357.445 4
1282 3991.99 357.711 2
1283 3357.99 357.855 1
1290 4198.46 357.993 3
1291 4187.51 358.027 1
1300 3179.5 359.036 1
1303 3383.43 359.094 1
1304 4144.01 359.018 4
1314 4153.72 360.109 1
1340 4052.63 362.758 4
1341 4156.27 362.97 1
1347 4164.14 363.603 4
1349 4150.01 363.869 1
1353 3749.5 364.2 3
1358 3604.28 364.582 4
1367 4180.99 365.302 1
1375 3760.0 365.965 4
1379 3135.45 366.75 4
1385 4129.5 367.072 1
1389 3785.62 367.402 4
1394 4147.23 367.967 3
1395 4010.52 368.16 4
1403 4199.35 368.823 1
1422 4175.84 370.201 1
1435 4185.39 371.538 2
