#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_336 mag05_555 mag05_438 mag05_814 0.6654 N/A N/A N/A N/A 0.319592514311 5 28931 27088  1120   425   266    32     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 7773.81822321 0.425521310523 3 28931 15651 10576  2704     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 6343.94494029 0.355702544241 4 28931 11043 10815  5276  1797     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 5235.3181469 0.359648198243 5 28931 10990 10333  4948  1804   856     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 4536.37186504 0.346522974943 6 28931 10450  9198  4887  2693   855   848     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 3969.52236358 0.322327697197 7 28931 7768 7536 5896 4106 2217  734  674    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_555 mag05_438 mag05_814 N/A N/A N/A experiments.txt 3483.64405772 0.326885169922 8 28931 7161 6209 5562 4575 2652 1716  560  496    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_555 mag05_438 mag05_814 0.5500 N/A N/A N/A N/A 0.314342480066 8 28931 26991   870   657   357    26    22     5     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_814 0.6000 N/A N/A N/A N/A 0.332582685049 5 28931 27071  1188   466   179    27     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_814 0.7000 N/A N/A N/A N/A 0.316818467828 6 28931 27098  1143   444   152    60    34     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_814 0.7500 N/A N/A N/A N/A 0.280948645437 4 28931 28052   434   409    36     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
