#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.6142 N/A N/A N/A N/A 0.43883708036 6 13147 12456   457    81    63    58    32     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 3348.22787782 0.368338843469 3 13147 6938 4855 1354    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 2562.64472785 0.400924074328 4 13147 7312 3564 1356  915    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 2097.70744287 0.334210896536 5 13147 4908 4599 2541  656  443    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1806.24206496 0.312568295247 6 13147 4842 3075 2939 1528  432  331    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1602.7503479 0.321938148724 7 13147 4342 2525 2459 1662 1467  424  268    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1443.91488507 0.304019626828 8 13147 3714 2782 2022 1518 1482 1053  343  233    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 N/A N/A N/A experiments.txt 1332.69611375 0.305984256333 9 13147 3266 2357 2143 2109 1308 1136  361  298  169    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.5000 N/A N/A N/A N/A 0.449181717929 13 13147 11849   847    98    96    89    64    45    38    12     4     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.5500 N/A N/A N/A N/A 0.466277447292 10 13147 11886   858   147    88    78    29    28    27     4     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.6500 N/A N/A N/A N/A 0.466936668027 6 13147 12454   456    96    64    45    32     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.7000 N/A N/A N/A N/A 0.560071988436 4 13147 12705   221   160    61     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.7500 N/A N/A N/A N/A 0.596968117107 3 13147 12774   203   170     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_438 mag05_487 mag05_487 mag05_555 mag05_487 mag05_814 0.5700 N/A N/A N/A N/A 0.418526426698 7 13147 12337   344   312    51    40    32    31     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
