# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
meanshift 13 1 11849 0.449105654949 0.46605975635 0.4275 0.6877  3.1425 0.0010 0.4274 0.296615173549 -0.285553711071 -0.264107833722 0.3749 -0.2784 -0.1183
meanshift 13 2 45 0.449105654949 0.0372608491729 1.8277 0.8252  2.0918 0.0680 1.7817 2.30909090909 -2.28627272727 -2.02245454545 2.0380 -1.8800 -1.3801
meanshift 13 3 98 0.449105654949 0.320795139402 1.8739 0.6984  1.6854 0.0230 1.0464 1.76525 0.636125 3.539 1.3483 0.4468 2.8685
meanshift 13 4 4 0.449105654949 0.419858939903 2.8641 0.4361  0.6322 0.3275 2.7678 3.161 -2.9275 -2.44375 3.1610 -2.9275 -2.4438
meanshift 13 5 96 0.449105654949 0.0328380824797 1.1040 0.8330  2.3946 0.0135 0.9213 2.32766666667 -1.15133333333 0.922333333333 1.5395 -0.4745 0.7602
meanshift 13 6 2 0.449105654949 0.468527316455 2.6873 0.3935  0.3935 0.3935 2.5276 2.6565 -2.6 -2.7945 2.6565 -2.6000 -2.7945
meanshift 13 7 2 0.449105654949 0.407940003928 1.7598 0.5880  0.5880 0.5880 1.6568 2.868 -1.309 0.685 2.6665 -1.3655 0.4785
meanshift 13 8 64 0.449105654949 0.504434507516 1.3781 0.5209  1.5643 0.0164 1.2945 1.718 -1.838 -2.455 1.3242 -1.3158 -1.4262
meanshift 13 9 89 0.449105654949 0.308968354609 1.4478 0.6475  1.6063 0.0292 0.8823 2.138 -0.842 2.388 1.4759 0.0032 1.9646
meanshift 13 10 12 0.449105654949 0.418635101382 1.5748 0.5246  1.5303 0.0473 1.5703 3.068 -1.672 0.352 2.2147 -1.4813 -0.3773
meanshift 13 11 847 0.449105654949 0.330378700382 0.9765 0.6907  2.3729 0.0032 0.6359 0.022 0.997 1.752 0.6203 0.1329 1.4701
meanshift 13 12 38 0.449105654949 -0.0601544226348 1.0239 0.9326  2.4837 0.0338 0.9520 1.711 -1.597 1.055 1.2578 -0.7651 0.6381
meanshift 13 13 1 0.449105654949 0.0 N/A N/A N/A N/A 1.4089 1.677 1.225 4.414 1.6770 1.2250 4.4140
