# object_id x_pix y_pix cluster_number
308 4137.02 247.361 0
515 4068.05 280.988 5
522 3828.28 281.727 2
545 4106.58 285.365 6
587 4070.76 290.111 4
615 4019.69 293.141 5
691 4087.18 301.606 4
701 4092.25 302.479 3
738 4189.47 306.642 0
747 3821.39 307.704 4
784 4129.22 312.665 4
789 4125.56 313.269 0
805 4044.87 315.71 4
810 4151.29 316.25 3
825 3861.75 317.593 1
826 4147.07 317.575 5
830 4138.72 317.888 5
838 4131.4 318.443 5
842 4130.34 318.651 5
865 4163.13 320.558 4
893 4144.34 323.528 4
894 3804.58 323.588 5
899 3911.92 324.104 0
913 4025.63 325.541 5
937 4125.72 327.724 4
946 4144.33 328.663 4
948 4153.29 328.85 0
951 4115.9 328.986 5
961 4075.95 329.636 1
996 3514.34 334.005 5
1003 4154.11 334.284 5
1040 4095.6 338.04 4
1058 4144.06 339.512 0
1062 4119.18 339.724 0
1074 4078.21 340.753 4
1079 3308.78 341.027 1
1081 4179.73 340.975 5
1113 4157.7 343.933 4
1135 4177.23 345.74 5
1136 4180.71 345.82 1
1149 4101.67 346.777 5
1202 4090.01 351.221 4
1208 4179.17 351.63 5
1227 3976.85 353.121 1
1239 3394.34 354.272 0
1283 3357.99 357.855 6
1291 4187.51 358.027 5
1300 3179.5 359.036 4
1314 4153.72 360.109 4
1341 4156.27 362.97 4
1349 4150.01 363.869 5
1353 3749.5 364.2 2
1379 3135.45 366.75 5
1395 4010.52 368.16 6
1403 4199.35 368.823 5
1422 4175.84 370.201 4
1435 4185.39 371.538 6
1451 4156.82 373.151 5
1486 3109.95 376.079 5
1532 4181.5 379.009 4
1536 3918.13 379.537 4
1558 4015.93 381.414 6
1576 3989.28 383.114 6
1581 3465.99 383.593 0
1586 3966.11 383.743 0
1590 3968.74 383.913 5
1597 4065.76 384.672 5
1602 3957.36 385.054 6
1606 3983.36 385.714 5
1617 4098.69 386.321 0
1621 4110.75 386.752 5
1649 4099.9 388.346 1
1674 3809.14 390.319 5
1679 4130.1 390.599 2
1701 4196.73 391.849 4
1741 4087.75 395.265 5
1757 4179.86 396.573 4
1761 4109.32 396.885 5
1771 4092.87 397.483 5
1798 4087.76 401.018 5
1821 3444.02 402.433 6
1835 4190.9 403.27 4
1849 4205.04 403.986 5
1863 4140.81 404.747 5
1868 4183.7 405.062 3
1894 2750.94 407.315 1
1916 4162.84 408.944 5
1923 4085.21 409.65 4
1932 3213.66 410.272 0
1974 4021.97 412.367 5
2001 4011.69 414.021 0
2031 4206.68 416.058 5
2067 3020.9 418.457 4
2130 2931.55 422.077 1
2161 4057.94 424.101 5
2168 3990.32 424.792 0
2171 3988.65 424.905 0
2174 4186.53 425.06 2
2208 2964.38 427.146 5
2215 4193.08 428.076 5
2235 3918.51 429.944 5
2250 4203.53 431.136 4
2292 3898.65 433.772 5
2297 3948.49 434.082 5
2314 3194.52 435.309 5
2324 3000.27 435.976 5
2329 3915.23 436.35 4
2341 3184.91 437.573 0
2380 2830.25 440.125 4
2385 4064.22 440.414 4
2407 4072.01 441.83 5
2425 3956.13 443.414 6
2470 3402.32 446.425 5
2472 3992.46 446.574 6
2479 4186.14 446.947 4
2482 3516.88 447.177 0
2485 2983.38 447.476 4
2529 3081.34 450.914 1
2530 2858.53 450.999 4
2556 4119.68 452.413 5
2563 3277.65 452.771 1
2619 3627.01 456.318 0
2625 3843.52 456.615 5
2639 3093.47 457.607 5
2645 3488.69 458.01 6
2648 3847.04 458.258 5
2684 3084.48 460.533 5
2752 3513.85 464.642 5
2757 3343.35 465.07 0
2785 2935.97 466.551 4
2817 2427.16 468.39 0
2821 4044.47 468.557 4
2841 2417.31 469.716 0
2846 3223.45 469.994 4
2874 2441.53 472.202 6
2890 2235.97 472.955 0
2893 2976.63 472.996 6
2907 3820.43 474.239 5
2936 2784.27 476.25 4
2955 4010.35 477.655 6
3020 3085.94 481.392 5
3045 2833.2 483.463 4
3055 2927.36 484.084 0
3059 2828.35 484.342 4
3113 2810.15 487.216 1
3157 3931.99 489.501 1
3160 3977.04 489.577 6
3171 2828.71 490.426 5
3220 2119.97 493.315 5
3240 3105.15 494.511 4
3272 2854.34 496.404 4
3337 4219.36 500.014 6
3354 3557.19 500.779 4
3372 3500.26 502.296 0
3417 2653.39 504.859 0
3456 2851.73 506.628 1
3490 3898.82 509.05 5
3497 2806.45 509.816 1
3512 2877.09 510.885 0
3550 3614.02 512.891 5
3557 3672.82 513.37 5
3619 3148.68 516.176 6
3628 4115.35 516.292 6
3657 3220.45 518.073 6
3658 4201.89 518.028 5
3662 3168.46 518.49 1
3673 3469.42 519.251 6
3689 3064.72 519.797 5
3704 3032.48 520.499 5
3808 3394.09 525.377 5
3825 2869.97 526.142 5
3867 3320.23 527.986 4
3886 3194.99 529.009 3
3910 2872.17 530.105 1
3916 3567.05 530.389 4
3930 3370.85 531.201 5
3954 3891.26 532.451 1
3969 2886.91 533.53 4
3972 3589.17 533.78 0
3986 2577.5 534.565 6
4003 2843.54 535.572 4
4122 3315.26 541.379 4
4173 4098.98 543.478 0
4190 1614.74 544.31 0
4198 2855.26 544.871 0
4263 1573.54 548.332 5
4266 2955.06 548.487 4
4280 2848.27 549.54 4
4320 2907.26 551.498 6
4332 2935.85 552.02 5
4371 2881.57 553.619 4
4386 2964.52 554.234 4
4393 4097.46 554.601 4
4397 3640.25 554.792 6
4405 2446.62 555.554 6
4425 2876.84 556.552 4
4440 2252.14 557.042 1
4444 1530.43 557.196 0
4450 3336.5 557.521 4
4457 3650.2 557.916 5
4500 2884.63 559.831 4
4522 2932.0 560.87 1
4523 4078.05 560.8 0
4566 4207.57 562.506 1
4588 1604.38 563.858 4
4599 2872.84 564.112 5
4611 1568.26 564.597 5
4613 3122.01 564.71 5
4622 1642.76 565.115 5
4627 2906.9 565.277 5
4630 3234.76 565.397 5
4660 2876.26 567.189 4
4668 1539.39 567.424 5
4694 3421.12 568.74 0
4704 2010.94 569.312 1
4706 4187.22 569.288 0
4721 2871.15 570.131 5
4723 1375.84 570.16 1
4750 4183.19 571.454 1
4773 1349.42 572.683 2
4787 2737.62 573.171 5
4790 1340.65 573.23 2
4792 3025.74 573.61 4
4794 1349.14 573.59 2
4807 3450.65 574.175 5
4828 2959.49 575.133 0
4839 1363.96 575.591 2
4867 1343.87 576.96 6
4891 3451.73 577.973 5
4893 1372.84 578.038 0
4896 1470.5 578.121 1
4908 1540.25 578.765 5
4913 1357.7 578.911 6
4925 1563.67 579.433 0
4927 2704.29 579.539 4
4938 1283.55 579.813 6
4949 1564.42 580.109 5
4952 1484.11 580.13 1
4954 2877.76 580.251 1
4956 1294.56 580.223 5
4963 1512.2 580.495 1
4981 1265.92 581.325 0
5018 2844.5 583.216 4
5028 1346.76 583.677 6
5053 3528.63 584.593 5
5056 1339.91 584.637 6
5065 1278.69 584.931 5
5066 2832.26 585.131 4
5079 1273.03 585.452 4
5090 2875.5 586.065 4
5109 2128.91 586.744 6
5112 2891.07 586.856 5
5150 1266.17 588.347 4
5151 1255.96 588.387 4
5153 3563.47 588.632 6
5203 2822.04 590.86 1
5214 1256.27 591.046 4
5233 1272.93 592.083 5
5234 1263.82 592.128 5
5237 1278.39 592.203 4
5274 1554.33 594.055 0
5340 1266.59 597.341 6
5353 1265.47 597.969 5
5361 2984.74 598.265 5
5365 3017.93 598.428 0
5375 4164.26 598.701 0
5382 1281.4 598.931 2
5385 1255.92 598.953 5
5393 1274.73 599.591 4
5401 3029.39 599.978 3
5412 1243.87 600.381 6
5440 1612.97 601.635 6
5441 2127.02 601.725 0
5467 2872.51 602.996 5
5472 1599.59 603.146 4
5477 2913.09 603.648 3
5480 1613.36 603.693 6
5493 1266.13 604.118 5
5499 1608.36 604.347 2
5500 1540.06 604.344 4
5501 1249.47 604.477 5
5510 1316.76 604.885 5
5542 3873.92 606.193 5
5573 3882.07 607.51 4
5575 4236.79 607.646 5
5579 3612.62 607.95 4
5582 2683.64 608.103 1
5586 2763.78 608.181 5
5588 3380.39 608.254 0
5597 3617.62 608.654 5
5603 2923.76 608.902 5
5610 2865.5 609.28 5
5627 1297.4 609.769 4
5634 3175.74 610.007 0
5636 1034.94 609.947 3
5660 2945.05 610.994 0
5746 3575.86 615.392 4
5751 3841.31 615.47 6
5753 4204.42 615.457 1
5755 1545.1 615.715 5
5764 1634.67 616.307 0
5765 1537.04 616.394 4
5779 2883.78 616.827 3
5795 2868.82 617.378 5
5803 1608.93 617.617 6
5804 1283.06 617.617 5
5807 3501.75 617.931 5
5809 4196.42 617.924 5
5826 4195.36 618.499 4
5839 1549.52 619.152 5
5841 2919.4 619.266 3
5845 3867.51 619.327 5
5847 3685.09 619.378 6
5851 3011.19 619.492 4
5855 2978.66 619.746 5
5856 3382.56 619.724 4
5859 3825.77 619.811 5
5865 3000.74 619.987 5
5871 3380.67 620.113 4
5872 3882.71 620.064 4
5878 1551.86 620.279 0
5880 1270.24 620.277 4
5891 2902.15 620.761 0
5896 3877.21 620.779 5
5906 3393.46 621.146 4
5916 1524.06 621.558 4
5924 1033.45 621.779 5
5927 4088.78 621.904 0
5945 1242.3 622.33 4
5969 3375.48 623.477 4
5974 2823.72 623.684 4
5983 3626.89 623.904 1
5984 3971.36 623.904 4
5985 3613.83 623.965 5
5990 3594.02 624.043 5
6007 1046.8 624.764 6
6024 3644.4 625.537 5
6026 3384.31 625.642 4
6040 3587.34 626.039 4
6050 3583.01 626.363 4
6065 1535.24 626.901 4
6068 908.214 626.849 1
6089 1568.2 627.857 5
6099 1183.99 628.201 0
6107 1544.07 628.479 4
6131 3696.32 629.22 4
6135 3321.45 629.412 0
6140 3857.76 629.508 5
6162 3618.6 629.932 5
6173 3613.52 630.304 5
6175 1215.59 630.4 0
6178 4197.83 630.439 4
6198 3876.06 631.363 4
6201 2932.08 631.495 5
6209 1411.63 631.743 1
6217 1590.26 631.974 4
6222 4203.58 631.939 4
6226 1553.36 632.098 4
6227 1538.27 632.109 5
6245 3598.45 632.801 4
6263 4089.18 633.275 0
6270 4178.16 633.47 4
6290 1542.52 634.3 5
6297 3877.89 634.673 4
6298 1307.26 634.734 5
6313 3630.05 635.162 5
6320 1566.14 635.335 5
6344 1519.66 636.25 5
6345 3338.98 636.278 6
6368 3715.47 637.031 6
6377 4066.26 637.249 6
6404 1040.2 638.095 1
6410 4012.16 638.169 0
6433 3551.37 639.156 5
6439 3594.62 639.384 5
6446 3644.57 639.667 4
6458 1277.64 640.321 5
6463 2966.46 640.556 4
6483 2801.99 641.152 5
6485 4078.13 641.111 6
6487 1556.86 641.301 4
6491 3541.16 641.648 4
6509 3615.09 642.319 4
6513 1347.53 642.495 0
6514 3364.95 642.545 4
6525 1175.33 642.836 1
6572 2227.07 644.281 6
6581 3582.85 644.711 4
6585 2878.4 644.834 4
6605 3871.22 645.275 5
6621 2924.85 645.866 4
6626 3894.01 645.921 5
6628 3436.74 646.119 0
6639 4223.19 646.43 6
6643 1534.57 646.57 5
6644 3596.44 646.562 4
6663 3578.66 647.039 5
6677 1287.56 647.548 5
6686 2861.67 647.958 4
6688 3596.92 647.936 4
6690 4082.2 647.947 5
6704 3913.27 648.54 4
6706 1543.22 648.61 5
6722 1547.51 648.869 4
6723 1053.37 648.825 5
6732 3322.13 649.097 5
6737 3626.24 649.187 4
6742 2571.38 649.402 5
6747 1534.02 649.425 4
6750 2819.45 649.508 5
6757 2772.55 649.664 5
6762 3620.04 649.73 4
