#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.4629 N/A N/A N/A N/A 0.626230796029 3 13147 12604   497    46     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1714.71042408 0.43073980747 3 13147 7379 4509 1259    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.2500 N/A N/A N/A N/A 0.327740372139 32 13147 11237   838   367   313    85    73    49    31    29    20    14    10     9     9     9     7     7     7     7     6     4     3     2     2     2     1     1     1     1     1     1     1     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1173.58851168 0.360504093983 5 13147 5176 4752 2108  561  550    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.3000 N/A N/A N/A N/A 0.406610449395 22 13147 11629   720   402   112    85    42    38    26    25    23    13     6     6     5     5     2     2     2     1     1     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1015.47998017 0.32637444056 6 13147 4573 4016 2607 1203  391  357    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.3400 N/A N/A N/A N/A 0.517505779098 12 13147 11896   625   352   186    56     9     8     6     3     2     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 900.287901007 0.324145983212 7 13147 3585 3420 2482 1843 1080  393  344    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.3800 N/A N/A N/A N/A 0.530137304687 8 13147 12412   420   169    81    52     7     4     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 807.305811824 0.308047022128 8 13147 3533 2554 2250 1734 1716  784  318  258    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.4000 N/A N/A N/A N/A 0.559539955932 6 13147 12447   439   193    37    29     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 1399.3420408 0.364810795671 4 13147 5780 4619 2137  611    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.3900 N/A N/A N/A N/A 0.536152125714 7 13147 12409   430   172    82    47     5     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 725.684186676 0.311802100633 9 13147 3315 2454 2098 2033 1703  543  520  242  239    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_438 mag05_487 mag05_555 mag05_814 0.4300 N/A N/A N/A N/A 0.622300219751 4 13147 12598   500    47     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_438 mag05_487 mag05_555 mag05_814 N/A N/A N/A experiments.txt 659.869891806 0.318569603293 10 13147 3075 2130 2056 1651 1554 1210  530  470  241  230    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
