# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
kmeans 3 1 7379 0.43073980747 0.511762994576 0.2786 0.3338  2.2572 0.0000 0.2588 0.275728753733 -0.0701387455878  0.2760 -0.0696
kmeans 3 2 4509 0.43073980747 0.34380662369 0.5776 0.4282  3.1002 0.0000 0.2524 0.523999778712 0.513505200266  0.5243 0.5148
kmeans 3 3 1259 0.43073980747 0.267206549341 1.3428 0.8253  3.9597 0.0010 0.5387 0.995080824089 1.46305150555  0.9962 1.4639
kmeans 4 1 4668 0.362254991353 0.349274466639 0.4088 0.3209  2.1395 0.0000 0.1947 0.416628987369 0.302612716763  0.4158 0.3032
kmeans 4 2 2202 0.362254991353 0.259175879295 0.8518 0.5178  3.5075 0.0010 0.3193 0.715567665758 0.863430517711  0.7164 0.8630
kmeans 4 3 618 0.362254991353 0.270616109449 1.5876 0.8404  3.9597 0.0014 0.5852 1.15043203883 1.80120873786  1.1504 1.8012
kmeans 4 4 5659 0.362254991353 0.423079540413 0.2697 0.3044  2.2572 0.0000 0.2636 0.251422206506 -0.137493988685  0.2519 -0.1375
kmeans 5 1 2108 0.360509018725 0.339650084411 0.7599 0.4001  1.4182 0.0000 0.2731 0.557111111111 0.859858156028  0.5574 0.8608
kmeans 5 2 550 0.360509018725 0.318721843591 1.5953 0.7655  2.9662 0.0014 0.5973 1.07341454545 1.88523090909  1.0734 1.8852
kmeans 5 3 5177 0.360509018725 0.403884245233 0.2689 0.2969  1.8714 0.0000 0.2652 0.244901759814 -0.156744923612  0.2451 -0.1565
kmeans 5 4 561 0.360509018725 0.184054986247 1.1060 0.6572  2.5840 0.0010 0.5011 1.30637076649 0.665516934046  1.3064 0.6655
kmeans 5 5 4751 0.360509018725 0.348172825176 0.3754 0.2959  1.4526 0.0000 0.1813 0.397228631579 0.259358947368  0.3973 0.2601
kmeans 6 1 2605 0.327902270091 0.341702428511 0.5596 0.3088  1.2187 0.0000 0.1821 0.473725038402 0.584259984639  0.4742 0.5841
kmeans 6 2 1176 0.327902270091 0.285293603061 1.0198 0.4763  1.6719 0.0010 0.3434 0.747614468085 1.17342808511  0.7472 1.1733
kmeans 6 3 349 0.327902270091 0.290934441998 1.7601 0.7737  2.9039 0.0028 0.6149 1.21673352436 2.08171346705  1.2167 2.0817
kmeans 6 4 4589 0.327902270091 0.324653897515 0.3162 0.2626  1.4057 0.0000 0.1874 0.367022870834 0.142168372904  0.3671 0.1422
kmeans 6 5 399 0.327902270091 0.219976353637 1.0947 0.6682  2.5706 0.0010 0.6077 1.37090523691 0.44866084788  1.3731 0.4480
kmeans 6 6 4029 0.327902270091 0.349006607189 0.2684 0.2841  1.5952 0.0000 0.2682 0.219360069531 -0.200908368513  0.2193 -0.2008
kmeans 7 1 345 0.322755792623 0.301400302428 1.7584 0.7598  2.9039 0.0028 0.6180 1.20050289017 2.08967052023  1.2017 2.0907
kmeans 7 2 392 0.322755792623 0.199744376129 1.2011 0.6676  2.5223 0.0022 0.5338 1.44067346939 0.711288265306  1.4407 0.7113
kmeans 7 3 1845 0.322755792623 0.242573936723 0.4500 0.2797  1.5420 0.0010 0.3121 0.588344360087 0.0591963123644  0.5885 0.0597
kmeans 7 4 3397 0.322755792623 0.360398830864 0.2453 0.2154  0.8308 0.0000 0.1305 0.254017678256 0.160445197407  0.2543 0.1611
kmeans 7 5 2514 0.322755792623 0.336708948229 0.5604 0.2970  1.2310 0.0000 0.1746 0.481034962257 0.581665077473  0.4818 0.5833
kmeans 7 6 1107 0.322755792623 0.292144990839 0.9962 0.4489  1.4469 0.0010 0.3504 0.689814914645 1.17239892183  0.6901 1.1749
