# object_id x_pix y_pix cluster_number
308 4137.02 247.361 0
515 4068.05 280.988 0
522 3828.28 281.727 4
545 4106.58 285.365 0
587 4070.76 290.111 0
615 4019.69 293.141 0
691 4087.18 301.606 0
701 4092.25 302.479 5
738 4189.47 306.642 0
747 3821.39 307.704 0
784 4129.22 312.665 0
789 4125.56 313.269 0
805 4044.87 315.71 0
810 4151.29 316.25 6
825 3861.75 317.593 0
826 4147.07 317.575 0
830 4138.72 317.888 0
838 4131.4 318.443 0
842 4130.34 318.651 0
865 4163.13 320.558 0
893 4144.34 323.528 0
894 3804.58 323.588 0
899 3911.92 324.104 0
913 4025.63 325.541 0
937 4125.72 327.724 0
946 4144.33 328.663 0
948 4153.29 328.85 0
951 4115.9 328.986 0
961 4075.95 329.636 0
996 3514.34 334.005 0
1003 4154.11 334.284 0
1040 4095.6 338.04 0
1058 4144.06 339.512 0
1062 4119.18 339.724 0
1074 4078.21 340.753 0
1079 3308.78 341.027 7
1081 4179.73 340.975 0
1113 4157.7 343.933 0
1135 4177.23 345.74 0
1136 4180.71 345.82 0
1149 4101.67 346.777 0
1202 4090.01 351.221 0
1208 4179.17 351.63 0
1227 3976.85 353.121 0
1239 3394.34 354.272 0
1283 3357.99 357.855 0
1291 4187.51 358.027 0
1300 3179.5 359.036 0
1314 4153.72 360.109 0
1341 4156.27 362.97 0
1349 4150.01 363.869 0
1353 3749.5 364.2 4
1379 3135.45 366.75 0
1395 4010.52 368.16 0
1403 4199.35 368.823 0
1422 4175.84 370.201 0
1435 4185.39 371.538 0
1451 4156.82 373.151 0
1486 3109.95 376.079 0
1532 4181.5 379.009 0
1536 3918.13 379.537 0
1558 4015.93 381.414 0
1576 3989.28 383.114 0
1581 3465.99 383.593 0
1586 3966.11 383.743 0
1590 3968.74 383.913 0
1597 4065.76 384.672 0
1602 3957.36 385.054 0
1606 3983.36 385.714 0
1617 4098.69 386.321 0
1621 4110.75 386.752 0
1649 4099.9 388.346 0
1674 3809.14 390.319 0
1679 4130.1 390.599 7
1701 4196.73 391.849 0
1741 4087.75 395.265 0
1757 4179.86 396.573 0
1761 4109.32 396.885 0
1771 4092.87 397.483 0
1798 4087.76 401.018 0
1821 3444.02 402.433 0
1835 4190.9 403.27 0
1849 4205.04 403.986 0
1863 4140.81 404.747 0
1868 4183.7 405.062 1
1894 2750.94 407.315 5
1916 4162.84 408.944 0
1923 4085.21 409.65 0
1932 3213.66 410.272 0
1974 4021.97 412.367 0
2001 4011.69 414.021 0
2031 4206.68 416.058 0
2067 3020.9 418.457 0
2130 2931.55 422.077 1
2161 4057.94 424.101 0
2168 3990.32 424.792 0
2171 3988.65 424.905 0
2174 4186.53 425.06 4
2208 2964.38 427.146 0
2215 4193.08 428.076 0
2235 3918.51 429.944 0
2250 4203.53 431.136 0
2292 3898.65 433.772 0
2297 3948.49 434.082 0
2314 3194.52 435.309 0
2324 3000.27 435.976 0
2329 3915.23 436.35 0
2341 3184.91 437.573 0
2380 2830.25 440.125 0
2385 4064.22 440.414 0
2407 4072.01 441.83 0
2425 3956.13 443.414 7
2470 3402.32 446.425 0
2472 3992.46 446.574 0
2479 4186.14 446.947 0
2482 3516.88 447.177 0
2485 2983.38 447.476 0
2529 3081.34 450.914 1
2530 2858.53 450.999 0
2556 4119.68 452.413 0
2563 3277.65 452.771 4
2619 3627.01 456.318 0
2625 3843.52 456.615 0
2639 3093.47 457.607 0
2645 3488.69 458.01 0
2648 3847.04 458.258 0
2684 3084.48 460.533 0
2752 3513.85 464.642 0
2757 3343.35 465.07 0
2785 2935.97 466.551 0
2817 2427.16 468.39 0
2821 4044.47 468.557 0
2841 2417.31 469.716 0
2846 3223.45 469.994 0
2874 2441.53 472.202 0
2890 2235.97 472.955 0
2893 2976.63 472.996 0
2907 3820.43 474.239 0
2936 2784.27 476.25 0
2955 4010.35 477.655 0
3020 3085.94 481.392 0
3045 2833.2 483.463 0
3055 2927.36 484.084 0
3059 2828.35 484.342 0
3113 2810.15 487.216 0
3157 3931.99 489.501 1
3160 3977.04 489.577 0
3171 2828.71 490.426 0
3220 2119.97 493.315 0
3240 3105.15 494.511 0
3272 2854.34 496.404 0
3337 4219.36 500.014 0
3354 3557.19 500.779 0
3372 3500.26 502.296 0
3417 2653.39 504.859 0
3456 2851.73 506.628 7
3490 3898.82 509.05 0
3497 2806.45 509.816 0
3512 2877.09 510.885 0
3550 3614.02 512.891 0
3557 3672.82 513.37 0
3619 3148.68 516.176 7
3628 4115.35 516.292 0
3657 3220.45 518.073 0
3658 4201.89 518.028 0
3662 3168.46 518.49 1
3673 3469.42 519.251 0
3689 3064.72 519.797 0
3704 3032.48 520.499 0
3808 3394.09 525.377 0
3825 2869.97 526.142 0
3867 3320.23 527.986 0
3886 3194.99 529.009 1
3910 2872.17 530.105 0
3916 3567.05 530.389 0
3930 3370.85 531.201 0
3954 3891.26 532.451 1
3969 2886.91 533.53 0
3972 3589.17 533.78 0
3986 2577.5 534.565 0
4003 2843.54 535.572 0
4122 3315.26 541.379 0
4173 4098.98 543.478 0
4190 1614.74 544.31 0
4198 2855.26 544.871 0
4263 1573.54 548.332 0
4266 2955.06 548.487 0
4280 2848.27 549.54 0
4320 2907.26 551.498 0
4332 2935.85 552.02 0
4371 2881.57 553.619 0
4386 2964.52 554.234 0
4393 4097.46 554.601 0
4397 3640.25 554.792 0
4405 2446.62 555.554 0
4425 2876.84 556.552 0
4440 2252.14 557.042 1
4444 1530.43 557.196 0
4450 3336.5 557.521 0
4457 3650.2 557.916 0
4500 2884.63 559.831 0
4522 2932.0 560.87 1
4523 4078.05 560.8 0
4566 4207.57 562.506 7
4588 1604.38 563.858 0
4599 2872.84 564.112 0
4611 1568.26 564.597 0
4613 3122.01 564.71 0
4622 1642.76 565.115 0
4627 2906.9 565.277 0
4630 3234.76 565.397 0
4660 2876.26 567.189 0
4668 1539.39 567.424 0
4694 3421.12 568.74 0
4704 2010.94 569.312 1
4706 4187.22 569.288 0
4721 2871.15 570.131 0
4723 1375.84 570.16 1
4750 4183.19 571.454 0
4773 1349.42 572.683 7
4787 2737.62 573.171 0
4790 1340.65 573.23 7
4792 3025.74 573.61 0
4794 1349.14 573.59 9
4807 3450.65 574.175 0
4828 2959.49 575.133 0
4839 1363.96 575.591 4
4867 1343.87 576.96 7
4891 3451.73 577.973 0
4893 1372.84 578.038 0
4896 1470.5 578.121 1
4908 1540.25 578.765 0
4913 1357.7 578.911 0
4925 1563.67 579.433 0
4927 2704.29 579.539 0
4938 1283.55 579.813 4
4949 1564.42 580.109 0
4952 1484.11 580.13 1
4954 2877.76 580.251 1
4956 1294.56 580.223 0
4963 1512.2 580.495 7
4981 1265.92 581.325 0
5018 2844.5 583.216 0
5028 1346.76 583.677 0
5053 3528.63 584.593 0
5056 1339.91 584.637 4
5065 1278.69 584.931 0
5066 2832.26 585.131 0
5079 1273.03 585.452 0
5090 2875.5 586.065 0
5109 2128.91 586.744 0
5112 2891.07 586.856 0
5150 1266.17 588.347 0
5151 1255.96 588.387 0
5153 3563.47 588.632 0
5203 2822.04 590.86 0
5214 1256.27 591.046 0
5233 1272.93 592.083 0
5234 1263.82 592.128 0
5237 1278.39 592.203 0
5274 1554.33 594.055 0
5340 1266.59 597.341 0
5353 1265.47 597.969 0
5361 2984.74 598.265 0
5365 3017.93 598.428 0
5375 4164.26 598.701 0
5382 1281.4 598.931 19
5385 1255.92 598.953 0
5393 1274.73 599.591 0
5401 3029.39 599.978 6
5412 1243.87 600.381 0
5440 1612.97 601.635 0
5441 2127.02 601.725 0
5467 2872.51 602.996 0
5472 1599.59 603.146 0
5477 2913.09 603.648 8
5480 1613.36 603.693 0
5493 1266.13 604.118 0
5499 1608.36 604.347 4
5500 1540.06 604.344 4
5501 1249.47 604.477 0
5510 1316.76 604.885 0
5542 3873.92 606.193 0
5573 3882.07 607.51 0
5575 4236.79 607.646 0
5579 3612.62 607.95 0
5582 2683.64 608.103 1
5586 2763.78 608.181 0
5588 3380.39 608.254 7
5597 3617.62 608.654 0
5603 2923.76 608.902 0
5610 2865.5 609.28 0
5627 1297.4 609.769 0
5634 3175.74 610.007 0
5636 1034.94 609.947 0
5660 2945.05 610.994 0
5746 3575.86 615.392 0
5751 3841.31 615.47 0
5753 4204.42 615.457 7
5755 1545.1 615.715 0
5764 1634.67 616.307 0
5765 1537.04 616.394 0
5779 2883.78 616.827 1
5795 2868.82 617.378 0
5803 1608.93 617.617 0
5804 1283.06 617.617 0
5807 3501.75 617.931 0
5809 4196.42 617.924 0
5826 4195.36 618.499 0
5839 1549.52 619.152 0
5841 2919.4 619.266 6
5845 3867.51 619.327 0
5847 3685.09 619.378 0
5851 3011.19 619.492 0
5855 2978.66 619.746 0
5856 3382.56 619.724 0
5859 3825.77 619.811 0
5865 3000.74 619.987 0
5871 3380.67 620.113 0
5872 3882.71 620.064 0
5878 1551.86 620.279 0
5880 1270.24 620.277 0
5891 2902.15 620.761 0
5896 3877.21 620.779 0
5906 3393.46 621.146 0
5916 1524.06 621.558 0
5924 1033.45 621.779 0
5927 4088.78 621.904 0
5945 1242.3 622.33 0
5969 3375.48 623.477 0
5974 2823.72 623.684 0
5983 3626.89 623.904 0
5984 3971.36 623.904 0
5985 3613.83 623.965 0
5990 3594.02 624.043 0
6007 1046.8 624.764 0
6024 3644.4 625.537 0
6026 3384.31 625.642 0
6040 3587.34 626.039 0
6050 3583.01 626.363 0
6065 1535.24 626.901 0
6068 908.214 626.849 1
6089 1568.2 627.857 0
6099 1183.99 628.201 0
6107 1544.07 628.479 0
6131 3696.32 629.22 0
6135 3321.45 629.412 0
6140 3857.76 629.508 0
6162 3618.6 629.932 0
6173 3613.52 630.304 0
6175 1215.59 630.4 0
6178 4197.83 630.439 0
6198 3876.06 631.363 0
6201 2932.08 631.495 0
6209 1411.63 631.743 4
6217 1590.26 631.974 0
6222 4203.58 631.939 0
6226 1553.36 632.098 0
6227 1538.27 632.109 0
6245 3598.45 632.801 0
6263 4089.18 633.275 0
6270 4178.16 633.47 0
6290 1542.52 634.3 0
6297 3877.89 634.673 0
6298 1307.26 634.734 0
6313 3630.05 635.162 0
6320 1566.14 635.335 0
6344 1519.66 636.25 0
6345 3338.98 636.278 0
6368 3715.47 637.031 0
6377 4066.26 637.249 0
6404 1040.2 638.095 1
6410 4012.16 638.169 0
6433 3551.37 639.156 0
6439 3594.62 639.384 0
6446 3644.57 639.667 0
6458 1277.64 640.321 0
6463 2966.46 640.556 0
6483 2801.99 641.152 0
6485 4078.13 641.111 0
6487 1556.86 641.301 0
6491 3541.16 641.648 0
6509 3615.09 642.319 0
6513 1347.53 642.495 0
6514 3364.95 642.545 0
6525 1175.33 642.836 1
6572 2227.07 644.281 7
6581 3582.85 644.711 0
6585 2878.4 644.834 0
6605 3871.22 645.275 0
6621 2924.85 645.866 0
6626 3894.01 645.921 0
6628 3436.74 646.119 0
6639 4223.19 646.43 0
6643 1534.57 646.57 0
6644 3596.44 646.562 0
6663 3578.66 647.039 0
6677 1287.56 647.548 0
6686 2861.67 647.958 0
6688 3596.92 647.936 0
6690 4082.2 647.947 0
6704 3913.27 648.54 0
6706 1543.22 648.61 0
6722 1547.51 648.869 0
6723 1053.37 648.825 0
6732 3322.13 649.097 0
6737 3626.24 649.187 0
