# band1 band2 band3 band4 band5 band6 n_clusters b_width eps min_samples damping preferences

mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 3 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 4 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 5 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 6 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 7 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 8 0.4 0.3 10 0.9 -35

mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 3 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 4 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 5 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 6 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 7 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 8 0.4 0.3 10 0.9 -35

mag05_657 mag05_814 mag05_438 mag05_657 mag05_555 mag05_657 3 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_438 mag05_657 mag05_555 mag05_657 4 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_438 mag05_657 mag05_555 mag05_657 5 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_438 mag05_657 mag05_555 mag05_657 6 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_438 mag05_657 mag05_555 mag05_657 7 0.4 0.3 10 0.9 -35
mag05_657 mag05_814 mag05_438 mag05_657 mag05_555 mag05_657 8 0.4 0.3 10 0.9 -35
