#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_657 mag05_814 mag05_336 mag05_555 N/A N/A N/A experiments.txt 8989.85834292 0.380930600272 3 29060 13060 12429  3571     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_336 mag05_555 N/A N/A N/A experiments.txt 7408.80398039 0.342163779776 4 29060 10710 10663  5670  2017     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_336 mag05_555 N/A N/A N/A experiments.txt 6094.01943102 0.338758878664 5 29060 8817 8094 6837 3649 1663    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_555 N/A N/A N/A experiments.txt 5092.66578761 0.336181609564 6 29060 7531 6564 5539 5234 2816 1376    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_555 N/A N/A N/A experiments.txt 4567.41772501 0.329142617325 7 29060 7139 5767 4512 4340 3537 2410 1355    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_555 N/A N/A N/A experiments.txt 4108.68236447 0.329437492489 8 29060 6633 5393 5037 4131 3324 1887 1710  945    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_657 mag05_814 mag05_336 mag05_555 0.7509 N/A N/A N/A N/A 0.588825162383 2 29060 29032    28     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_555 0.4500 N/A N/A N/A N/A 0.203100926708 14 29060 26322  1204   467   440   380   108    48    44    32     8     3     2     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_555 0.5000 N/A N/A N/A N/A 0.290548814519 9 29060 27780   766   355    58    53    41     4     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_555 0.5500 N/A N/A N/A N/A 0.393173224336 6 29060 28315   648    89     5     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_555 0.6000 N/A N/A N/A N/A 0.425265706989 5 29060 28971    83     3     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
