#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 N/A N/A N/A experiments.txt 19541.7848553 0.388553864458 3 28920 12570 12205  4145     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 N/A N/A N/A experiments.txt 14536.8329132 0.353943292894 4 28920 11585  7910  5718  3707     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 N/A N/A N/A experiments.txt 12191.8109178 0.324012712772 5 28920 8696 8603 5698 3541 2382    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 N/A N/A N/A experiments.txt 10577.4279042 0.329385330132 6 28920 8437 7448 5365 3820 2146 1704    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 N/A N/A N/A experiments.txt 9390.39005083 0.301692318309 7 28920 6938 6061 5443 4237 3666 1476 1099    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 N/A N/A N/A experiments.txt 8355.04915364 0.310213916973 8 28920 6029 5639 4330 4247 4008 2248 1400 1019    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 1.0769 N/A N/A N/A N/A -99.0 1 28920 28920     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 0.6000 N/A N/A N/A N/A 0.0646239207783 13 28920 23533  1798  1071   930   612   525   342    91     8     4     4     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 0.6500 N/A N/A N/A N/A 0.0671244144651 11 28920 23579  1815  1130   916   617   527   265    48    12    10     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 0.7000 N/A N/A N/A N/A 0.0931412175013 8 28920 24429  1785  1157  1031   241   169   106     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 0.7500 N/A N/A N/A N/A 0.455740354176 5 28920 28269   286   234   129     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_438 mag05_657 0.8000 N/A N/A N/A N/A 0.482771615317 4 28920 28313   357   234    16     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
