# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
kmeans 3 1 4087 0.396085773552 0.262848657765 1.2520 1.2195  5.5633 0.0028 0.9971 -0.407068020553 1.35263224859 1.32567996085 -0.4071 1.3526 1.3257
kmeans 3 2 13188 0.396085773552 0.39167873399 1.6602 0.9803  5.9768 0.0010 1.6208 -1.74007370337 0.85821155596 1.96079928723 -1.7401 0.8582 1.9608
kmeans 3 3 11785 0.396085773552 0.447223671725 0.9158 0.9095  4.9295 0.0014 0.9109 -0.954685871871 -0.317858633857 0.991325413661 -0.9547 -0.3179 0.9913
kmeans 4 1 7773 0.352145150661 0.419806586445 0.7998 0.8034  4.6952 0.0020 0.7844 -0.774028560401 -0.507338736653 0.812054805095 -0.7740 -0.5073 0.8121
kmeans 4 2 6107 0.352145150661 0.286465157479 1.9338 0.9768  5.2422 0.0028 1.8564 -1.93345488783 1.28590027837 2.27295022106 -1.9335 1.2859 2.2730
kmeans 4 3 11651 0.352145150661 0.369055056574 1.2914 0.7239  3.5652 0.0010 1.2813 -1.44889872114 0.364935112866 1.5672748262 -1.4489 0.3649 1.5673
kmeans 4 4 3529 0.352145150661 0.260945962285 1.2368 1.1915  4.8876 0.0033 0.9575 -0.327996599603 1.39955511476 1.27699546614 -0.3280 1.3996 1.2770
kmeans 5 1 3406 0.319176912582 0.25940943893 1.2090 1.1712  4.8876 0.0033 0.9290 -0.29708749266 1.37767087493 1.240373165 -0.2971 1.3777 1.2404
kmeans 5 2 5531 0.319176912582 0.393269289797 0.7386 0.7334  3.6513 0.0028 0.7125 -0.651354366299 -0.626295968179 0.693528837462 -0.6514 -0.6263 0.6935
kmeans 5 3 2753 0.319176912582 0.212217569461 2.1967 1.0890  5.0395 0.0055 2.0831 -2.11243915728 1.66847439157 2.53558663276 -2.1124 1.6685 2.5356
kmeans 5 4 8302 0.319176912582 0.326240374879 1.1043 0.6545  4.9295 0.0014 1.1039 -1.28189171284 0.0402670440858 1.32409588051 -1.2819 0.0403 1.3241
kmeans 5 5 9068 0.319176912582 0.322439074527 1.5303 0.6992  2.8489 0.0010 1.4935 -1.63105657256 0.765816828408 1.86657609175 -1.6311 0.7658 1.8666
kmeans 6 1 2498 0.32103509389 0.22995502805 2.2228 1.0482  4.7455 0.0055 2.1154 -2.177806245 1.65742554043 2.56819495596 -2.1778 1.6574 2.5682
kmeans 6 2 3553 0.32103509389 0.220615829158 0.9029 0.8340  2.7818 0.0028 0.7987 -0.529781030115 0.630881508584 1.16214044469 -0.5298 0.6309 1.1621
kmeans 6 3 7382 0.32103509389 0.35304720478 1.1502 0.6025  4.9295 0.0014 1.1501 -1.38628975887 -0.00153522080737 1.35185586562 -1.3863 -0.0015 1.3519
kmeans 6 4 1697 0.32103509389 0.22694924909 1.4852 1.1869  4.7937 0.0067 1.0694 -0.229009428403 1.95403830289 1.36695521509 -0.2290 1.9540 1.3670
kmeans 6 5 5198 0.32103509389 0.429590684097 0.7575 0.6722  3.3456 0.0028 0.7224 -0.693800692574 -0.687216814159 0.697068680262 -0.6938 -0.6872 0.6971
kmeans 6 6 8732 0.32103509389 0.314551581544 1.5474 0.6930  2.8489 0.0010 1.5073 -1.63899267064 0.800051534585 1.88879099863 -1.6390 0.8001 1.8888
kmeans 7 1 2262 0.317603116587 0.208345654188 2.2508 1.0634  4.8882 0.0065 2.1327 -2.16788284704 1.72767948718 2.59914456233 -2.1679 1.7277 2.5991
kmeans 7 2 4787 0.317603116587 0.261790674324 1.3583 0.6493  2.6003 0.0022 1.2589 -1.15419009818 0.926912471276 1.75777146438 -1.1542 0.9269 1.7578
kmeans 7 3 5947 0.317603116587 0.32372005844 1.6275 0.6003  2.7235 0.0010 1.6094 -1.88733966706 0.692138725408 1.92004657811 -1.8873 0.6921 1.9200
kmeans 7 4 1587 0.317603116587 0.242256604213 1.4572 1.1515  4.3254 0.0067 1.0292 -0.16056710775 1.9537668557 1.30156710775 -0.1606 1.9538 1.3016
kmeans 7 5 4750 0.317603116587 0.438306563052 0.7643 0.6337  3.3456 0.0032 0.7217 -0.705533894737 -0.733305473684 0.683318947368 -0.7055 -0.7333 0.6833
kmeans 7 6 2537 0.317603116587 0.245983474542 0.7400 0.8018  4.2793 0.0028 0.6483 -0.356416633819 0.473325975562 0.953480488766 -0.3564 0.4733 0.9535
kmeans 7 7 7190 0.317603116587 0.346235893242 1.1227 0.5890  3.2562 0.0014 1.1225 -1.34903324061 -0.0249244784423 1.32368275382 -1.3490 -0.0249 1.3237
meanshift 2 1 29059 0.476831604545 0.47684801363 1.3459 1.5185  9.0209 0.0010 1.3258 -1.42207920143 0.421728545888 1.57800929678 -1.2341 0.4508 1.4784
meanshift 2 2 1 0.476831604545 0.0 N/A N/A N/A N/A 1.2382 -2.005 0.977 -0.994 -2.0050 0.9770 -0.9940
