# object_id x_pix y_pix cluster_number
253 4140.31 238.735 3
303 4090.91 246.675 2
308 4137.02 247.361 0
310 4123.52 248.225 2
313 4118.87 249.081 2
333 4012.08 253.775 1
349 4072.51 256.808 1
379 4034.22 260.588 2
405 4082.73 264.454 2
413 4122.26 265.44 2
414 4041.91 265.494 2
417 3941.44 265.854 1
422 4146.46 266.314 0
435 4063.44 268.563 0
443 3905.2 270.381 0
444 3954.13 270.549 0
457 4131.27 272.165 1
471 4087.81 274.552 2
472 4128.43 274.787 2
491 4127.46 278.255 0
515 4068.05 280.988 0
522 3828.28 281.727 1
545 4106.58 285.365 2
557 4102.58 286.267 2
564 4142.91 287.502 2
565 4123.82 287.542 2
575 4150.58 288.867 2
587 4070.76 290.111 1
612 4063.85 292.966 2
614 3948.46 293.126 2
615 4019.69 293.141 0
630 4103.65 295.479 1
634 3963.24 296.405 1
688 4095.74 301.589 3
691 4087.18 301.606 2
701 4092.25 302.479 3
715 4003.19 304.14 3
730 4178.3 305.955 3
738 4189.47 306.642 3
746 4089.21 307.656 2
747 3821.39 307.704 2
752 4106.12 308.705 1
768 4003.72 311.101 1
780 4186.12 312.41 3
784 4129.22 312.665 2
785 3838.4 312.889 3
789 4125.56 313.269 0
805 4044.87 315.71 1
810 4151.29 316.25 3
819 4086.17 317.102 2
825 3861.75 317.593 0
826 4147.07 317.575 2
830 4138.72 317.888 0
831 4072.15 317.919 1
838 4131.4 318.443 2
842 4130.34 318.651 0
845 4092.75 319.028 3
857 4126.8 319.979 3
865 4163.13 320.558 2
872 3702.64 321.449 2
881 3490.84 322.252 1
882 4042.47 322.362 2
893 4144.34 323.528 0
894 3804.58 323.588 0
895 3495.07 323.743 2
899 3911.92 324.104 0
911 4171.14 325.265 2
912 4192.21 325.328 0
913 4025.63 325.541 2
919 4112.93 326.348 1
922 3829.54 326.64 1
927 4086.44 327.006 2
929 4155.96 327.18 1
937 4125.72 327.724 0
942 4099.74 328.052 2
946 4144.33 328.663 0
948 4153.29 328.85 2
949 4176.24 328.907 2
951 4115.9 328.986 2
956 4051.45 329.406 2
961 4075.95 329.636 0
977 3813.44 331.833 2
979 3826.31 332.181 2
987 4151.8 332.826 2
996 3514.34 334.005 0
997 3798.47 334.061 1
1003 4154.11 334.284 0
1014 3995.65 335.014 0
1015 3367.34 335.103 2
1035 4153.02 337.313 3
1040 4095.6 338.04 2
1043 3955.68 338.194 0
1058 4144.06 339.512 0
1059 4036.28 339.571 1
1062 4119.18 339.724 0
1074 4078.21 340.753 2
1077 3970.4 340.837 1
1079 3308.78 341.027 3
1081 4179.73 340.975 0
1083 4103.3 341.102 1
1093 3464.42 341.951 2
1108 4045.88 343.499 2
1110 3260.67 343.732 0
1113 4157.7 343.933 0
1120 3774.23 344.312 0
1133 3943.31 345.779 2
1135 4177.23 345.74 0
1136 4180.71 345.82 3
1144 3720.25 346.562 0
1149 4101.67 346.777 0
1150 3656.98 347.038 1
1165 3566.65 348.671 2
1171 3322.19 348.917 2
1196 3666.64 350.974 2
1198 3398.85 351.016 2
1199 3320.94 351.028 2
1202 4090.01 351.221 2
1207 3958.72 351.637 2
1208 4179.17 351.63 0
1210 4116.98 351.778 1
1221 4147.9 352.623 1
1227 3976.85 353.121 3
1239 3394.34 354.272 0
1259 4134.85 355.846 2
1266 3224.62 356.363 2
1267 4185.12 356.32 2
1272 4113.46 356.989 1
1275 3785.02 357.412 2
1276 3819.18 357.445 1
1280 3456.66 357.717 0
1282 3991.99 357.711 1
1283 3357.99 357.855 0
1290 4198.46 357.993 0
1291 4187.51 358.027 2
1300 3179.5 359.036 2
1303 3383.43 359.094 2
1304 4144.01 359.018 2
1308 4091.53 359.459 3
1314 4153.72 360.109 2
1340 4052.63 362.758 2
1341 4156.27 362.97 2
1342 3860.03 363.126 2
1347 4164.14 363.603 1
1349 4150.01 363.869 0
1353 3749.5 364.2 2
1354 3757.99 364.278 0
1358 3604.28 364.582 1
1367 4180.99 365.302 1
1371 3928.94 365.783 0
1375 3760.0 365.965 2
1379 3135.45 366.75 2
1385 4129.5 367.072 1
1389 3785.62 367.402 2
1394 4147.23 367.967 2
1395 4010.52 368.16 2
1403 4199.35 368.823 0
1410 3603.71 369.379 3
1412 4065.72 369.544 2
1421 3319.21 370.275 2
1422 4175.84 370.201 2
1435 4185.39 371.538 0
1443 4103.96 372.551 2
1446 4164.57 372.826 1
1447 3759.0 373.078 0
1450 3611.41 373.202 0
1451 4156.82 373.151 0
1452 3864.28 373.224 2
1474 4134.92 374.622 2
1486 3109.95 376.079 2
1504 3568.64 377.148 2
1509 3930.57 377.391 1
1512 3988.55 377.622 2
1517 3535.75 377.915 0
1522 4159.96 378.352 2
1524 4052.17 378.686 1
1526 3077.72 378.936 2
1531 4102.58 378.952 2
1532 4181.5 379.009 0
1536 3918.13 379.537 0
1537 3308.69 379.752 2
1539 3536.25 379.92 2
1558 4015.93 381.414 0
1560 3101.68 381.622 0
1565 4198.01 382.255 1
1567 3027.69 382.453 2
1568 4004.84 382.432 1
1576 3989.28 383.114 0
1579 4134.25 383.232 1
1581 3465.99 383.593 3
1582 3134.72 383.662 2
1586 3966.11 383.743 0
1588 3122.05 383.918 2
1590 3968.74 383.913 0
1592 4170.92 383.937 0
1595 4115.72 384.311 1
1597 4065.76 384.672 0
1600 3305.85 384.925 2
1602 3957.36 385.054 0
1606 3983.36 385.714 0
1613 4097.22 386.044 0
1617 4098.69 386.321 0
1620 3138.64 386.733 1
1621 4110.75 386.752 2
1622 4089.57 386.819 0
1625 3193.49 387.315 2
1636 3054.95 387.877 2
1639 4022.73 387.869 1
1649 4099.9 388.346 0
1654 4149.16 388.706 1
1661 3945.2 389.032 2
1662 3353.1 389.136 2
1665 4094.75 389.494 0
1668 3137.67 389.721 2
1672 4083.41 390.076 1
1674 3809.14 390.319 0
1675 3978.91 390.485 1
1678 3910.42 390.629 2
1679 4130.1 390.599 2
1681 3960.73 390.82 2
1686 3915.1 391.098 0
1689 4145.19 391.312 2
1691 4170.54 391.383 1
1693 3539.34 391.64 2
1701 4196.73 391.849 2
1706 3012.75 392.548 3
1714 4178.16 393.11 3
1720 4166.01 393.592 1
1723 3151.29 394.149 2
1724 3996.85 394.052 3
1731 3413.67 394.702 2
1734 3542.06 394.877 2
1741 4087.75 395.265 0
1742 3367.62 395.426 0
1756 4161.12 396.403 2
1757 4179.86 396.573 0
1761 4109.32 396.885 0
1771 4092.87 397.483 0
1777 3135.86 398.02 2
1786 3198.9 398.945 3
1791 4049.79 399.979 1
1795 4034.0 400.708 1
1798 4087.76 401.018 2
1811 3242.98 401.828 1
1821 3444.02 402.433 0
1827 3961.16 402.866 1
1835 4190.9 403.27 2
1840 3949.18 403.628 1
1841 3427.2 403.716 1
1849 4205.04 403.986 0
1863 4140.81 404.747 0
1865 3356.3 404.978 1
1868 4183.7 405.062 3
1872 3118.82 405.579 2
1875 4088.32 405.635 2
1878 3929.09 405.784 0
1882 4003.42 406.225 2
1883 3125.42 406.333 1
1894 2750.94 407.315 3
1896 3923.15 407.341 1
1898 4129.46 407.374 1
1907 3291.52 408.471 2
1916 4162.84 408.944 0
1919 2789.82 409.497 2
1923 4085.21 409.65 0
1925 3372.57 409.919 2
1926 3612.07 409.94 2
1928 3320.78 410.135 2
1930 3301.98 410.19 1
1931 4047.87 410.141 2
1932 3213.66 410.272 0
1934 3535.36 410.287 2
1943 3528.22 410.59 2
1952 3608.1 411.045 0
1957 3102.53 411.443 2
1959 4175.0 411.393 1
1962 4140.97 411.561 1
1974 4021.97 412.367 0
1978 4163.69 412.578 1
1986 3038.31 413.149 0
1991 4189.21 413.267 2
1993 3135.14 413.556 2
1999 3407.74 414.085 0
2001 4011.69 414.021 0
2013 4148.03 415.109 2
2023 3541.19 415.951 2
2028 3292.17 416.107 0
2031 4206.68 416.058 0
2050 3139.75 417.597 2
2065 3540.17 418.366 1
2067 3020.9 418.457 0
2072 2870.0 418.888 2
2101 3610.71 420.515 1
2103 4005.09 420.471 2
2121 4210.11 421.244 3
2130 2931.55 422.077 3
2134 4135.0 422.169 1
2135 3830.08 422.226 0
2146 3403.05 422.971 2
2161 4057.94 424.101 0
2168 3990.32 424.792 0
2171 3988.65 424.905 0
2174 4186.53 425.06 2
2192 4099.1 425.859 1
2196 2866.91 426.093 0
2206 3567.57 426.959 3
2207 3524.02 426.99 2
2208 2964.38 427.146 0
2215 4193.08 428.076 0
2219 2624.12 428.632 2
2235 3918.51 429.944 0
2237 2555.03 430.117 0
2238 3106.21 430.139 2
2245 3110.65 430.881 1
2250 4203.53 431.136 2
2254 3350.98 431.66 1
2259 3110.72 431.851 2
2277 3128.68 432.906 2
2283 3582.01 433.084 2
2286 3499.25 433.457 2
2292 3898.65 433.772 0
2297 3948.49 434.082 0
2310 3841.9 435.115 2
2312 4126.03 435.11 2
2314 3194.52 435.309 2
2317 4179.9 435.37 2
2323 4171.78 435.707 2
2324 3000.27 435.976 0
2329 3915.23 436.35 2
2335 2495.22 436.9 2
2338 3066.97 437.148 1
2341 3184.91 437.573 0
2342 2988.6 437.59 2
2347 3862.65 437.743 1
2349 3015.17 437.936 1
2350 3540.51 437.89 1
2355 3022.83 438.42 1
2369 3520.02 439.471 2
2378 3929.25 439.868 3
2380 2830.25 440.125 2
2384 3006.03 440.515 0
2385 4064.22 440.414 2
2388 4170.64 440.465 1
2399 3417.62 441.379 2
2407 4072.01 441.83 0
2411 2859.83 442.307 1
2414 2928.26 442.413 2
2415 3994.11 442.456 2
2416 3762.7 442.569 2
2425 3956.13 443.414 0
2434 2937.22 443.972 2
2443 2823.0 444.596 1
2449 3434.84 445.045 2
2451 4024.68 444.997 3
2456 3863.12 445.473 2
2458 4194.9 445.459 1
2460 2935.44 445.667 0
2463 3487.76 445.846 2
2464 3065.71 445.939 0
2467 4098.82 446.148 0
2468 4167.58 446.213 1
2470 3402.32 446.425 0
2472 3992.46 446.574 0
2479 4186.14 446.947 2
2482 3516.88 447.177 0
2485 2983.38 447.476 2
2486 3069.36 447.491 2
2494 2908.9 448.042 2
2517 3172.59 449.939 2
2529 3081.34 450.914 3
2530 2858.53 450.999 2
2533 4011.76 451.131 2
2536 2489.28 451.648 0
2547 3086.59 452.243 0
2551 2380.88 452.34 1
2553 3192.06 452.361 0
2556 4119.68 452.413 0
2558 4138.43 452.525 1
2561 4145.69 452.561 3
2563 3277.65 452.771 3
2570 4212.76 453.065 1
2575 2868.4 453.758 2
2582 3330.69 454.215 1
2589 4091.79 454.513 2
2599 3636.89 455.178 2
2602 2998.25 455.378 2
2617 3995.32 456.155 0
2618 2594.55 456.348 2
2619 3627.01 456.318 0
2621 4028.49 456.35 0
2625 3843.52 456.615 0
2634 4174.7 457.18 2
2639 3093.47 457.607 0
2645 3488.69 458.01 0
2648 3847.04 458.258 0
2650 3131.75 458.389 2
2656 3269.53 458.815 3
2661 4123.16 458.825 0
2668 3287.3 459.399 2
2684 3084.48 460.533 0
2696 3417.14 461.246 2
2724 3406.21 463.093 2
2738 3919.24 463.801 1
2739 2882.07 463.925 3
2743 2879.84 464.107 0
2745 2929.44 464.173 0
2752 3513.85 464.642 0
2757 3343.35 465.07 0
2763 2798.85 465.492 0
2767 4209.14 465.68 2
2770 3306.47 465.95 1
2775 3837.96 466.069 2
2783 4200.9 466.348 2
2785 2935.97 466.551 0
2786 3753.43 466.477 2
2793 3930.03 467.019 1
2801 3037.14 467.583 2
2814 3374.94 468.12 2
2817 2427.16 468.39 0
2818 3115.59 468.463 2
2819 3136.47 468.468 2
2821 4044.47 468.557 2
2822 3469.69 468.718 2
2827 3450.42 468.841 0
2841 2417.31 469.716 0
2846 3223.45 469.994 0
2851 3374.7 470.168 1
2858 2871.7 470.738 2
2860 4182.55 470.699 2
2865 3070.32 471.351 2
2866 2354.91 471.399 3
2868 3958.49 471.425 3
2871 4127.32 471.666 1
2874 2441.53 472.202 0
2882 2254.36 472.562 0
2884 2882.11 472.597 1
2890 2235.97 472.955 0
2891 3218.79 472.952 0
2892 3537.17 472.936 2
2893 2976.63 472.996 0
2897 2676.38 473.416 2
2907 3820.43 474.239 2
2911 3409.26 474.592 2
2923 2167.73 475.397 2
2929 4021.36 475.584 2
2936 2784.27 476.25 0
2940 2933.67 476.523 0
2942 3949.38 476.748 1
2955 4010.35 477.655 2
2956 3750.35 477.768 1
2958 2872.62 477.907 1
2968 3452.5 478.295 2
2971 2828.79 478.573 2
2974 2730.56 478.875 2
2980 4091.6 478.9 2
2994 3441.16 479.993 2
2997 2356.43 480.16 1
3004 2972.82 480.41 1
3011 3603.08 480.907 2
3020 3085.94 481.392 0
3025 2798.86 481.615 0
3026 2932.97 481.684 3
3030 4206.59 481.91 1
3036 2664.75 482.661 2
3039 4182.27 482.883 2
3044 3146.99 483.398 2
3045 2833.2 483.463 0
3048 2965.61 483.487 2
3055 2927.36 484.084 0
3059 2828.35 484.342 2
3062 4028.35 484.414 2
3097 2112.15 486.291 0
3113 2810.15 487.216 3
3119 3158.39 487.498 1
3122 2321.39 487.573 0
3125 3411.38 487.752 1
3130 3320.14 487.961 2
3147 4148.69 488.794 2
3157 3931.99 489.501 3
3159 3368.09 489.658 2
3160 3977.04 489.577 0
3165 3523.56 489.89 1
3171 2828.71 490.426 0
3193 2795.57 491.726 2
3197 3954.33 491.691 2
3198 3346.48 491.782 2
3202 2910.58 491.973 2
3204 3301.61 492.029 0
3207 2775.26 492.43 1
3208 2148.7 492.466 3
3220 2119.97 493.315 2
3222 2960.62 493.512 1
3235 3556.44 494.12 2
3236 2735.89 494.206 2
3238 2879.89 494.292 2
3240 3105.15 494.511 0
3251 3290.55 495.06 1
3258 2862.5 495.423 3
3272 2854.34 496.404 1
3277 3143.86 496.817 2
3278 2922.46 496.871 2
3281 3141.02 496.975 2
3285 2266.82 497.295 2
3286 2184.51 497.303 0
3300 3470.76 498.023 2
3309 3068.07 498.49 0
3315 3011.83 498.85 2
3318 3116.21 498.915 2
3319 2264.45 499.005 1
3322 2896.17 499.295 0
3328 3859.25 499.49 3
3333 3572.56 499.983 0
3334 3449.29 500.006 2
3337 4219.36 500.014 0
3347 2993.67 500.595 0
3353 2882.64 500.818 2
3354 3557.19 500.779 0
3371 2203.2 502.217 3
3372 3500.26 502.296 0
3373 2892.66 502.345 1
3385 4032.68 502.873 2
3394 2711.87 503.377 2
3396 3357.95 503.358 2
3407 2830.0 504.101 1
3409 3045.47 504.11 2
3410 3398.25 504.097 1
3411 2837.32 504.217 1
3417 2653.39 504.859 0
3450 3084.33 506.497 1
3452 3402.35 506.479 2
3453 3778.01 506.456 0
3456 2851.73 506.628 3
3461 3117.42 506.948 2
3462 3749.31 506.913 1
3469 2874.9 507.437 0
3470 3193.68 507.482 0
3473 3440.47 507.595 2
3490 3898.82 509.05 0
3497 2806.45 509.816 3
3503 2884.9 510.206 2
3505 3321.4 510.31 2
3512 2877.09 510.885 0
3514 3023.9 510.912 1
3524 4204.71 511.785 1
3526 4173.12 511.881 2
3547 4117.9 512.731 0
3550 3614.02 512.891 0
3551 1874.85 513.023 2
3552 4148.58 512.942 2
3555 3902.12 513.14 2
3557 3672.82 513.37 2
3558 2197.64 513.493 1
3559 2844.78 513.583 1
3570 3474.61 514.019 2
3576 3018.32 514.49 2
3597 3085.05 515.105 2
3603 2953.6 515.511 0
3612 3410.59 515.927 2
3616 4139.54 515.912 0
3619 3148.68 516.176 0
3623 3043.67 516.311 2
3628 4115.35 516.292 0
3632 2854.09 516.571 2
3633 2194.37 516.682 1
3637 2197.28 516.807 2
3651 3015.24 517.704 2
3657 3220.45 518.073 0
3658 4201.89 518.028 0
3662 3168.46 518.49 3
3663 3331.92 518.515 1
3664 2990.75 518.631 3
3665 3133.49 518.636 2
3673 3469.42 519.251 0
3681 1940.12 519.598 0
3686 2201.78 519.75 2
3689 3064.72 519.797 0
3702 2184.81 520.441 2
3704 3032.48 520.499 0
3707 3936.35 520.442 2
3709 3858.74 520.61 1
3710 2745.88 520.745 2
3714 2777.24 520.835 2
3726 3205.84 521.234 0
