#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.4541 N/A N/A N/A N/A 0.677193397648 2 13390 13361    29     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A meanshift 2007.94646401 0.628702596825 2 13390 10787  2603     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A meanshift 1289.51255804 0.492944665338 3 13390 8715 3334 1341    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A meanshift 1007.84106535 0.388666881963 4 13390 6415 4124 1892  959    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A meanshift 820.250560491 0.390939172961 5 13390 5701 3574 1784 1408  923    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A meanshift 688.073812869 0.360593130915 6 13390 4298 3964 2183 1261  921  763    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.2500 N/A N/A N/A N/A 0.392299264875 14 13390 11191  1941   143    44    39    15     4     4     2     2     2     1     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.2800 N/A N/A N/A N/A 0.546477476421 8 13390 12267  1038    73     5     2     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.3100 N/A N/A N/A N/A 0.466487655649 7 13390 13305    70     6     4     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.3400 N/A N/A N/A N/A 0.4540769809 7 13390 13298    77     6     4     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.3700 N/A N/A N/A N/A 0.48909570808 6 13390 13307    70     6     3     2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_438 0.4000 N/A N/A N/A N/A 0.587459179975 3 13390 13340    45     5     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A experiments.txt 599.205348315 0.355864900784 7 13390 3891 3515 2057 1881 1207  756   83    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A experiments.txt 525.608861632 0.33905340514 8 13390 3293 3089 2299 1833 1389  859  544   84    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A experiments.txt 475.239501936 0.3241276537 9 13390 3257 2365 2291 1671 1605 1032  661  424   84    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_438 N/A N/A N/A experiments.txt 434.051493237 0.324165575299 10 13390 2547 2368 2335 1567 1532 1104  746  634  505   52    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
