# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 2 1 13361 0.677193397648 0.677183042985 0.8568 0.6910  3.8528 0.0000 0.6861 -0.00853233830846 -1.33981636263  0.0100 -1.0363
meanshift 2 2 29 0.677193397648 0.681964041189 1.6815 0.6794  1.8901 0.0072 0.5908 -2.8995 -1.241  -2.0079 -1.1408
kmeans 2 1 2603 0.628702596825 0.471729483934 0.3871 0.6304  2.4809 0.0010 0.3839 0.119231861804 -0.0199915547025  0.1191 -0.0195
kmeans 2 2 10787 0.628702596825 0.66658161906 0.9384 0.4081  4.4253 0.0000 0.6751 -0.0217748725081 -1.28207204451  -0.0217 -1.2820
kmeans 3 1 8715 0.492944665338 0.527265315771 0.9961 0.3337  4.4253 0.0000 0.6998 -0.0393880357552 -1.37796378639  -0.0395 -1.3784
kmeans 3 2 3334 0.492944665338 0.400384599345 0.5508 0.3803  2.7801 0.0010 0.4483 0.0713427540589 -0.709542393265  0.0711 -0.7112
kmeans 3 3 1341 0.492944665338 0.500022063918 0.4142 0.5145  2.0917 0.0010 0.3254 0.136151718984 0.377298206278  0.1366 0.3761
kmeans 4 1 1892 0.388666881963 0.404660940923 0.3527 0.3561  2.9623 0.0010 0.3206 0.100415254237 -0.396091101695  0.1005 -0.3947
kmeans 4 2 959 0.388666881963 0.502829372038 0.4790 0.4496  1.7276 0.0010 0.3326 0.141495850622 0.545226141079  0.1419 0.5477
kmeans 4 3 6415 0.388666881963 0.401900067792 1.0479 0.2955  4.4253 0.0000 0.7217 -0.0636880062305 -1.45553395639  -0.0638 -1.4557
kmeans 4 4 4124 0.388666881963 0.334197077252 0.7613 0.2987  3.0526 0.0000 0.5702 0.0385254978145 -1.04722559495  0.0385 -1.0474
kmeans 5 1 923 0.390939172961 0.502748014822 0.4873 0.4423  1.6718 0.0010 0.3344 0.143291576674 0.564073434125  0.1432 0.5656
kmeans 5 2 1408 0.390939172961 0.183454018743 1.0058 0.3719  3.2545 0.0000 0.5318 -0.387095572734 -1.32097540408  -0.3890 -1.3184
kmeans 5 3 3574 0.390939172961 0.358256993806 0.7299 0.2712  1.2021 0.0000 0.5570 0.0634942721431 -1.00816205644  0.0639 -1.0073
kmeans 5 4 5701 0.390939172961 0.443163941419 1.0383 0.2326  1.4597 0.0000 0.7472 0.0150514446794 -1.45661804087  0.0144 -1.4564
kmeans 5 5 1784 0.390939172961 0.395430338558 0.3311 0.3518  1.6115 0.0010 0.3048 0.101471444569 -0.36160862262  0.1013 -0.3599
kmeans 6 1 2183 0.360593130915 0.346691325716 0.5675 0.2763  1.3496 0.0010 0.4481 0.0722810933941 -0.770128018223  0.0719 -0.7682
kmeans 6 2 3964 0.360593130915 0.329385784099 0.8677 0.2229  1.3451 0.0000 0.6510 0.0645017641129 -1.21358165323  0.0650 -1.2121
kmeans 6 3 1261 0.360593130915 0.402118551338 0.2332 0.3251  1.4412 0.0010 0.2314 0.111113924051 -0.1715  0.1116 -0.1708
kmeans 6 4 763 0.360593130915 0.483689126369 0.5296 0.4130  1.5810 0.0010 0.3486 0.147984272608 0.649412844037  0.1480 0.6494
kmeans 6 5 4298 0.360593130915 0.401682753105 1.0813 0.2147  1.0621 0.0000 0.7509 -0.037526487748 -1.51933535589  -0.0371 -1.5189
kmeans 6 6 921 0.360593130915 0.177275614813 0.9856 0.4116  3.1881 0.0010 0.4833 -0.471477595628 -1.24773333333  -0.4699 -1.2479
