#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 0.5992 N/A N/A N/A N/A 0.597418820326 5 13390 11706  1638    40     5     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 2411.02562474 0.459240880988 3 13390 7516 4170 1704    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 1889.17194196 0.387751703221 4 13390 5649 4443 2287 1011    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 1616.5144194 0.344357569856 5 13390 4414 4357 2541 1469  609    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 1388.80289628 0.350093602811 6 13390 4406 4303 2516 1425  601  139    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 1235.57696365 0.312346243954 7 13390 4170 3137 2796 1738 1044  361  144    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 1096.40332954 0.320407071188 8 13390 3947 3189 2264 1606  993  991  337   63    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 N/A N/A N/A experiments.txt 995.380177978 0.297740107672 9 13390 3690 2481 2028 2016 1381  930  488  327   49    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 0.5000 N/A N/A N/A N/A 0.434413357446 9 13390 11586  1158   502   134     3     2     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 0.5500 N/A N/A N/A N/A 0.433667508749 8 13390 11607  1158   494   121     5     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 0.6500 N/A N/A N/A N/A 0.649041412684 4 13390 13220   164     5     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 0.7000 N/A N/A N/A N/A 0.687964738395 3 13390 13311    78     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_502 mag05_555 mag05_336 mag05_502 mag05_438 mag05_502 0.7500 N/A N/A N/A N/A 0.702735596666 2 13390 13333    57     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
