# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
meanshift 5 1 11706 0.597418820326 0.602510728994 0.7355 0.6577  4.0076 0.0010 0.6394 -0.00222162666045 -1.33729771615 0.00423642507574 -0.0067 -1.1494 0.0660
meanshift 5 2 5 0.597418820326 0.480922190445 2.4983 0.5537  0.7336 0.1663 2.4358 -2.69183333333 1.60766666667 2.81083333333 -2.8050 1.6322 2.8384
meanshift 5 3 40 0.597418820326 0.488942554991 1.3437 0.8317  2.3575 0.0131 1.3295 -2.0864 1.459 2.415 -1.4960 0.5088 1.5704
meanshift 5 4 1638 0.597418820326 0.563788215756 0.5661 0.7531  3.7836 0.0017 0.4120 0.979 0.697 -0.466 0.1415 0.6329 0.3902
meanshift 5 5 1 0.597418820326 1.0 N/A N/A N/A N/A 2.9958 -3.378 2.401 3.428 -3.3780 2.4010 3.4280
kmeans 3 1 1704 0.459240880988 0.370226960025 0.6207 0.8430  6.0869 0.0017 0.4854 0.0651530791789 0.633438123167 0.461246920821 0.0653 0.6338 0.4614
kmeans 3 2 7516 0.459240880988 0.545535492358 0.8480 0.3943  2.6049 0.0010 0.6944 0.0122273877714 -1.43468722526 -0.0383081124284 0.0122 -1.4342 -0.0381
kmeans 3 3 4170 0.459240880988 0.340077672898 0.4668 0.5346  2.7273 0.0020 0.4435 -0.030426041168 -0.645543082815 0.237700813787 -0.0305 -0.6445 0.2380
kmeans 4 1 2287 0.387751703221 0.309972690208 0.3412 0.5725  2.9831 0.0024 0.3361 0.0195348837209 -0.168273365511 0.327774901272 0.0199 -0.1701 0.3272
kmeans 4 2 4443 0.387751703221 0.325263652267 0.6015 0.4046  2.2439 0.0010 0.5260 -0.0515959413754 -0.976632018038 0.155146561443 -0.0517 -0.9785 0.1547
kmeans 4 3 5649 0.387751703221 0.475359641385 0.8949 0.3388  2.4517 0.0017 0.7252 0.0321711966114 -1.52289551712 -0.0815003529827 0.0323 -1.5237 -0.0818
kmeans 4 4 1011 0.387751703221 0.348797964801 0.7521 0.8046  6.0869 0.0017 0.5508 0.0770128712871 0.946851485149 0.513532673267 0.0768 0.9463 0.5132
kmeans 5 1 4357 0.344357569856 0.426390956386 0.9278 0.3110  2.2873 0.0017 0.7485 0.0540341664756 -1.58209241 -0.116184361385 0.0541 -1.5823 -0.1163
kmeans 5 2 1469 0.344357569856 0.298214172874 0.3737 0.5844  3.4014 0.0032 0.3083 0.0504253578732 0.21387866394 0.37084935242 0.0507 0.2121 0.3706
kmeans 5 3 2541 0.344357569856 0.281297205445 0.4159 0.4593  2.1035 0.0022 0.4014 -0.0151007081039 -0.564416601101 0.254502753737 -0.0155 -0.5654 0.2546
kmeans 5 4 609 0.344357569856 0.315511820709 0.8921 0.7975  5.6942 0.0017 0.6338 0.0802504118616 1.20795551895 0.597658978583 0.0805 1.2066 0.5961
kmeans 5 5 4414 0.344357569856 0.319021963207 0.6882 0.3398  1.9203 0.0010 0.5801 -0.0553333333333 -1.15567663721 0.10081123952 -0.0553 -1.1561 0.1006
kmeans 6 1 1425 0.350093602811 0.3332593734 0.3235 0.5071  2.0568 0.0032 0.2448 0.100282807018 0.201250526316 0.332861754386 0.1003 0.2013 0.3329
kmeans 6 2 4303 0.350093602811 0.4251987214 0.9290 0.3099  2.2873 0.0017 0.7496 0.0558842667906 -1.58447269347 -0.117965372996 0.0559 -1.5845 -0.1180
kmeans 6 3 4406 0.350093602811 0.313332718145 0.6922 0.3384  1.9203 0.0010 0.5825 -0.0582950522015 -1.16335655924 0.0999139809351 -0.0583 -1.1634 0.0999
kmeans 6 4 139 0.350093602811 0.239321814021 1.0773 1.0703  4.8725 0.0131 1.0752 -1.06182733813 0.0873669064748 1.17705755396 -1.0618 0.0874 1.1771
kmeans 6 5 601 0.350093602811 0.384487991421 0.8225 0.6439  2.7096 0.0017 0.5291 0.158159733777 1.19839101498 0.532893510815 0.1582 1.1984 0.5329
kmeans 6 6 2516 0.350093602811 0.293458531488 0.4124 0.4334  1.6333 0.0022 0.3963 0.000704292527822 -0.581354531002 0.238925675676 0.0007 -0.5814 0.2389
kmeans 7 1 1738 0.312346243954 0.294058723455 0.2990 0.4382  1.5721 0.0024 0.2981 0.0684576174112 -0.274073883162 0.272376861397 0.0699 -0.2725 0.2721
kmeans 7 2 2796 0.312346243954 0.245225848755 0.5398 0.3815  1.6090 0.0010 0.4832 -0.0635053609721 -0.861415654039 0.20011150822 -0.0638 -0.8595 0.2009
kmeans 7 3 3137 0.312346243954 0.379891433566 0.9613 0.2902  1.9621 0.0020 0.7735 0.0819498562759 -1.63946247205 -0.154925902268 0.0817 -1.6392 -0.1547
kmeans 7 4 361 0.312346243954 0.388143444252 0.9557 0.6161  2.5316 0.0017 0.5929 0.184878116343 1.43107202216 0.632628808864 0.1849 1.4311 0.6326
kmeans 7 5 1044 0.312346243954 0.327712934358 0.4227 0.5030  2.0568 0.0022 0.2754 0.107209569378 0.495708133971 0.359311004785 0.1069 0.4962 0.3588
kmeans 7 6 144 0.312346243954 0.232247151601 1.0649 1.0640  4.8725 0.0131 1.0628 -1.04076388889 0.075375 1.16661111111 -1.0408 0.0754 1.1666
kmeans 7 7 4170 0.312346243954 0.30651692285 0.7620 0.2943  1.6864 0.0017 0.6283 -0.0363918367347 -1.29911620648 0.0407445378151 -0.0364 -1.2983 0.0411
kmeans 8 1 3947 0.320407071188 0.315462722834 0.7674 0.2800  1.3257 0.0017 0.6305 -0.0576103929024 -1.30961267427 0.0540856780735 -0.0578 -1.3087 0.0544
kmeans 8 2 993 0.320407071188 0.213906600045 0.5784 0.4283  1.3995 0.0024 0.5300 -0.329562374245 -0.779107645875 0.412441649899 -0.3294 -0.7778 0.4127
kmeans 8 3 1606 0.320407071188 0.307376258744 0.2797 0.4233  1.6661 0.0032 0.2757 0.0824029850746 -0.216006840796 0.273518656716 0.0827 -0.2151 0.2734
kmeans 8 4 3189 0.320407071188 0.368489534752 0.9583 0.2915  1.9577 0.0020 0.7718 0.0848526084224 -1.63390414833 -0.155452231301 0.0847 -1.6336 -0.1551
kmeans 8 5 63 0.320407071188 0.389531322925 1.4127 1.1472  4.2921 0.0131 1.4017 -1.50233333333 0.455825396825 1.57504761905 -1.5023 0.4558 1.5750
kmeans 8 6 2264 0.320407071188 0.305688579484 0.5222 0.3180  1.2812 0.0010 0.4695 0.070800793301 -0.861827677391 0.103641692375 0.0710 -0.8611 0.1038
kmeans 8 7 337 0.320407071188 0.387165961969 0.9736 0.6142  2.5316 0.0079 0.6023 0.189596439169 1.46271810089 0.642694362018 0.1896 1.4627 0.6427
kmeans 8 8 991 0.320407071188 0.319733923296 0.4456 0.5086  2.2435 0.0017 0.2907 0.0990080645161 0.538152217742 0.375481854839 0.0991 0.5385 0.3758
kmeans 9 1 3690 0.297740107672 0.27628444431 0.7964 0.2643  1.1848 0.0017 0.6536 0.00962954915807 -1.36283758827 -0.0103927213471 0.0087 -1.3637 -0.0099
kmeans 9 2 327 0.297740107672 0.376282489225 0.9815 0.6136  2.5316 0.0079 0.6054 0.193996941896 1.47606116208 0.647651376147 0.1940 1.4761 0.6477
