# object_id x_pix y_pix cluster_number
303 4090.91 246.675 3
308 4137.02 247.361 3
435 4063.44 268.563 3
491 4127.46 278.255 1
515 4068.05 280.988 0
545 4106.58 285.365 1
565 4123.82 287.542 1
587 4070.76 290.111 3
612 4063.85 292.966 0
615 4019.69 293.141 1
691 4087.18 301.606 1
738 4189.47 306.642 1
747 3821.39 307.704 1
784 4129.22 312.665 0
789 4125.56 313.269 5
805 4044.87 315.71 1
810 4151.29 316.25 5
825 3861.75 317.593 3
826 4147.07 317.575 3
830 4138.72 317.888 0
838 4131.4 318.443 1
842 4130.34 318.651 1
865 4163.13 320.558 1
893 4144.34 323.528 0
894 3804.58 323.588 0
899 3911.92 324.104 1
913 4025.63 325.541 0
937 4125.72 327.724 0
946 4144.33 328.663 0
948 4153.29 328.85 1
951 4115.9 328.986 0
961 4075.95 329.636 5
996 3514.34 334.005 0
1003 4154.11 334.284 0
1040 4095.6 338.04 0
1043 3955.68 338.194 3
1058 4144.06 339.512 3
1062 4119.18 339.724 3
1074 4078.21 340.753 0
1081 4179.73 340.975 1
1113 4157.7 343.933 0
1135 4177.23 345.74 1
1136 4180.71 345.82 3
1149 4101.67 346.777 1
1202 4090.01 351.221 0
1208 4179.17 351.63 0
1227 3976.85 353.121 2
1239 3394.34 354.272 5
1272 4113.46 356.989 1
1282 3991.99 357.711 4
1283 3357.99 357.855 0
1291 4187.51 358.027 0
1303 3383.43 359.094 1
1314 4153.72 360.109 0
1341 4156.27 362.97 0
1349 4150.01 363.869 0
1403 4199.35 368.823 1
1422 4175.84 370.201 1
1435 4185.39 371.538 5
1451 4156.82 373.151 0
1486 3109.95 376.079 1
1512 3988.55 377.622 1
1532 4181.5 379.009 1
1536 3918.13 379.537 0
1558 4015.93 381.414 1
1560 3101.68 381.622 1
1576 3989.28 383.114 1
1581 3465.99 383.593 2
1586 3966.11 383.743 1
1590 3968.74 383.913 1
1597 4065.76 384.672 0
1602 3957.36 385.054 0
1606 3983.36 385.714 0
1613 4097.22 386.044 3
1617 4098.69 386.321 0
1621 4110.75 386.752 0
1649 4099.9 388.346 3
1665 4094.75 389.494 0
1674 3809.14 390.319 1
1681 3960.73 390.82 1
1701 4196.73 391.849 0
1741 4087.75 395.265 1
1757 4179.86 396.573 1
1761 4109.32 396.885 3
1771 4092.87 397.483 1
1798 4087.76 401.018 0
1821 3444.02 402.433 1
1849 4205.04 403.986 0
1863 4140.81 404.747 3
1868 4183.7 405.062 0
1916 4162.84 408.944 0
1923 4085.21 409.65 3
1932 3213.66 410.272 3
1974 4021.97 412.367 1
2001 4011.69 414.021 1
2031 4206.68 416.058 0
2067 3020.9 418.457 1
2103 4005.09 420.471 4
2134 4135.0 422.169 1
2161 4057.94 424.101 1
2168 3990.32 424.792 1
2171 3988.65 424.905 1
2196 2866.91 426.093 3
2208 2964.38 427.146 0
2215 4193.08 428.076 0
2235 3918.51 429.944 0
2250 4203.53 431.136 0
2292 3898.65 433.772 0
2297 3948.49 434.082 1
2314 3194.52 435.309 0
2324 3000.27 435.976 0
2329 3915.23 436.35 0
2341 3184.91 437.573 2
2380 2830.25 440.125 0
2385 4064.22 440.414 1
2407 4072.01 441.83 0
2425 3956.13 443.414 5
2470 3402.32 446.425 1
2472 3992.46 446.574 1
2479 4186.14 446.947 0
2482 3516.88 447.177 5
2529 3081.34 450.914 2
2530 2858.53 450.999 0
2556 4119.68 452.413 1
2563 3277.65 452.771 2
2619 3627.01 456.318 3
2625 3843.52 456.615 1
2639 3093.47 457.607 0
2645 3488.69 458.01 3
2648 3847.04 458.258 1
2668 3287.3 459.399 1
2684 3084.48 460.533 0
2752 3513.85 464.642 1
2757 3343.35 465.07 5
2783 4200.9 466.348 4
2785 2935.97 466.551 0
2786 3753.43 466.477 1
2827 3450.42 468.841 1
2846 3223.45 469.994 1
2874 2441.53 472.202 3
2893 2976.63 472.996 3
2907 3820.43 474.239 1
2936 2784.27 476.25 0
3020 3085.94 481.392 1
3045 2833.2 483.463 0
3055 2927.36 484.084 2
3059 2828.35 484.342 0
3113 2810.15 487.216 5
3117 3568.12 487.275 1
3157 3931.99 489.501 2
3160 3977.04 489.577 1
3171 2828.71 490.426 0
3220 2119.97 493.315 1
3240 3105.15 494.511 1
3333 3572.56 499.983 3
3337 4219.36 500.014 3
