#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 0.8929 N/A N/A N/A N/A 0.448775854368 3 14577 13539   692   346     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 N/A N/A N/A experiments.txt 5825.83268584 0.437223860114 3 14577 7295 5172 2110    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 N/A N/A N/A experiments.txt 4627.3190987 0.37050568114 4 14577 5563 4657 3243 1114    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 N/A N/A N/A experiments.txt 4011.16503506 0.321341116071 5 14577 4341 4292 3220 2034  690    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 N/A N/A N/A experiments.txt 3616.54685838 0.311794753938 6 14577 4154 3894 2496 2021 1320  692    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 N/A N/A N/A experiments.txt 3272.36776596 0.315047728164 7 14577 4119 3742 2568 1870 1202  570  506    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 N/A N/A N/A experiments.txt 2941.83069915 0.297120407867 8 14577 3752 2958 2509 2208 1182 1096  471  401    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 0.7000 N/A N/A N/A N/A 0.455632797676 3 14577 13473   782   322     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 0.7500 N/A N/A N/A N/A 0.455397383076 3 14577 13498   759   320     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 0.8000 N/A N/A N/A N/A 0.451741609687 4 14577 13133  1151   289     4     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_438 mag05_673 0.8500 N/A N/A N/A N/A 0.448141731865 3 14577 13652   554   371     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
