# object_id x_pix y_pix cluster_number
303 4090.91 246.675 1
308 4137.02 247.361 1
310 4123.52 248.225 0
379 4034.22 260.588 1
472 4128.43 274.787 1
515 4068.05 280.988 0
545 4106.58 285.365 0
564 4142.91 287.502 0
565 4123.82 287.542 0
615 4019.69 293.141 0
738 4189.47 306.642 1
747 3821.39 307.704 0
784 4129.22 312.665 0
789 4125.56 313.269 2
805 4044.87 315.71 0
810 4151.29 316.25 2
825 3861.75 317.593 1
826 4147.07 317.575 0
830 4138.72 317.888 0
838 4131.4 318.443 0
842 4130.34 318.651 0
865 4163.13 320.558 0
882 4042.47 322.362 0
893 4144.34 323.528 0
894 3804.58 323.588 0
899 3911.92 324.104 1
912 4192.21 325.328 1
913 4025.63 325.541 0
937 4125.72 327.724 0
942 4099.74 328.052 0
946 4144.33 328.663 0
951 4115.9 328.986 0
961 4075.95 329.636 2
996 3514.34 334.005 0
1003 4154.11 334.284 0
1035 4153.02 337.313 2
1040 4095.6 338.04 0
1043 3955.68 338.194 1
1058 4144.06 339.512 1
1062 4119.18 339.724 1
1081 4179.73 340.975 0
1113 4157.7 343.933 0
1135 4177.23 345.74 0
1136 4180.71 345.82 1
1149 4101.67 346.777 0
1196 3666.64 350.974 1
1198 3398.85 351.016 1
1202 4090.01 351.221 0
1207 3958.72 351.637 1
1208 4179.17 351.63 0
1227 3976.85 353.121 2
1239 3394.34 354.272 1
1282 3991.99 357.711 1
1283 3357.99 357.855 0
1291 4187.51 358.027 0
1314 4153.72 360.109 0
1341 4156.27 362.97 0
1349 4150.01 363.869 0
1385 4129.5 367.072 1
1395 4010.52 368.16 0
1403 4199.35 368.823 0
1422 4175.84 370.201 0
1435 4185.39 371.538 1
1451 4156.82 373.151 0
1486 3109.95 376.079 0
1512 3988.55 377.622 0
1532 4181.5 379.009 0
1536 3918.13 379.537 0
1537 3308.69 379.752 1
1558 4015.93 381.414 0
1560 3101.68 381.622 0
1576 3989.28 383.114 1
1581 3465.99 383.593 2
1586 3966.11 383.743 0
1588 3122.05 383.918 1
1590 3968.74 383.913 0
1597 4065.76 384.672 0
1602 3957.36 385.054 0
1606 3983.36 385.714 0
1613 4097.22 386.044 0
1617 4098.69 386.321 0
1621 4110.75 386.752 0
1649 4099.9 388.346 1
1665 4094.75 389.494 0
1674 3809.14 390.319 1
1701 4196.73 391.849 0
1734 3542.06 394.877 1
1741 4087.75 395.265 0
1757 4179.86 396.573 0
1761 4109.32 396.885 1
1771 4092.87 397.483 0
1798 4087.76 401.018 0
1821 3444.02 402.433 0
1835 4190.9 403.27 0
1849 4205.04 403.986 0
1863 4140.81 404.747 1
1868 4183.7 405.062 1
1916 4162.84 408.944 1
1923 4085.21 409.65 0
1932 3213.66 410.272 1
1974 4021.97 412.367 0
1978 4163.69 412.578 1
2001 4011.69 414.021 1
2023 3541.19 415.951 0
2031 4206.68 416.058 0
2067 3020.9 418.457 0
2134 4135.0 422.169 0
2161 4057.94 424.101 0
2168 3990.32 424.792 1
2171 3988.65 424.905 1
2208 2964.38 427.146 0
2215 4193.08 428.076 0
2235 3918.51 429.944 0
2250 4203.53 431.136 0
2292 3898.65 433.772 0
2312 4126.03 435.11 1
2314 3194.52 435.309 0
2324 3000.27 435.976 0
2329 3915.23 436.35 0
2341 3184.91 437.573 2
2378 3929.25 439.868 2
2380 2830.25 440.125 0
2385 4064.22 440.414 0
2407 4072.01 441.83 0
2425 3956.13 443.414 2
2456 3863.12 445.473 1
2470 3402.32 446.425 0
2472 3992.46 446.574 0
2479 4186.14 446.947 0
2482 3516.88 447.177 1
2485 2983.38 447.476 0
2529 3081.34 450.914 2
2530 2858.53 450.999 0
2547 3086.59 452.243 2
2556 4119.68 452.413 0
