# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 6 1 18837 0.491271528606 0.491099718165 0.5240 0.7433  4.1933 0.0000 0.4641 0.00319025773626 0.0988134122946  0.1576 0.3289
meanshift 6 2 40 0.491271528606 0.648043248729 1.2124 0.5441  1.7727 0.0197 0.8827 -2.5458 -0.0034  -1.6503 -0.0119
meanshift 6 3 1 0.491271528606 0.0 N/A N/A N/A N/A 1.9500 -3.799 0.101  -3.7990 0.1010
meanshift 6 4 1 0.491271528606 0.0 N/A N/A N/A N/A 0.9895 0.271 -1.708  0.2710 -1.7080
meanshift 6 5 1 0.491271528606 0.0 N/A N/A N/A N/A 0.6755 -0.779 -2.13  -0.7790 -2.1300
meanshift 6 6 2 0.491271528606 -0.289058941471 0.9701 1.5837  1.5837 1.5837 0.9559 0.293 -1.066  0.9400 -0.6095
kmeans 3 1 6545 0.397190401542 0.310323229939 0.4526 0.4389  2.4719 0.0000 0.2578 0.310624446142 0.433355233002  0.3106 0.4334
kmeans 3 2 9783 0.397190401542 0.473943802525 0.2450 0.3592  4.4539 0.0000 0.2376 -0.146606664622 0.027324644792  -0.1466 0.0273
kmeans 3 3 2554 0.397190401542 0.325799295952 1.1395 0.7047  3.2341 0.0000 0.4309 0.901422866092 1.20836178543  0.9014 1.2084
kmeans 4 1 4227 0.343812174267 0.283556001616 0.6007 0.4582  2.5662 0.0000 0.2977 0.381668795836 0.661822332624  0.3817 0.6618
kmeans 4 2 4671 0.343812174267 0.327679257303 0.3288 0.3458  4.4539 0.0000 0.2815 -0.346075572683 0.00648426461143  -0.3461 0.0065
kmeans 4 3 1945 0.343812174267 0.301867874622 1.2193 0.6913  3.2341 0.0000 0.4166 1.01920874036 1.27262827763  1.0192 1.2726
kmeans 4 4 8039 0.343812174267 0.395017717214 0.2003 0.2901  1.7564 0.0000 0.1657 0.114673715636 0.110301032467  0.1147 0.1103
kmeans 5 1 8036 0.35533403358 0.399244812612 0.1888 0.2807  2.2405 0.0000 0.1598 0.106628919861 0.0945430562469  0.1066 0.0945
kmeans 5 2 4371 0.35533403358 0.325274150394 0.3371 0.3459  3.7667 0.0000 0.2867 -0.362128345916 0.00755159002517  -0.3621 0.0076
kmeans 5 3 3732 0.35533403358 0.338913869759 0.5561 0.3792  1.6293 0.0000 0.2927 0.273457663451 0.672156484459  0.2735 0.6722
kmeans 5 4 1514 0.35533403358 0.334722416926 1.2416 0.5852  2.0738 0.0010 0.4305 0.891363936592 1.43770805812  0.8914 1.4377
kmeans 5 5 1229 0.35533403358 0.250379410397 0.8898 0.5493  2.0416 0.0000 0.3877 1.02273555736 0.57920992677  1.0227 0.5792
kmeans 6 1 1168 0.344646777758 0.354254338052 1.3132 0.5531  2.0738 0.0010 0.4064 0.991990582192 1.50552226027  0.9920 1.5055
kmeans 6 2 6878 0.344646777758 0.436869950709 0.1372 0.2308  2.3132 0.0000 0.1353 -0.0559056411748 0.0102455655714  -0.0559 0.0102
kmeans 6 3 2483 0.344646777758 0.344892826574 0.6938 0.3846  1.4036 0.0000 0.3499 0.325101490133 0.873089407974  0.3251 0.8731
kmeans 6 4 2116 0.344646777758 0.269206909207 0.4499 0.3769  3.7547 0.0000 0.3725 -0.537677693762 0.0331285444234  -0.5377 0.0331
kmeans 6 5 1127 0.344646777758 0.244879714379 0.9266 0.5403  2.0073 0.0000 0.3809 1.06307985803 0.626242236025  1.0631 0.6262
kmeans 6 6 5110 0.344646777758 0.271442215938 0.3157 0.3100  1.4383 0.0000 0.1763 0.246438356164 0.277320547945  0.2464 0.2773
kmeans 7 1 6918 0.358627275969 0.44681947487 0.1265 0.2216  2.0596 0.0000 0.1261 -0.027576467187 0.00754770164788  -0.0276 0.0075
kmeans 7 2 991 0.358627275969 0.33624586807 1.3453 0.5313  1.9046 0.0010 0.4100 1.00557719475 1.55700302725  1.0056 1.5570
kmeans 7 3 2290 0.358627275969 0.293555394756 0.4313 0.3575  3.7547 0.0000 0.3502 -0.516425327511 0.0128406113537  -0.5164 0.0128
kmeans 7 4 2122 0.358627275969 0.332919005163 0.7597 0.3789  1.4247 0.0000 0.3417 0.411995758718 0.944956173421  0.4120 0.9450
kmeans 7 5 3085 0.358627275969 0.3239284973 0.3499 0.2674  1.1407 0.0000 0.2367 0.0765886547812 0.438756888169  0.0766 0.4388
kmeans 7 6 2660 0.358627275969 0.277242428337 0.3922 0.3079  0.9950 0.0000 0.2055 0.441735714286 0.226333082707  0.4417 0.2263
