# object_id x_pix y_pix cluster_number
253 4140.31 238.735 1
303 4090.91 246.675 2
308 4137.02 247.361 1
310 4123.52 248.225 2
379 4034.22 260.588 2
443 3905.2 270.381 1
472 4128.43 274.787 2
515 4068.05 280.988 2
545 4106.58 285.365 2
564 4142.91 287.502 2
565 4123.82 287.542 2
615 4019.69 293.141 2
688 4095.74 301.589 0
701 4092.25 302.479 0
715 4003.19 304.14 0
738 4189.47 306.642 1
747 3821.39 307.704 2
784 4129.22 312.665 2
785 3838.4 312.889 0
789 4125.56 313.269 1
805 4044.87 315.71 2
810 4151.29 316.25 0
825 3861.75 317.593 1
826 4147.07 317.575 1
830 4138.72 317.888 2
838 4131.4 318.443 2
842 4130.34 318.651 2
845 4092.75 319.028 0
857 4126.8 319.979 0
865 4163.13 320.558 2
882 4042.47 322.362 2
893 4144.34 323.528 2
894 3804.58 323.588 2
899 3911.92 324.104 2
912 4192.21 325.328 2
913 4025.63 325.541 2
937 4125.72 327.724 2
942 4099.74 328.052 2
946 4144.33 328.663 2
951 4115.9 328.986 2
961 4075.95 329.636 1
996 3514.34 334.005 2
1003 4154.11 334.284 1
1015 3367.34 335.103 2
1035 4153.02 337.313 0
1040 4095.6 338.04 2
1043 3955.68 338.194 2
1058 4144.06 339.512 1
1062 4119.18 339.724 1
1079 3308.78 341.027 1
1081 4179.73 340.975 2
1113 4157.7 343.933 2
1135 4177.23 345.74 2
1136 4180.71 345.82 1
1149 4101.67 346.777 2
1196 3666.64 350.974 2
1198 3398.85 351.016 2
1202 4090.01 351.221 2
1207 3958.72 351.637 2
1208 4179.17 351.63 2
1227 3976.85 353.121 1
1239 3394.34 354.272 1
1282 3991.99 357.711 2
1283 3357.99 357.855 2
1291 4187.51 358.027 2
1308 4091.53 359.459 0
1314 4153.72 360.109 2
1341 4156.27 362.97 2
1349 4150.01 363.869 2
1385 4129.5 367.072 2
1395 4010.52 368.16 2
1403 4199.35 368.823 2
1410 3603.71 369.379 0
1422 4175.84 370.201 2
1435 4185.39 371.538 1
1447 3759.0 373.078 1
1451 4156.82 373.151 2
1486 3109.95 376.079 2
1512 3988.55 377.622 1
1532 4181.5 379.009 2
1536 3918.13 379.537 2
1537 3308.69 379.752 2
1558 4015.93 381.414 2
1560 3101.68 381.622 1
1576 3989.28 383.114 1
1581 3465.99 383.593 1
1586 3966.11 383.743 2
1588 3122.05 383.918 2
1590 3968.74 383.913 2
1597 4065.76 384.672 2
1602 3957.36 385.054 1
1606 3983.36 385.714 2
1613 4097.22 386.044 1
1617 4098.69 386.321 1
1621 4110.75 386.752 2
1649 4099.9 388.346 1
1665 4094.75 389.494 1
1674 3809.14 390.319 2
1701 4196.73 391.849 2
1706 3012.75 392.548 0
1714 4178.16 393.11 0
1724 3996.85 394.052 0
1734 3542.06 394.877 2
1741 4087.75 395.265 2
1757 4179.86 396.573 2
1761 4109.32 396.885 2
1771 4092.87 397.483 2
1786 3198.9 398.945 0
1798 4087.76 401.018 2
1821 3444.02 402.433 2
1835 4190.9 403.27 2
1849 4205.04 403.986 2
1863 4140.81 404.747 2
1868 4183.7 405.062 0
1894 2750.94 407.315 1
1916 4162.84 408.944 2
1923 4085.21 409.65 2
1932 3213.66 410.272 1
1974 4021.97 412.367 2
1978 4163.69 412.578 2
2001 4011.69 414.021 2
2023 3541.19 415.951 2
2031 4206.68 416.058 2
2067 3020.9 418.457 2
2130 2931.55 422.077 0
2134 4135.0 422.169 2
2161 4057.94 424.101 2
2168 3990.32 424.792 2
2171 3988.65 424.905 2
2206 3567.57 426.959 1
2208 2964.38 427.146 2
2215 4193.08 428.076 2
2235 3918.51 429.944 2
2250 4203.53 431.136 2
2292 3898.65 433.772 2
2312 4126.03 435.11 2
2314 3194.52 435.309 2
2324 3000.27 435.976 2
2329 3915.23 436.35 2
2341 3184.91 437.573 1
2378 3929.25 439.868 1
2380 2830.25 440.125 1
2384 3006.03 440.515 1
2385 4064.22 440.414 2
2407 4072.01 441.83 2
2425 3956.13 443.414 1
2451 4024.68 444.997 0
2456 3863.12 445.473 2
2470 3402.32 446.425 1
2472 3992.46 446.574 2
2479 4186.14 446.947 2
2482 3516.88 447.177 1
2485 2983.38 447.476 2
2529 3081.34 450.914 0
2530 2858.53 450.999 2
2547 3086.59 452.243 2
2553 3192.06 452.361 1
2556 4119.68 452.413 2
2561 4145.69 452.561 0
2563 3277.65 452.771 1
2619 3627.01 456.318 1
2625 3843.52 456.615 2
2639 3093.47 457.607 2
2645 3488.69 458.01 2
2648 3847.04 458.258 2
2656 3269.53 458.815 0
2668 3287.3 459.399 2
2684 3084.48 460.533 2
2738 3919.24 463.801 2
2739 2882.07 463.925 0
2752 3513.85 464.642 2
2757 3343.35 465.07 2
2783 4200.9 466.348 2
2785 2935.97 466.551 2
2817 2427.16 468.39 1
2822 3469.69 468.718 2
2827 3450.42 468.841 2
2841 2417.31 469.716 1
2846 3223.45 469.994 2
2851 3374.7 470.168 2
2866 2354.91 471.399 0
2868 3958.49 471.425 0
2874 2441.53 472.202 2
2882 2254.36 472.562 2
2890 2235.97 472.955 2
2891 3218.79 472.952 2
2893 2976.63 472.996 2
2897 2676.38 473.416 2
2907 3820.43 474.239 2
2936 2784.27 476.25 2
2940 2933.67 476.523 1
2955 4010.35 477.655 2
3011 3603.08 480.907 2
3020 3085.94 481.392 2
3025 2798.86 481.615 1
3026 2932.97 481.684 0
3030 4206.59 481.91 2
3045 2833.2 483.463 2
3055 2927.36 484.084 1
3097 2112.15 486.291 1
3113 2810.15 487.216 1
3122 2321.39 487.573 1
3147 4148.69 488.794 2
3157 3931.99 489.501 1
3160 3977.04 489.577 2
3171 2828.71 490.426 2
3208 2148.7 492.466 0
3220 2119.97 493.315 2
3235 3556.44 494.12 2
3240 3105.15 494.511 2
3258 2862.5 495.423 0
3285 2266.82 497.295 2
3309 3068.07 498.49 1
3328 3859.25 499.49 0
3333 3572.56 499.983 1
3337 4219.36 500.014 1
3354 3557.19 500.779 2
3371 2203.2 502.217 0
3372 3500.26 502.296 1
3396 3357.95 503.358 2
3417 2653.39 504.859 1
3453 3778.01 506.456 1
3456 2851.73 506.628 0
3469 2874.9 507.437 1
3490 3898.82 509.05 2
3497 2806.45 509.816 1
3512 2877.09 510.885 1
3524 4204.71 511.785 2
3547 4117.9 512.731 2
3550 3614.02 512.891 2
3552 4148.58 512.942 1
3597 3085.05 515.105 2
3619 3148.68 516.176 1
3628 4115.35 516.292 1
3657 3220.45 518.073 2
3658 4201.89 518.028 2
3662 3168.46 518.49 1
3664 2990.75 518.631 0
3673 3469.42 519.251 2
3689 3064.72 519.797 2
