# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
kmeans 3 1 3002 0.439295857276 0.39312577879 1.5826 0.9418  7.4437 0.0028 0.7832 0.746110926049 2.26560226516 1.11384343771 0.7461 2.2656 1.1138
kmeans 3 2 9928 0.439295857276 0.531042152157 0.2618 0.5415  3.3354 0.0010 0.2558 -0.0136833199033 0.104568493151 0.0773772159549 -0.0137 0.1046 0.0774
kmeans 3 3 5952 0.439295857276 0.30954877395 0.7716 0.7331  5.6483 0.0010 0.4990 0.133911458333 1.02279334677 0.609109206989 0.1339 1.0228 0.6091
kmeans 4 1 7284 0.360345392959 0.469392151151 0.2126 0.4565  2.7414 0.0010 0.2126 -0.00652004393191 -0.0101426414058 -0.00132372322899 -0.0065 -0.0101 -0.0013
kmeans 4 2 5962 0.360345392959 0.274089459036 0.5057 0.5789  3.8029 0.0022 0.3666 0.0238663200268 0.619677960416 0.401350888963 0.0239 0.6197 0.4014
kmeans 4 3 3577 0.360345392959 0.282789344377 1.0392 0.7330  6.1936 0.0010 0.5967 0.27624713447 1.45943136707 0.816901873078 0.2762 1.4594 0.8169
kmeans 4 4 2059 0.360345392959 0.359072579526 1.7108 0.8780  7.4437 0.0028 0.8015 0.882993200583 2.47019572608 1.1812078679 0.8830 2.4702 1.1812
kmeans 5 1 3200 0.350674351619 0.263320303576 0.4901 0.5141  2.3775 0.0022 0.4421 -0.307724375 0.5122978125 0.4294315625 -0.3077 0.5123 0.4294
kmeans 5 2 7008 0.350674351619 0.453537495559 0.2006 0.4336  2.2804 0.0010 0.2006 0.0170263984018 -0.0140064212329 -0.0107505707763 0.0170 -0.0140 -0.0108
kmeans 5 3 3810 0.350674351619 0.289389357095 0.5925 0.5246  2.3623 0.0024 0.3100 0.338813648294 0.768629658793 0.40719343832 0.3388 0.7686 0.4072
kmeans 5 4 1902 0.350674351619 0.341370695784 1.7303 0.8616  4.6629 0.0028 0.7931 0.930743953733 2.49636908517 1.18630809674 0.9307 2.4964 1.1863
kmeans 5 5 2962 0.350674351619 0.286481044236 1.1118 0.6930  6.7972 0.0010 0.6452 0.238102633356 1.58993619176 0.888173869007 0.2381 1.5899 0.8882
kmeans 6 1 2598 0.317127735439 0.315152134961 1.1758 0.6376  3.3240 0.0010 0.5872 0.471050808314 1.69837490377 0.886424557352 0.4711 1.6984 0.8864
kmeans 6 2 4958 0.317127735439 0.306104379552 0.3077 0.4099  1.7535 0.0022 0.2746 -0.142652279145 0.312150665591 0.247105082695 -0.1427 0.3122 0.2471
kmeans 6 3 1546 0.317127735439 0.325340819242 1.7985 0.8232  4.5485 0.0028 0.8277 0.936796248383 2.6218156533 1.2315931436 0.9368 2.6218 1.2316
kmeans 6 4 3649 0.317127735439 0.294035063201 0.6203 0.5129  2.3416 0.0024 0.3195 0.329229651959 0.825444505344 0.440473006303 0.3292 0.8254 0.4405
kmeans 6 5 4893 0.317127735439 0.371692790009 0.2050 0.4041  2.5092 0.0010 0.2015 0.0614156958921 -0.0976697322706 -0.0777661966074 0.0614 -0.0977 -0.0778
kmeans 6 6 1238 0.317127735439 0.207569843639 0.9303 0.7197  5.8505 0.0024 0.7784 -0.456910339257 1.11442891761 0.871147011309 -0.4569 1.1144 0.8711
kmeans 7 1 2191 0.313087354365 0.321534023077 1.1401 0.5619  3.7131 0.0010 0.6405 0.24539023277 1.68031675034 0.903812414423 0.2454 1.6803 0.9038
kmeans 7 2 1192 0.313087354365 0.206657089041 0.8491 0.6829  5.9146 0.0024 0.7476 -0.530257550336 0.948198825503 0.789218120805 -0.5303 0.9482 0.7892
kmeans 7 3 979 0.313087354365 0.270562837629 1.3613 0.6525  2.3113 0.0057 0.4891 1.07900102145 1.80802757916 0.924257405516 1.0790 1.8080 0.9243
kmeans 7 4 1227 0.313087354365 0.308945906414 1.8549 0.7666  3.7047 0.0028 0.8839 0.867549307253 2.75128769356 1.27350203749 0.8675 2.7513 1.2735
kmeans 7 5 3587 0.313087354365 0.295758352835 0.6209 0.4995  2.1521 0.0024 0.3168 0.321582938389 0.834279063284 0.446044047951 0.3216 0.8343 0.4460
kmeans 7 6 5040 0.313087354365 0.313982444598 0.2875 0.3945  1.6754 0.0022 0.2527 -0.111898611111 0.294974206349 0.228152380952 -0.1119 0.2950 0.2282
kmeans 7 7 4666 0.313087354365 0.358676543683 0.2074 0.4014  2.5092 0.0010 0.2025 0.0610932276039 -0.10925525075 -0.0859209172739 0.0611 -0.1093 -0.0859
meanshift 6 1 16181 0.399207112819 0.402919761242 0.5381 0.9092  3.8173 0.0010 0.4610 -0.0025120139799 0.226927741372 0.150963739624 0.0745 0.4793 0.2790
meanshift 6 2 181 0.399207112819 -0.11765652153 1.9458 1.4427  4.7098 0.0182 1.4120 -1.9301 2.4114 2.3579 -0.2562 2.7431 1.5292
meanshift 6 3 1 0.399207112819 0.0 N/A N/A N/A N/A 2.8725 -2.941 3.088 3.215 -2.9410 3.0880 3.2150
meanshift 6 4 1 0.399207112819 0.0 N/A N/A N/A N/A 3.6378 -3.799 3.968 3.867 -3.7990 3.9680 3.8670
meanshift 6 5 2449 0.399207112819 0.404158556991 1.5987 0.9197  4.0179 0.0028 0.7751 0.271 0.58 2.288 0.7441 2.2836 1.1672
meanshift 6 6 69 0.399207112819 0.720225679997 1.1291 0.4797  1.8263 0.0124 1.0597 -0.779 -0.051 2.079 -1.0738 1.0866 1.1570
