# band1 band2 band3 band4 band5 band6 n_clusters b_width eps min_samples damping preferences

mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 3 0.6 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 3 0.72 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 3 0.75 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 3 0.8 0.3 10 0.9 -35

mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 3 0.8 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 3 0.9 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 3 0.95 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 3 1.0 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 3 0.68 0.3 10 0.9 -35

mag05_225 mag05_336 mag05_225 mag05_555 mag05_225 mag05_814 3 0.8 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_555 mag05_225 mag05_814 3 0.9 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_555 mag05_225 mag05_814 3 0.92 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_555 mag05_225 mag05_814 3 0.95 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_225 mag05_555 mag05_225 mag05_814 3 1.0 0.3 10 0.9 -35

