# band1 band2 band3 band4 n_clusters b_width eps min_samples damping preferences

mag05_225 mag05_336 mag05_438 mag05_555 3 0.9 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_555 4 0.5 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_555 5 0.6 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_555 6 0.7 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_555 7 1.0 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_555 8 0.8 0.3 10 0.9 -35

mag05_225 mag05_336 mag05_438 mag05_814 3 1.0 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_814 4 0.5 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_814 5 0.6 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_814 6 0.7 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_814 7 0.9 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_438 mag05_814 8 0.8 0.3 10 0.9 -35

mag05_225 mag05_336 mag05_555 mag05_814 3 0.4 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_555 mag05_814 4 0.5 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_555 mag05_814 5 0.6 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_555 mag05_814 6 0.7 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_555 mag05_814 7 0.4809 0.3 10 0.9 -35
mag05_225 mag05_336 mag05_555 mag05_814 8 0.8 0.3 10 0.9 -35



