#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 0.8641 N/A N/A N/A N/A 0.306778187764 7 14095 13628   376    69    11     7     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 0.7000 N/A N/A N/A N/A 0.302645095127 9 14095 13635   374    61    12     4     4     3     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 0.7500 N/A N/A N/A N/A 0.297192387699 8 14095 13636   373    61    12     7     3     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 0.8000 N/A N/A N/A N/A 0.310147810634 7 14095 13630   378    65    11     7     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 0.9000 N/A N/A N/A N/A 0.336483574648 7 14095 13654   375    44    11     7     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 0.9500 N/A N/A N/A N/A 0.34518090953 5 14095 13781   245    46    22     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 5932.99445758 0.456313864527 3 14095 7444 5253 1398    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 4363.9275361 0.408876505861 4 14095 5734 5214 2390  757    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 3514.17394882 0.373947047208 5 14095 5289 3601 3332 1478  395    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 2971.20077638 0.356093784017 6 14095 4806 3581 2808 1834  870  196    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 2607.19237713 0.36139890555 7 14095 4715 3601 2756 1648  764  419  192    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 2312.48725801 0.329167371548 8 14095 3867 3518 2357 2088 1092  628  392  153    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_814 N/A N/A N/A experiments.txt 2114.43507423 0.307135008883 9 14095 3419 3157 2644 1557 1522  795  485  376  140    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
