# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 2 1 14936 0.787281782562 0.787339672681 0.3283 0.5111  5.4053 0.0000 0.3264 -0.124930724597 -0.0208086611945  -0.0659 -0.0040
meanshift 2 2 7 0.787281782562 0.663760808934 1.7799 0.8186  1.7186 0.2301 1.2765 -3.682 -0.152  -2.4394 -0.0413
kmeans 3 1 7423 0.415192346418 0.440149497704 0.3134 0.2735  3.6732 0.0000 0.2251 -0.368031237377 -0.0677751447422  -0.3681 -0.0678
kmeans 3 2 6112 0.415192346418 0.389768206086 0.1723 0.2790  2.1986 0.0000 0.1643 0.0808353518822 0.0233620294599  0.0806 0.0233
kmeans 3 3 1408 0.415192346418 0.393981701325 0.7157 0.4900  3.2426 0.0010 0.4622 0.88023257468 0.213340682788  0.8797 0.2132
meanshift 5 1 14830 0.680163910129 0.681484255778 0.3053 0.4884  3.0487 0.0000 0.3023 -0.18193714333 -0.0409731205029  -0.0787 -0.0071
meanshift 5 2 96 0.680163910129 0.503200589298 1.4693 0.5166  2.0439 0.0030 0.8316 3.2652 0.7738  1.9770 0.4456
meanshift 5 3 1 0.680163910129 1.0 N/A N/A N/A N/A 1.7650 -3.682 -0.152  -3.6820 -0.1520
meanshift 5 4 14 0.680163910129 0.559332513599 1.3697 0.6609  1.8164 0.0269 1.0448 -2.621 0.402  -1.8641 0.0926
meanshift 5 5 2 0.680163910129 0.0699420485234 2.1285 0.9482  0.9482 0.9482 1.4624 3.443 0.091  2.9700 0.1230
kmeans 4 1 760 0.368296498053 0.369476279595 0.8817 0.5053  3.1599 0.0014 0.5418 1.1240249017 0.265089121887  1.1255 0.2658
kmeans 4 2 4855 0.368296498053 0.369139234697 0.3629 0.2545  3.4887 0.0000 0.2494 -0.453146768217 -0.0739479209551  -0.4533 -0.0740
kmeans 4 3 2913 0.368296498053 0.368085377426 0.2955 0.2825  1.9271 0.0000 0.2044 0.335164204741 0.0912538646513  0.3357 0.0913
kmeans 4 4 6415 0.368296498053 0.367614794859 0.1513 0.2269  2.2122 0.0000 0.1378 -0.0988557167369 -0.0264125721416  -0.0989 -0.0264
meanshift 4 1 14829 0.721140091008 0.72188575412 0.3053 0.4882  3.4129 0.0000 0.3021 -0.167256129733 -0.035824255121  -0.0805 -0.0072
meanshift 4 2 106 0.721140091008 0.618124570297 1.4458 0.5244  2.0442 0.0030 0.8214 3.17933333333 0.767166666667  1.9432 0.4366
meanshift 4 3 7 0.721140091008 0.661618233405 1.7799 0.8186  1.7186 0.2301 1.2765 -3.682 -0.152  -2.4394 -0.0413
meanshift 4 4 1 0.721140091008 1.0 N/A N/A N/A N/A 1.6760 3.443 0.091  3.4430 0.0910
kmeans 5 1 3813 0.338693530386 0.316639001858 0.1635 0.2352  2.1986 0.0000 0.1445 0.106194451714 0.045500654279  0.1073 0.0457
kmeans 5 2 5665 0.338693530386 0.36142844966 0.1851 0.1975  1.3846 0.0000 0.1298 -0.196406707855 -0.0687980582524  -0.1956 -0.0682
kmeans 5 3 402 0.338693530386 0.351163183087 1.0584 0.5255  3.1599 0.0022 0.6345 1.38221890547 0.312044776119  1.3822 0.3120
kmeans 5 4 1579 0.338693530386 0.390076832198 0.4558 0.2897  1.5763 0.0010 0.2741 0.579896595208 0.147162673392  0.5809 0.1475
kmeans 5 5 3484 0.338693530386 0.30113714854 0.3999 0.2555  3.5074 0.0000 0.2810 -0.510334390314 -0.0586987604497  -0.5097 -0.0594
meanshift 2 1 14936 0.787281782562 0.787339672681 0.3283 0.5111  5.4053 0.0000 0.3264 -0.149548927962 -0.029395726686  -0.0659 -0.0040
meanshift 2 2 7 0.787281782562 0.663760808934 1.7799 0.8186  1.7186 0.2301 1.2765 -3.682 -0.152  -2.4394 -0.0413
kmeans 6 1 1502 0.341989052018 0.371222520823 0.4678 0.2906  1.9204 0.0010 0.2775 0.595727696405 0.155514647137  0.5963 0.1568
kmeans 6 2 4419 0.341989052018 0.365297211727 0.1881 0.1732  0.7983 0.0000 0.1047 -0.191855527922 -0.121489712865  -0.1911 -0.1215
kmeans 6 3 3232 0.341989052018 0.343521926298 0.3989 0.2276  3.3459 0.0000 0.2653 -0.51667515528 -0.0795543478261  -0.5161 -0.0796
kmeans 6 4 3412 0.341989052018 0.377366267246 0.1504 0.2020  1.1570 0.0000 0.1293 0.137351564785 0.0155630301258  0.1379 0.0157
kmeans 6 5 390 0.341989052018 0.349403661584 1.0656 0.5217  2.7922 0.0022 0.6395 1.39265816327 0.312426020408  1.3954 0.3093
kmeans 6 6 1988 0.341989052018 0.203427465672 0.2379 0.2355  1.4620 0.0000 0.2371 -0.201256165073 0.162850025164  -0.2013 0.1628
meanshift 2 1 14936 0.787281782562 0.787339672681 0.3283 0.5111  5.4053 0.0000 0.3264 -0.114919324447 -0.0177261497662  -0.0659 -0.0040
meanshift 2 2 7 0.787281782562 0.663760808934 1.7799 0.8186  1.7186 0.2301 1.2765 -3.682 -0.152  -2.4394 -0.0413
kmeans 7 1 1359 0.327588810892 0.181109298994 0.2723 0.2586  1.4314 0.0000 0.2723 -0.216171680117 0.21722083639  -0.2166 0.2175
kmeans 7 2 4232 0.327588810892 0.353101140071 0.2373 0.1678  0.8878 0.0000 0.1298 -0.286783246569 -0.111412446758  -0.2857 -0.1115
kmeans 7 3 3747 0.327588810892 0.355903783296 0.1022 0.1710  0.7014 0.0000 0.0978 -0.0137850293021 -0.0467453383058  -0.0129 -0.0460
kmeans 7 4 977 0.327588810892 0.372596038252 0.6265 0.3218  1.9237 0.0010 0.3607 0.818900101937 0.20429459735  0.8200 0.2045
kmeans 7 5 176 0.327588810892 0.402728608748 1.3036 0.5488  2.7922 0.0030 0.7557 1.73267613636 0.391670454545  1.7327 0.3917
kmeans 7 6 2173 0.327588810892 0.287465434228 0.4403 0.2329  3.2755 0.0000 0.2974 -0.576714814815 -0.0735337962963  -0.5758 -0.0736
kmeans 7 7 2279 0.327588810892 0.334167446227 0.2563 0.2240  1.3751 0.0000 0.1699 0.303938677179 0.0784310118265  0.3049 0.0788
meanshift 2 1 14936 0.787281782562 0.787339672681 0.3283 0.5111  5.4053 0.0000 0.3264 -0.137230769231 -0.0248447815096  -0.0659 -0.0040
meanshift 2 2 7 0.787281782562 0.663760808934 1.7799 0.8186  1.7186 0.2301 1.2765 -3.682 -0.152  -2.4394 -0.0413
kmeans 8 1 2666 0.323892699349 0.297813952315 0.2383 0.1655  0.7875 0.0000 0.1004 -0.247074101796 -0.186105913174  -0.2460 -0.1863
kmeans 8 2 815 0.323892699349 0.375937028087 0.6613 0.3148  1.9237 0.0010 0.3747 0.870745098039 0.218796568627  0.8710 0.2189
kmeans 8 3 3535 0.323892699349 0.327832138612 0.1063 0.1794  0.7684 0.0000 0.1053 0.0443145115754 -0.0161428571429  0.0451 -0.0158
kmeans 8 4 169 0.323892699349 0.376667364153 1.3162 0.5497  2.7922 0.0030 0.7641 1.75146153846 0.392  1.7515 0.3920
kmeans 8 5 1829 0.323892699349 0.346821245752 0.3025 0.2241  1.3049 0.0000 0.1893 0.376046892039 0.0949427480916  0.3767 0.0951
kmeans 8 6 3141 0.323892699349 0.33773712162 0.1917 0.1498  0.4949 0.0000 0.1599 -0.241882259094 0.0303816209317  -0.2417 0.0301
kmeans 8 7 2437 0.323892699349 0.312756291696 0.4251 0.2223  3.2999 0.0000 0.2834 -0.55726422094 -0.0769043693322  -0.5566 -0.0770
kmeans 8 8 351 0.323892699349 0.169997426563 0.4400 0.3841  1.7770 0.0010 0.4244 -0.242428571429 0.47494  -0.2423 0.4743
