#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.4000 N/A N/A N/A N/A 0.180153969641 23 14095 12624   438   330   307   179    89    42    32    16     7     6     5     5     3     3     2     1     1     1     1     1     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 2838.79564717 0.447770633592 3 14095 9714 3141 1240    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.5000 N/A N/A N/A N/A 0.28269406776 11 14095 13398   286   185    84    83    45     4     4     3     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 2138.99757654 0.355581318126 4 14095 6240 5602 1463  790    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.6000 N/A N/A N/A N/A 0.484387568758 7 14095 13572   341   100    72     5     4     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1757.34049277 0.365651125804 5 14095 6164 3559 2748 1047  577    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.7000 N/A N/A N/A N/A 0.54995048941 5 14095 13739   330    19     6     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1492.66308193 0.326029075 6 14095 4261 3634 3188 1643  949  420    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.5347 N/A N/A N/A N/A 0.303385985618 8 14095 13562   300    91    85    46     6     4     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1305.81508824 0.324160558021 7 14095 3569 3286 3133 1662 1586  433  426    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_438 mag05_814 0.8000 N/A N/A N/A N/A 0.54978102912 4 14095 13994    81    19     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_225 mag05_336 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1169.76908558 0.323154232685 8 14095 3392 2939 2151 2021 1919  845  553  275    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
