# object_id x_pix y_pix cluster_number
303 4090.91 246.675 3
333 4012.08 253.775 0
471 4087.81 274.552 1
472 4128.43 274.787 1
491 4127.46 278.255 1
515 4068.05 280.988 0
545 4106.58 285.365 1
564 4142.91 287.502 1
565 4123.82 287.542 1
587 4070.76 290.111 0
612 4063.85 292.966 0
615 4019.69 293.141 3
691 4087.18 301.606 0
738 4189.47 306.642 1
746 4089.21 307.656 1
747 3821.39 307.704 0
780 4186.12 312.41 1
784 4129.22 312.665 0
805 4044.87 315.71 0
826 4147.07 317.575 1
830 4138.72 317.888 0
838 4131.4 318.443 0
842 4130.34 318.651 1
865 4163.13 320.558 1
882 4042.47 322.362 0
893 4144.34 323.528 0
894 3804.58 323.588 3
899 3911.92 324.104 2
913 4025.63 325.541 0
929 4155.96 327.18 0
937 4125.72 327.724 0
942 4099.74 328.052 0
946 4144.33 328.663 0
948 4153.29 328.85 1
951 4115.9 328.986 0
987 4151.8 332.826 0
996 3514.34 334.005 0
1003 4154.11 334.284 1
1040 4095.6 338.04 0
1058 4144.06 339.512 1
1059 4036.28 339.571 0
1062 4119.18 339.724 3
1074 4078.21 340.753 0
1081 4179.73 340.975 3
1108 4045.88 343.499 1
1110 3260.67 343.732 4
1113 4157.7 343.933 0
1135 4177.23 345.74 0
1136 4180.71 345.82 4
1149 4101.67 346.777 0
1202 4090.01 351.221 0
1208 4179.17 351.63 0
1239 3394.34 354.272 1
1267 4185.12 356.32 1
1272 4113.46 356.989 0
1283 3357.99 357.855 1
1291 4187.51 358.027 1
1300 3179.5 359.036 3
1303 3383.43 359.094 1
1314 4153.72 360.109 0
1341 4156.27 362.97 3
1347 4164.14 363.603 0
1349 4150.01 363.869 0
1358 3604.28 364.582 0
1367 4180.99 365.302 0
1375 3760.0 365.965 1
1379 3135.45 366.75 3
1395 4010.52 368.16 3
1403 4199.35 368.823 0
1422 4175.84 370.201 0
1435 4185.39 371.538 2
1446 4164.57 372.826 0
