# band1 band2 band3 band4 band5 band6 n_clusters b_width eps min_samples damping preferences

mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 3 0.6022 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 4 0.5 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 5 0.55 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 6 0.62 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 7 0.6 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 8 0.65 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_814 3 0.7655 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_814 4 0.8 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_814 5 0.83 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_814 6 0.86 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_814 7 1.05 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_814 8 0.9 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 3 0.7920 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 4 0.75 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 5 0.8 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 6 0.85 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 7 1.05 0.3 10 0.9 -35
mag05_336 mag05_373 mag05_373 mag05_555 mag05_373 mag05_814 8 1.1 0.3 10 0.9 -35


