# band1 band2 band3 band4 n_clusters b_width eps min_samples damping preferences

mag05_336 mag05_373 mag05_438 mag05_555 3 0.3557 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_555 4 0.3 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_555 5 0.33 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_555 6 0.35 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_555 7 0.38 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_555 8 0.395 0.3 3 0.5 -20

mag05_336 mag05_373 mag05_438 mag05_814 3 0.5553 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_814 4 0.5 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_814 5 0.53 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_814 6 0.55 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_814 7 0.6 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_438 mag05_814 8 0.7 0.3 3 0.5 -20

mag05_336 mag05_373 mag05_555 mag05_814 3 0.4639 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_555 mag05_814 4 0.4 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_555 mag05_814 5 0.5 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_555 mag05_814 6 0.55 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_555 mag05_814 7 0.56 0.3 3 0.5 -20
mag05_336 mag05_373 mag05_555 mag05_814 8 0.57 0.3 3 0.5 -20
