# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
meanshift 10 1 7684 0.467231645107 0.498717598162 0.9015 0.8478  3.7475 0.0014 0.5359 -0.329974089636 -1.04910119048 -1.090080007 -0.2287 -1.0163 -0.9297
meanshift 10 2 58 0.467231645107 0.117406086707 2.5090 0.9566  2.5756 0.0411 2.1137 2.14266666667 -3.42991666667 -3.39416666667 1.5708 -2.8262 -2.8003
meanshift 10 3 505 0.467231645107 0.0557974456849 0.8850 1.0665  3.9584 0.0062 0.7901 1.22166666667 -1.97666666667 1.19166666667 0.5639 -0.4290 1.0608
meanshift 10 4 54 0.467231645107 0.378772192791 2.0201 0.7709  2.4383 0.0301 1.7745 2.568 -3.274 -1.49833333333 1.4644 -2.4992 -1.8612
meanshift 10 5 39 0.467231645107 0.579354162782 1.8070 0.9234  2.8404 0.0935 1.2932 0.3325 0.882 4.8635 0.4503 0.3484 2.9874
meanshift 10 6 2 0.467231645107 0.290273422212 3.5985 0.5806  0.5806 0.5806 3.2563 3.049 -4.179 -3.4645 3.0490 -4.1790 -3.4645
meanshift 10 7 1 0.467231645107 1.0 N/A N/A N/A N/A 3.7400 3.682 -4.606 -3.842 3.6820 -4.6060 -3.8420
meanshift 10 8 1 0.467231645107 1.0 N/A N/A N/A N/A 3.5257 3.106 -4.343 -4.403 3.1060 -4.3430 -4.4030
meanshift 10 9 213 0.467231645107 0.398150581417 0.6771 0.7159  2.7686 0.0180 0.6711 -1.659 0.28 0.204 -0.2661 -0.3755 0.9110
meanshift 10 10 1 0.467231645107 1.0 N/A N/A N/A N/A 4.2163 3.621 -5.182 -5.458 3.6210 -5.1820 -5.4580
kmeans 10 1 1433 0.294111191611 0.306194276092 0.6897 0.3673  1.5542 0.0042 0.2536 -0.394593444909 -0.866858437936 -0.662625523013 -0.3948 -0.8668 -0.6626
kmeans 10 2 184 0.294111191611 0.343053249801 1.3050 0.9836  3.9652 0.0310 0.9751 0.510777173913 0.038597826087 2.05266847826 0.5108 0.0386 2.0527
kmeans 10 3 362 0.294111191611 0.245141165646 0.6530 0.7487  2.7297 0.0062 0.6005 0.757519337017 -0.414110497238 0.425856353591 0.7575 -0.4141 0.4259
kmeans 10 4 999 0.294111191611 0.269856931675 0.4895 0.5169  1.9042 0.0095 0.3986 -0.0333473473473 -0.744851851852 -0.0744974974975 -0.0333 -0.7449 -0.0745
kmeans 10 5 914 0.294111191611 0.166983184692 0.8371 0.4915  1.9711 0.0057 0.5641 0.087586622807 -1.13350328947 -0.809005482456 0.0871 -1.1333 -0.8090
kmeans 10 6 1505 0.294111191611 0.291936982787 1.1790 0.3993  1.5513 0.0041 0.5998 -0.225656518862 -1.26452812707 -1.55369688948 -0.2247 -1.2657 -1.5545
kmeans 10 7 463 0.294111191611 0.29029646159 0.6571 0.6615  2.6576 0.0088 0.6533 -0.0841425485961 -0.553835853132 0.848004319654 -0.0841 -0.5538 0.8480
kmeans 10 8 2423 0.294111191611 0.351729738838 0.9438 0.3184  1.0547 0.0014 0.3441 -0.444882912702 -1.01944311129 -1.17126727348 -0.4448 -1.0195 -1.1721
kmeans 10 9 198 0.294111191611 0.26887279156 1.6361 0.8389  2.8610 0.0301 1.2830 0.712728643216 -1.95809547739 -1.80287437186 0.7158 -1.9595 -1.8019
kmeans 10 10 77 0.294111191611 0.323430960376 2.6055 1.2194  5.0582 0.0406 2.2699 1.80984415584 -2.97131168831 -2.67605194805 1.8098 -2.9713 -2.6761
